time;NETWORK_NGEN_Upu_value;NETWORK_NLOAD_Upu_value;GEN_generator_omegaPu;GEN_generator_PGen;GEN_generator_QGen;GEN_generator_UStatorPu;GEN_voltageRegulator_EfdPu;LOAD_load_PPu;LOAD_load_QPu;LOAD_load_motors_0__PPu;LOAD_load_motors_0__QPu;LOAD_load_motors_0__cePu;LOAD_load_motors_0__clPu;LOAD_load_motors_0__omegaRPu;LOAD_load_motors_0__s;LOAD_load_motors_0__EdPPu;LOAD_load_motors_0__EqPPu;LOAD_load_motors_0__EdPPPu;LOAD_load_motors_0__EqPPPu;LOAD_load_motors_0__idPu;LOAD_load_motors_0__iqPu;LOAD_load_motors_1__PPu;LOAD_load_motors_1__QPu;LOAD_load_motors_1__cePu;LOAD_load_motors_1__clPu;LOAD_load_motors_1__omegaRPu;LOAD_load_motors_1__s;LOAD_load_motors_1__EdPPu;LOAD_load_motors_1__EqPPu;LOAD_load_motors_1__EdPPPu;LOAD_load_motors_1__EqPPPu;LOAD_load_motors_1__idPu;LOAD_load_motors_1__iqPu;
1.000032;0.600635;0.541339;1.000010;1028.728894;635.600216;0.697383;5.000000;-3.285071;-1.171550;-2.629890;-0.528564;-2.873648;0.942561;0.929652;0.070357;0.836140;-0.240419;0.848497;-0.227509;-2.506920;3.281339;-1.745075;-0.757536;-1.711521;0.952492;0.964507;0.035502;0.771290;-0.302690;0.815215;-0.261345;-1.250523;2.648128;
1.000064;0.600053;0.540676;1.000010;1027.836712;635.802752;0.696917;5.000000;-3.259059;-1.166852;-2.611624;-0.528259;-2.850974;0.942561;0.929043;0.070966;0.833833;-0.242342;0.845219;-0.230239;-2.481738;3.272080;-1.734657;-0.752862;-1.700385;0.952324;0.964422;0.035587;0.770377;-0.303237;0.812163;-0.263175;-1.238765;2.638188;
1.000128;0.598905;0.539368;1.000009;1026.065359;636.198642;0.695997;5.000000;-3.207932;-1.157768;-2.575622;-0.527728;-2.806364;0.942561;0.927836;0.072172;0.829228;-0.246155;0.838722;-0.235610;-2.432029;3.253542;-1.714278;-0.743757;-1.678630;0.951991;0.964253;0.035756;0.768559;-0.304324;0.806160;-0.266757;-1.215737;2.618682;
1.000256;0.596666;0.536828;1.000009;1022.572979;636.955503;0.694202;5.000000;-3.109108;-1.140772;-2.505652;-0.526952;-2.719967;0.942561;0.925464;0.074544;0.820057;-0.253647;0.825951;-0.246007;-2.335140;3.216397;-1.675258;-0.726468;-1.637087;0.951331;0.963919;0.036089;0.764948;-0.306467;0.794542;-0.273623;-1.171540;2.581108;
1.000512;0.592402;0.532024;1.000008;1015.776571;638.342702;0.690782;5.000000;-2.924032;-1.110928;-2.373176;-0.526378;-2.557545;0.942561;0.920878;0.079130;0.801865;-0.268113;0.801253;-0.265509;-2.150816;3.141887;-1.603562;-0.695191;-1.561137;0.950042;0.963266;0.036742;0.757820;-0.310634;0.772742;-0.286264;-1.089947;2.511281;
1.000768;0.588403;0.527549;1.000007;1009.215569;639.581559;0.687571;5.000000;-2.754115;-1.085687;-2.249680;-0.526765;-2.407567;0.942561;0.916490;0.083517;0.783874;-0.281909;0.777606;-0.283407;-1.978300;3.067155;-1.539505;-0.667710;-1.493709;0.948791;0.962631;0.037376;0.750810;-0.314656;0.752715;-0.297572;-1.016658;2.448035;
1.001280;0.581066;0.519402;1.000006;996.694305;641.701859;0.681676;5.000000;-2.451643;-1.045915;-2.025162;-0.529563;-2.138799;0.942561;0.908240;0.091765;0.748486;-0.307631;0.733018;-0.315130;-1.663553;2.917479;-1.429831;-0.621806;-1.379262;0.946382;0.961408;0.038597;0.737082;-0.322333;0.717061;-0.316966;-0.890073;2.337867;
1.001741;0.575134;0.512821;1.000004;986.040021;643.285338;0.676902;5.000000;-2.215492;-1.018681;-1.844764;-0.532984;-1.926767;0.942561;0.901368;0.098636;0.717314;-0.328743;0.695678;-0.339519;-1.411468;2.782846;-1.348815;-0.588495;-1.295571;0.944308;0.960354;0.039650;0.725020;-0.328865;0.689385;-0.331240;-0.795783;2.255059;
1.002201;0.569722;0.506790;1.000003;975.870990;644.636243;0.672541;5.000000;-2.006257;-0.996689;-1.680872;-0.536374;-1.737398;0.942561;0.894958;0.105044;0.686785;-0.348058;0.660582;-0.360617;-1.184394;2.648712;-1.280569;-0.560707;-1.225643;0.942307;0.959337;0.040666;0.713184;-0.335100;0.665060;-0.343167;-0.715832;2.184601;
1.002662;0.564747;0.501194;1.000002;966.114809;645.806978;0.668528;5.000000;-1.819238;-0.978526;-1.530946;-0.539359;-1.567109;0.942561;0.888965;0.111037;0.656901;-0.365677;0.627445;-0.378889;-0.979072;2.515381;-1.222482;-0.537352;-1.166605;0.940370;0.958350;0.041652;0.701536;-0.341076;0.643486;-0.353215;-0.647202;2.124194;
1.002763;0.563704;0.500013;1.000002;964.020262;646.044227;0.667687;5.000000;-1.780623;-0.974883;-1.499619;-0.539915;-1.531879;0.942561;0.887700;0.112302;0.650429;-0.369330;0.620401;-0.382574;-0.936547;2.486258;-1.210790;-0.532691;-1.154771;0.939952;0.958137;0.041865;0.699000;-0.342358;0.639050;-0.355220;-0.633316;2.112013;
1.002763;0.563704;0.500013;1.000002;964.020262;646.044227;0.667687;5.000000;-1.780623;-0.974883;-1.499619;-0.539915;-1.531879;0.942561;0.887700;0.112302;0.650429;-0.369330;0.620401;-0.382574;-0.936547;2.486258;-1.210790;-0.532691;-1.154771;0.939952;0.958137;0.041865;0.699000;-0.342358;0.639050;-0.355220;-0.633316;2.112013;
1.003123;0.560141;0.495943;1.000001;956.708217;646.837565;0.664808;5.000000;-1.650404;-0.962932;-1.392826;-0.541600;-1.412863;0.942561;0.883348;0.116653;0.627667;-0.381693;0.596021;-0.394728;-0.792733;2.383110;-1.172290;-0.517470;-1.115966;0.938487;0.957390;0.042611;0.690042;-0.346827;0.624147;-0.361771;-0.587371;2.071841;
1.003584;0.555846;0.490970;0.999999;947.598556;647.758573;0.661337;5.000000;-1.496630;-0.949050;-1.264858;-0.542898;-1.272322;0.942561;0.878071;0.121928;0.599089;-0.396189;0.566114;-0.408452;-0.623126;2.252110;-1.128227;-0.500371;-1.071814;0.936650;0.956453;0.043547;0.678676;-0.352377;0.606625;-0.369141;-0.534344;2.025895;
1.004045;0.551818;0.486219;0.999998;938.742491;648.593553;0.658078;5.000000;-1.355480;-0.936288;-1.145753;-0.543137;-1.143647;0.942561;0.873107;0.126891;0.571174;-0.409241;0.537562;-0.420319;-0.468418;2.122555;-1.088919;-0.485557;-1.032677;0.934855;0.955536;0.044463;0.667418;-0.357746;0.590576;-0.375565;-0.486550;1.984999;
1.004505;0.548021;0.481650;0.999997;930.104830;649.360752;0.655004;5.000000;-1.225036;-0.924218;-1.034492;-0.542247;-1.025369;0.942561;0.868428;0.131569;0.543931;-0.420918;0.510239;-0.430537;-0.327114;1.994595;-1.053292;-0.472647;-0.997414;0.933097;0.954637;0.045360;0.656250;-0.362946;0.575727;-0.381227;-0.442767;1.948048;
1.004966;0.544426;0.477229;0.999996;921.657365;650.074330;0.652091;5.000000;-1.103786;-0.912524;-0.930264;-0.540195;-0.916306;0.942561;0.864012;0.135984;0.517367;-0.431285;0.484042;-0.439279;-0.197983;1.868362;-1.020509;-0.461349;-0.965141;0.931373;0.953755;0.046242;0.645160;-0.367988;0.561854;-0.386272;-0.402047;1.914138;
1.005427;0.541009;0.472931;0.999995;913.377819;650.745253;0.649322;5.000000;-0.990531;-0.900978;-0.832416;-0.536971;-0.815494;0.942561;0.859839;0.140156;0.491493;-0.440402;0.458889;-0.446686;-0.080005;1.743981;-0.989920;-0.451432;-0.935176;0.929681;0.952888;0.047108;0.634138;-0.372879;0.548780;-0.390810;-0.363666;1.882538;
1.006349;0.534625;0.464625;0.999993;897.243220;651.990569;0.644146;5.000000;-0.784058;-0.878173;-0.653783;-0.527470;-0.635619;0.942561;0.852128;0.147866;0.441853;-0.455188;0.411409;-0.458059;0.126579;1.501324;-0.933155;-0.435087;-0.879933;0.926380;0.951195;0.048798;0.612268;-0.382224;0.524368;-0.398748;-0.291418;1.823512;
1.007270;0.528782;0.456627;0.999991;881.629406;653.140433;0.639406;5.000000;-0.600233;-0.854118;-0.495181;-0.513373;-0.480407;0.942561;0.845186;0.154806;0.395066;-0.465680;0.367488;-0.465307;0.297306;1.267426;-0.880515;-0.422247;-0.829039;0.923187;0.949554;0.050437;0.590612;-0.390994;0.501817;-0.405419;-0.223676;1.768128;
1.008192;0.523409;0.448868;0.999989;866.492102;654.218714;0.635044;5.000000;-0.435622;-0.828626;-0.354435;-0.495112;-0.346428;0.942561;0.838913;0.161078;0.351183;-0.472303;0.326888;-0.469013;0.436345;1.043116;-0.830507;-0.412268;-0.780975;0.920094;0.947962;0.052028;0.569158;-0.399192;0.480614;-0.411094;-0.158865;1.714215;
1.009113;0.518455;0.441311;0.999987;851.811608;655.235704;0.631019;5.000000;-0.287635;-0.801618;-0.229748;-0.473174;-0.230859;0.942561;0.833217;0.166773;0.310236;-0.475477;0.289428;-0.469680;0.547292;0.829176;-0.782188;-0.404570;-0.734772;0.917096;0.946416;0.053572;0.547905;-0.406816;0.460410;-0.415949;-0.096102;1.660290;
