time;SVarC_injector_UPu;SVarC_injector_BPu;SVarC_injector_GPu;SVarC_injector_PInjPu;SVarC_injector_QInjPu;SVarC_control_regulation_IPu;SVarC_control_regulation_IMaxPu;SVarC_control_modeHandling_mode;SVarC_control_modeHandling_URefPu;
1.12977;0.985697;1.025187;0.000000;0.000000;2.490174;1.010524;1.000000;3.000000;1.000000;
1.13796;0.986359;1.033387;0.000000;0.000000;2.513468;1.019291;1.000000;3.000000;1.000000;
1.14615;0.986909;1.040179;0.000000;0.000000;2.532807;1.026562;1.000000;3.000000;1.000000;
1.15435;0.987363;1.045791;0.000000;0.000000;2.548815;1.032575;1.000000;3.000000;1.000000;
1.16254;0.987739;1.050421;0.000000;0.000000;2.562046;1.037541;1.000000;3.000000;1.000000;
1.17601;0.988231;1.056489;0.000000;0.000000;2.579416;1.044055;1.000000;3.000000;1.000000;
1.17601;0.988231;1.056489;0.000000;0.000000;2.579418;1.044055;1.000000;3.000000;1.000000;
1.17601;0.988231;1.056489;0.000000;0.000000;2.579418;1.044055;1.000000;3.000000;1.000000;
1.17601;0.988231;1.056489;0.000000;0.000000;2.579418;1.044055;1.000000;3.000000;1.000000;
1.17602;0.988231;1.056489;0.000000;0.000000;2.579417;1.044055;1.000000;3.000000;1.000000;
1.17602;0.988231;1.056488;0.000000;0.000000;2.579416;1.044054;1.000000;3.000000;1.000000;
1.17602;0.988231;1.056488;0.000000;0.000000;2.579414;1.044053;1.000000;3.000000;1.000000;
1.17602;0.988230;1.056486;0.000000;0.000000;2.579410;1.044052;1.000000;3.000000;1.000000;
1.17603;0.988230;1.056483;0.000000;0.000000;2.579402;1.044049;1.000000;3.000000;1.000000;
1.17605;0.988230;1.056478;0.000000;0.000000;2.579386;1.044043;1.000000;3.000000;1.000000;
1.17608;0.988229;1.056467;0.000000;0.000000;2.579353;1.044031;1.000000;3.000000;1.000000;
1.17614;0.988227;1.056444;0.000000;0.000000;2.579289;1.044007;1.000000;3.000000;1.000000;
1.17627;0.988223;1.056399;0.000000;0.000000;2.579160;1.043958;1.000000;3.000000;1.000000;
1.17653;0.988216;1.056309;0.000000;0.000000;2.578902;1.043862;1.000000;3.000000;1.000000;
1.17704;0.988202;1.056130;0.000000;0.000000;2.578388;1.043669;1.000000;3.000000;1.000000;
1.17806;0.988173;1.055774;0.000000;0.000000;2.577368;1.043287;1.000000;3.000000;1.000000;
1.18011;0.988116;1.055071;0.000000;0.000000;2.575354;1.042532;1.000000;3.000000;1.000000;
