time;BusPDR_bus_terminal_V_re;BusPDR_bus_terminal_V_im;StepUp_Xfmr_transformer_terminal1_V_re;StepUp_Xfmr_transformer_terminal1_V_im;StepUp_Xfmr_transformer_terminal1_i_re;StepUp_Xfmr_transformer_terminal1_i_im;Synch_Gen_generator_omegaPu;Synch_Gen_generator_thetaInternal;Synch_Gen_voltageRegulator_UsRefPu;Synch_Gen_generator_UStatorPu;Synch_Gen_generator_omegaRefPu;
20.159999;1.043886;0.051390;1.043886;0.051390;-4.309348;-0.172798;1.000177;0.876921;1.064569;1.053853;1.000206;
20.168191;1.043903;0.051486;1.043903;0.051486;-4.309989;-0.172190;1.000186;0.876742;1.064569;1.053904;1.000217;
20.176383;1.043920;0.051575;1.043920;0.051575;-4.310574;-0.171587;1.000194;0.876566;1.064569;1.053954;1.000227;
20.184575;1.043938;0.051658;1.043938;0.051658;-4.311096;-0.170988;1.000202;0.876392;1.064569;1.054003;1.000238;
20.200959;1.043976;0.051805;1.043976;0.051805;-4.311933;-0.169793;1.000218;0.876047;1.064569;1.054099;1.000259;
20.217343;1.044015;0.051931;1.044015;0.051931;-4.312484;-0.168585;1.000234;0.875702;1.064569;1.054192;1.000280;
20.233727;1.044056;0.052038;1.044056;0.052038;-4.312747;-0.167347;1.000250;0.875356;1.064569;1.054283;1.000301;
20.250111;1.044099;0.052128;1.044099;0.052128;-4.312731;-0.166061;1.000265;0.875004;1.064569;1.054374;1.000322;
20.266495;1.044143;0.052205;1.044143;0.052205;-4.312454;-0.164711;1.000281;0.874643;1.064569;1.054464;1.000343;
20.282879;1.044189;0.052270;1.044189;0.052270;-4.311940;-0.163283;1.000296;0.874273;1.064569;1.054555;1.000364;
20.299263;1.044236;0.052326;1.044236;0.052326;-4.311216;-0.161768;1.000312;0.873891;1.064569;1.054647;1.000385;
20.315647;1.044285;0.052372;1.044285;0.052372;-4.310312;-0.160158;1.000328;0.873495;1.064569;1.054741;1.000406;
20.332031;1.044335;0.052411;1.044335;0.052411;-4.309257;-0.158451;1.000345;0.873087;1.064569;1.054837;1.000427;
20.348415;1.044386;0.052445;1.044386;0.052445;-4.308081;-0.156646;1.000361;0.872664;1.064569;1.054935;1.000448;
20.364799;1.044438;0.052473;1.044438;0.052473;-4.306813;-0.154745;1.000378;0.872228;1.064569;1.055036;1.000469;
20.381183;1.044491;0.052497;1.044491;0.052497;-4.305479;-0.152753;1.000396;0.871779;1.064569;1.055138;1.000490;
20.397567;1.044545;0.052518;1.044545;0.052518;-4.304105;-0.150677;1.000414;0.871318;1.064569;1.055243;1.000511;
20.402761;1.044562;0.052524;1.044562;0.052524;-4.303666;-0.150002;1.000420;0.871169;1.064569;1.055277;1.000518;
20.402762;1.044562;0.052524;1.044562;0.052524;-4.303666;-0.150002;1.000420;0.871169;1.064569;1.055277;1.000518;
20.402763;1.044562;0.052524;1.044562;0.052524;-4.303666;-0.150002;1.000420;0.871169;1.064569;1.055277;1.000518;
20.402765;1.044562;0.052524;1.044562;0.052524;-4.303665;-0.150002;1.000420;0.871169;1.064569;1.055277;1.000518;
20.402769;1.044563;0.052524;1.044563;0.052524;-4.303665;-0.150001;1.000420;0.871169;1.064569;1.055277;1.000518;
20.402777;1.044563;0.052524;1.044563;0.052524;-4.303664;-0.150000;1.000420;0.871169;1.064569;1.055277;1.000518;
20.402793;1.044563;0.052524;1.044563;0.052524;-4.303663;-0.149998;1.000420;0.871168;1.064569;1.055277;1.000518;
20.402825;1.044563;0.052524;1.044563;0.052524;-4.303660;-0.149994;1.000420;0.871167;1.064569;1.055278;1.000518;
20.402889;1.044563;0.052524;1.044563;0.052524;-4.303655;-0.149986;1.000420;0.871166;1.064569;1.055278;1.000518;
20.403017;1.044563;0.052524;1.044563;0.052524;-4.303644;-0.149969;1.000420;0.871162;1.064569;1.055279;1.000518;
20.403273;1.044564;0.052524;1.044564;0.052524;-4.303622;-0.149935;1.000420;0.871155;1.064569;1.055280;1.000519;
20.403785;1.044566;0.052525;1.044566;0.052525;-4.303578;-0.149868;1.000421;0.871140;1.064569;1.055284;1.000519;
20.404809;1.044569;0.052526;1.044569;0.052526;-4.303491;-0.149734;1.000422;0.871110;1.064569;1.055290;1.000521;
20.406857;1.044576;0.052528;1.044576;0.052528;-4.303316;-0.149463;1.000424;0.871051;1.064569;1.055304;1.000523;
20.410953;1.044590;0.052532;1.044590;0.052532;-4.302966;-0.148919;1.000429;0.870932;1.064569;1.055331;1.000528;
20.419145;1.044617;0.052540;1.044617;0.052540;-4.302266;-0.147813;1.000438;0.870692;1.064569;1.055385;1.000539;
20.427337;1.044645;0.052548;1.044645;0.052548;-4.301568;-0.146693;1.000447;0.870449;1.064569;1.055440;1.000549;
20.435529;1.044672;0.052555;1.044672;0.052555;-4.300872;-0.145559;1.000457;0.870204;1.064569;1.055495;1.000560;
20.451913;1.044728;0.052568;1.044728;0.052568;-4.299489;-0.143264;1.000476;0.869710;1.064569;1.055606;1.000581;
20.468297;1.044783;0.052580;1.044783;0.052580;-4.298125;-0.140930;1.000495;0.869210;1.064569;1.055719;1.000601;
20.501065;1.044894;0.052601;1.044894;0.052601;-4.295488;-0.136185;1.000535;0.868194;1.064569;1.055944;1.000643;
20.533833;1.045004;0.052619;1.045004;0.052619;-4.293013;-0.131381;1.000576;0.867166;1.064569;1.056171;1.000685;
20.566601;1.045112;0.052636;1.045112;0.052636;-4.290746;-0.126574;1.000618;0.866133;1.064569;1.056397;1.000726;
20.599369;1.045217;0.052651;1.045217;0.052651;-4.288725;-0.121815;1.000661;0.865104;1.064569;1.056620;1.000767;
20.632137;1.045320;0.052667;1.045320;0.052667;-4.286973;-0.117147;1.000704;0.864085;1.064569;1.056839;1.000809;
20.664905;1.045419;0.052682;1.045419;0.052682;-4.285495;-0.112607;1.000748;0.863084;1.064569;1.057053;1.000850;
20.697673;1.045515;0.052698;1.045515;0.052698;-4.284281;-0.108221;1.000792;0.862105;1.064569;1.057260;1.000891;
20.730441;1.045606;0.052715;1.045606;0.052715;-4.283306;-0.104008;1.000836;0.861151;1.064569;1.057460;1.000931;
20.763209;1.045694;0.052731;1.045694;0.052731;-4.282535;-0.099980;1.000880;0.860224;1.064569;1.057652;1.000972;
20.795977;1.045777;0.052746;1.045777;0.052746;-4.281924;-0.096138;1.000924;0.859326;1.064569;1.057836;1.001013;
