time;WECCPVVSource_photovoltaicsV_wecc_reec_PInjPu;WECCPVVSource_photovoltaicsV_wecc_reec_QInjPu;WECCPVVSource_photovoltaicsV_injector_terminal_V_re;WECCPVVSource_photovoltaicsV_injector_terminal_i_re;WECCPVVSource_photovoltaicsV_injector_terminal_V_im;WECCPVVSource_photovoltaicsV_injector_terminal_i_im;WECCPVVSource_photovoltaicsV_pll_omegaPLLPu;
0.1287954431;0.7005857324;0.2802076699;1.0501380207;-0.7005857324;0.1751478806;0.2005504252;1.0000000000;
0.1390354431;0.7006360017;0.2802850923;1.0501537922;-0.7006360017;0.1751604480;0.2006135110;1.0000000000;
0.1595154431;0.7007014653;0.2802310628;1.0501378055;-0.7007014653;0.1751768141;0.2005495645;1.0000000000;
0.1799954431;0.7007473183;0.2801107880;1.0501071715;-0.7007473183;0.1751882774;0.2004270295;1.0000000000;
0.2209554431;0.7008260181;0.2800311707;1.0500844917;-0.7008260181;0.1752079525;0.2003363112;1.0000000000;
0.2619154431;0.7008574921;0.2800380719;1.0500845580;-0.7008574921;0.1752158211;0.2003365764;1.0000000000;
0.3028754431;0.7008594911;0.2800337412;1.0500834381;-0.7008594911;0.1752163208;0.2003320967;1.0000000000;
0.3847954431;0.7007838915;0.2800066193;1.0500807905;-0.7007838915;0.1751974208;0.2003215065;1.0000000000;
0.5486354431;0.7005724558;0.2799534582;1.0500787350;-0.7005724558;0.1751445614;0.2003132846;1.0000000000;
0.8763154431;0.7002751793;0.2798610715;1.0500716790;-0.7002751793;0.1750702417;0.2002850606;1.0000000000;
1.0000000000;0.7002151974;0.2798312991;1.0500676287;-0.7002151974;0.1750552461;0.2002688599;1.0000000000;
1.0000000000;0.3501075984;1.8998489292;1.0500676292;-0.7002151967;0.1750552459;2.2002523329;1.0000021710;
1.0000100000;0.3514384459;1.8980389067;1.0495567038;-0.7028768918;0.1757206752;2.1982086485;1.0000021774;
1.0000200000;0.3527609752;1.8962308162;1.0490462199;-0.7055219504;0.1763819453;2.1961667298;1.0000021837;
1.0000400000;0.3553859176;1.8926196858;1.0480260424;-0.7107718352;0.1776944273;2.1920860535;1.0000021959;
1.0000800000;0.3605391698;1.8854201100;1.0459910265;-0.7210783397;0.1802710747;2.1839460569;1.0000022187;
1.0001600000;0.3704693358;1.8711108225;1.0419431638;-0.7409386716;0.1852361987;2.1677547401;1.0000022586;
1.0003200000;0.3888913109;1.8428474508;1.0339431610;-0.7777826218;0.1944472624;2.1357549934;1.0000023172;
1.0006400000;0.4205784820;1.7876979820;1.0183560103;-0.8411569640;0.2102909789;2.0734069056;1.0000023640;
1.0008081477;0.4347848417;1.7594277874;1.0104110534;-0.8695696833;0.2173942174;2.0416273409;1.0000023581;
1.0008081477;0.4347663728;1.7594318866;1.0104017089;-0.8695327207;0.2173849767;2.0415899630;1.0000023578;
1.0008181477;0.4355473254;1.7577658602;1.0099355995;-0.8710946508;0.2177754625;2.0397255409;1.0000023566;
1.0008281477;0.4363229099;1.7561017434;1.0094701015;-0.8726458197;0.2181632579;2.0378635641;1.0000023552;
1.0008481477;0.4378610975;1.7527779243;1.0085404500;-0.8757221935;0.2189323577;2.0341449891;1.0000023524;
