time;WECCPVVSource_photovoltaics_wecc_reec_PInjPu;WECCPVVSource_photovoltaics_wecc_reec_QInjPu;WECCPVVSource_photovoltaics_injector_terminal_V_re;WECCPVVSource_photovoltaics_injector_terminal_i_re;WECCPVVSource_photovoltaics_injector_terminal_V_im;WECCPVVSource_photovoltaics_injector_terminal_i_im;WECCPVVSource_photovoltaics_pll_omegaPLLPu;
4.022325;0.530896;0.543389;0.537377;-1.061792;0.583986;0.067958;1.006679;
4.022581;0.529247;0.538256;0.535425;-1.058495;0.582172;0.064409;1.005529;
4.022884;0.527258;0.532225;0.533202;-1.054515;0.579984;0.060368;1.004200;
4.022885;0.527251;0.532205;0.533195;-1.054502;0.579976;0.060355;1.004196;
4.022886;0.527244;0.532185;0.533188;-1.054489;0.579969;0.060342;1.004191;
4.022888;0.527231;0.532146;0.533174;-1.054462;0.579954;0.060316;1.004183;
4.022892;0.527204;0.532066;0.533145;-1.054409;0.579925;0.060264;1.004165;
4.022900;0.527151;0.531908;0.533088;-1.054303;0.579867;0.060160;1.004131;
4.022916;0.527045;0.531591;0.532974;-1.054090;0.579750;0.059952;1.004062;
4.022930;0.526950;0.531309;0.532872;-1.053901;0.579645;0.059767;1.004000;
4.022931;0.526944;0.531289;0.532865;-1.053887;0.579638;0.059754;1.003996;
4.022932;0.526937;0.531269;0.532858;-1.053874;0.579631;0.059741;1.003992;
4.022934;0.526924;0.531230;0.532844;-1.053847;0.579616;0.059715;1.003983;
4.022938;0.526897;0.531151;0.532815;-1.053794;0.579587;0.059664;1.003966;
4.022946;0.526844;0.530992;0.532758;-1.053688;0.579528;0.059560;1.003931;
4.022962;0.526737;0.530676;0.532645;-1.053474;0.579411;0.059354;1.003862;
4.022994;0.526524;0.530043;0.532418;-1.053047;0.579176;0.058943;1.003725;
4.023058;0.526095;0.528780;0.531969;-1.052191;0.578705;0.058126;1.003452;
4.023186;0.525234;0.526261;0.531083;-1.050467;0.577757;0.056514;1.002909;
4.023442;0.523492;0.521250;0.529359;-1.046983;0.575841;0.053380;1.001843;
4.023954;0.519938;0.511345;0.526100;-1.039877;0.571932;0.047454;0.999789;
4.024978;0.512606;0.492023;0.520278;-1.025212;0.563866;0.036869;0.995997;
4.026002;0.505039;0.473377;0.515302;-1.010079;0.555543;0.027823;0.992631;
4.027026;0.497323;0.455440;0.511069;-0.994646;0.547055;0.020125;0.989697;
4.028050;0.489536;0.438243;0.507475;-0.979072;0.538489;0.013590;0.987195;
4.029074;0.481753;0.421809;0.504424;-0.963506;0.529928;0.008043;0.985122;
4.030098;0.474043;0.406160;0.501825;-0.948087;0.521448;0.003318;0.983468;
4.031122;0.466469;0.391306;0.499596;-0.932938;0.513116;-0.000735;0.982221;
4.032146;0.459087;0.377257;0.497661;-0.918174;0.504995;-0.004253;0.981362;
4.033170;0.451947;0.364011;0.495952;-0.903893;0.497141;-0.007360;0.980872;
4.034194;0.445093;0.351564;0.494410;-0.890185;0.489602;-0.010164;0.980725;
4.035218;0.438563;0.339906;0.492981;-0.877126;0.482419;-0.012762;0.980896;
4.036242;0.432390;0.329022;0.491620;-0.864780;0.475629;-0.015236;0.981357;
4.037266;0.426600;0.318895;0.490289;-0.853200;0.469260;-0.017656;0.982076;
4.038268;0.421326;0.309698;0.488984;-0.842652;0.463459;-0.020029;0.983000;
4.038268;0.421318;0.309706;0.488991;-0.842648;0.463457;-0.020017;0.983005;
4.038269;0.421319;0.309688;0.488990;-0.842638;0.463451;-0.020019;0.983001;
