time;WPP4B_WPP_wPPControl_measurements_PGenNomPu;WPP4B_WPP_wPPControl_measurements_QGenNomPu;WPP4B_WPP_wPPControl_measurements_UPu;WPP4B_WPP_terminal_V_re;WPP4B_WPP_terminal_V_im;WPP4B_WPP_terminal_i_re;WPP4B_WPP_terminal_i_im;WPP4B_WPP_wT4BCurrentSource_gridProtection_fOCB;
1.887047;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.000000;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.000000;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.000001;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.000002;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.000004;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.000008;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.000016;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.000032;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.000064;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.000128;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.000256;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.000512;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.001024;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.002048;0.999998;-0.210001;1.000185;0.976200;0.217723;-0.930132;-0.422569;-1.000000;
2.003072;0.999990;-0.210002;1.000185;0.976200;0.217722;-0.930125;-0.422568;-1.000000;
2.004096;0.999973;-0.210006;1.000184;0.976201;0.217717;-0.930109;-0.422563;-1.000000;
2.005120;0.999940;-0.210013;1.000184;0.976202;0.217709;-0.930079;-0.422556;-1.000000;
2.006144;0.999886;-0.210025;1.000184;0.976205;0.217696;-0.930031;-0.422543;-1.000000;
2.007168;0.999808;-0.210041;1.000183;0.976209;0.217676;-0.929959;-0.422523;-1.000000;
2.008192;0.999699;-0.210064;1.000183;0.976214;0.217648;-0.929861;-0.422496;-1.000000;
2.010240;0.999375;-0.210126;1.000182;0.976232;0.217567;-0.929567;-0.422409;-1.000000;
2.012083;0.998954;-0.210204;1.000183;0.976256;0.217461;-0.929184;-0.422292;-1.000000;
2.013926;0.998402;-0.210300;1.000185;0.976290;0.217322;-0.928683;-0.422131;-1.000000;
2.015769;0.997717;-0.210412;1.000190;0.976333;0.217149;-0.928061;-0.421925;-1.000000;
2.017612;0.996902;-0.210537;1.000198;0.976388;0.216942;-0.927320;-0.421669;-1.000000;
2.019456;0.995963;-0.210672;1.000211;0.976453;0.216705;-0.926467;-0.421364;-1.000000;
2.021299;0.994910;-0.210813;1.000228;0.976530;0.216438;-0.925509;-0.421009;-1.000000;
2.023142;0.993752;-0.210957;1.000251;0.976618;0.216144;-0.924456;-0.420607;-1.000000;
2.024985;0.992504;-0.211099;1.000279;0.976717;0.215827;-0.923320;-0.420158;-1.000000;
2.026828;0.991176;-0.211238;1.000312;0.976826;0.215489;-0.922111;-0.419667;-1.000000;
2.028672;0.989781;-0.211370;1.000352;0.976945;0.215133;-0.920841;-0.419137;-1.000000;
2.030515;0.988330;-0.211494;1.000397;0.977072;0.214763;-0.919519;-0.418569;-1.000000;
2.032358;0.986832;-0.211608;1.000447;0.977208;0.214381;-0.918154;-0.417969;-1.000000;
2.036044;0.983736;-0.211805;1.000562;0.977499;0.213589;-0.915332;-0.416686;-1.000000;
2.039731;0.980532;-0.211960;1.000696;0.977815;0.212769;-0.912410;-0.415306;-1.000000;
2.043417;0.977247;-0.212077;1.000845;0.978151;0.211926;-0.909412;-0.413847;-1.000000;
2.047104;0.973892;-0.212161;1.001008;0.978503;0.211064;-0.906350;-0.412322;-1.000000;
2.050790;0.970473;-0.212217;1.001181;0.978869;0.210185;-0.903227;-0.410741;-1.000000;
2.054476;0.966988;-0.212251;1.001363;0.979248;0.209289;-0.900043;-0.409110;-1.000000;
2.058163;0.963432;-0.212270;1.001553;0.979638;0.208374;-0.896795;-0.407434;-1.000000;
