time;WTG4B_WTG4B_injector_PInjPu;WTG4B_WTG4B_injector_QInjPu;WTG4B_WTG4B_injector_terminal_V_re;WTG4B_WTG4B_injector_terminal_i_re;WTG4B_WTG4B_injector_terminal_V_im;WTG4B_WTG4B_injector_terminal_i_im;WTG4B_WTG4B_pll_omegaPLLPu;WTG4B_WTG4B_measurements_UPu;
1.173432;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.934342;0.830000;
1.173560;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.940567;0.830000;
1.173688;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.946203;0.830000;
1.173816;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.951305;0.830000;
1.173944;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.955924;0.830000;
1.174072;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.960105;0.830000;
1.174200;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.963890;0.830000;
1.174328;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.967316;0.830000;
1.174456;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.970417;0.830000;
1.174584;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.973224;0.830000;
1.174712;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.975765;0.830000;
1.174840;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.978065;0.830000;
1.174968;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.980147;0.830000;
1.175096;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.982032;0.830000;
1.175224;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.983738;0.830000;
1.175352;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.985282;0.830000;
1.175480;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.986680;0.830000;
1.175608;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.987945;0.830000;
1.175736;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.989090;0.830000;
1.175864;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.990127;0.830000;
1.175992;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.991065;0.830000;
1.176120;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.991915;0.830000;
1.176248;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.992684;0.830000;
1.176376;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.993379;0.830000;
1.176504;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.994009;0.830000;
1.176632;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.994580;0.830000;
1.176888;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.995569;0.830000;
1.177119;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.996306;0.830000;
1.177349;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.996922;0.830000;
1.177579;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.997436;0.830000;
1.177810;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.997865;0.830000;
1.178040;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.998223;0.830000;
