time;WT4A_WT_pQCalculus_PWtPu;WT4A_WT_pQCalculus_QWtPu;WT4A_WT_control4A_UWTPu;WT4A_WT_terminal_V_re;WT4A_WT_terminal_V_im;WT4A_WT_terminal_i_re;WT4A_WT_terminal_i_im;
6.112493;0.491416;0.109522;0.815039;0.804703;0.129391;-0.616622;0.036954;
6.112493;0.491416;0.109522;0.815039;0.804703;0.129391;-0.616622;0.036954;
6.112493;0.491416;0.109522;0.815039;0.804703;0.129391;-0.616622;0.036954;
6.121682;0.495341;0.109474;0.814881;0.804337;0.130667;-0.621545;0.035132;
6.140061;0.498250;0.109442;0.814764;0.804064;0.131613;-0.625193;0.033777;
6.158439;0.499343;0.109470;0.814733;0.803975;0.131967;-0.626562;0.033321;
6.195196;0.499848;0.109511;0.814726;0.803941;0.132130;-0.627194;0.033137;
6.231953;0.499965;0.109525;0.814726;0.803935;0.132167;-0.627340;0.033102;
6.249999;0.499973;0.109526;0.814726;0.803934;0.132170;-0.627349;0.033100;
6.249999;0.681991;0.115510;1.101051;1.093769;0.126416;-0.627349;0.033099;
6.250093;0.681945;0.115697;1.101098;1.093819;0.126399;-0.627300;0.033284;
6.250283;0.681689;0.115616;1.101083;1.093811;0.126336;-0.627067;0.033273;
6.250472;0.681278;0.115096;1.100963;1.093701;0.126246;-0.626707;0.032895;
6.250851;0.679892;0.112437;1.100337;1.093102;0.125969;-0.625530;0.030775;
6.251230;0.677998;0.108287;1.099352;1.092153;0.125606;-0.623941;0.027395;
6.251988;0.672567;0.095016;1.096177;1.089072;0.124604;-0.619433;0.016374;
6.252746;0.665857;0.077692;1.091997;1.085003;0.123394;-0.613895;0.001789;
6.253504;0.658172;0.057110;1.086999;1.080127;0.122030;-0.607576;-0.015713;
6.253798;0.654766;0.047653;1.084652;1.077833;0.121438;-0.604782;-0.023962;
6.253798;0.654736;0.047619;1.084653;1.077835;0.121430;-0.604756;-0.023953;
6.253798;0.654735;0.047618;1.084653;1.077835;0.121430;-0.604756;-0.023953;
6.253798;0.654735;0.047618;1.084653;1.077835;0.121430;-0.604756;-0.023953;
6.253930;0.653359;0.043925;1.083744;1.076947;0.121187;-0.603623;-0.027140;
