time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_efdPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_QGenPu;SynchronousGenerator_generator_omegaPu;
0.035580;0.991854;2.508284;4.750779;1.561623;0.999999;
0.035580;0.991854;2.508284;4.750779;1.561623;0.999999;
0.035704;0.991854;2.508286;4.750778;1.561622;0.999999;
0.035704;0.991854;2.508286;4.750778;1.561622;0.999999;
0.040621;0.991853;2.508355;4.750744;1.561591;0.999999;
0.040621;0.991853;2.508355;4.750744;1.561591;0.999999;
0.040787;0.991853;2.508359;4.750743;1.561590;0.999999;
0.040787;0.991853;2.508359;4.750743;1.561590;0.999999;
0.045746;0.991852;2.508475;4.750718;1.561571;0.999999;
0.050703;0.991851;2.508670;4.750687;1.561554;0.999999;
0.050703;0.991851;2.508670;4.750687;1.561554;0.999999;
0.050953;0.991851;2.508680;4.750687;1.561553;0.999999;
0.050953;0.991851;2.508680;4.750687;1.561553;0.999999;
0.055902;0.991850;2.508869;4.750680;1.561539;0.999999;
0.060784;0.991849;2.509102;4.750655;1.561524;0.999999;
0.060784;0.991849;2.509102;4.750655;1.561524;0.999999;
0.061119;0.991849;2.509118;4.750655;1.561523;0.999999;
0.061119;0.991849;2.509118;4.750655;1.561523;0.999999;
0.066058;0.991848;2.509351;4.750646;1.561514;0.999999;
0.069858;0.991848;2.509554;4.750626;1.561510;0.999999;
0.069858;0.991848;2.509554;4.750626;1.561510;0.999999;
0.070269;0.991848;2.509575;4.750625;1.561510;0.999999;
0.070269;0.991848;2.509575;4.750625;1.561510;0.999999;
0.075199;0.991847;2.509831;4.750617;1.561510;0.999999;
0.078931;0.991847;2.510035;4.750600;1.561513;0.999999;
0.078931;0.991847;2.510035;4.750600;1.561513;0.999999;
0.079418;0.991847;2.510062;4.750598;1.561513;0.999999;
0.079418;0.991847;2.510062;4.750598;1.561513;0.999999;
0.084338;0.991847;2.510326;4.750586;1.561514;0.999998;
0.088005;0.991847;2.510526;4.750569;1.561521;0.999998;
0.088005;0.991847;2.510526;4.750569;1.561521;0.999998;
0.088567;0.991847;2.510556;4.750569;1.561521;0.999998;
0.088567;0.991847;2.510556;4.750569;1.561521;0.999998;
0.093478;0.991848;2.510810;4.750569;1.561516;0.999998;
0.097078;0.991848;2.510987;4.750558;1.561525;0.999998;
0.097078;0.991848;2.510987;4.750558;1.561525;0.999998;
0.097717;0.991848;2.511018;4.750556;1.561526;0.999998;
0.097717;0.991848;2.511018;4.750556;1.561526;0.999998;
0.100000;0.991848;2.511130;4.750549;1.561530;0.999998;
0.100000;0.408750;2.511130;2.788773;4.848267;0.999998;
0.100000;0.408750;2.511247;2.423830;4.954487;0.999998;
0.100000;0.408750;2.511482;1.684811;5.116383;0.999998;
0.100001;0.408749;2.511716;0.938769;5.210876;0.999998;
0.100001;0.408326;2.511830;0.578143;5.230328;0.999998;
0.100001;0.408748;2.511830;0.132410;5.237771;0.999998;
0.100001;0.408748;2.511887;0.132409;5.237768;0.999998;
0.100001;0.408748;2.512001;0.132408;5.237761;0.999998;
0.100001;0.408748;2.512229;0.132407;5.237747;0.999998;
0.100002;0.408747;2.512529;0.132405;5.237729;0.999998;
0.100002;0.408747;2.512529;0.132405;5.237729;0.999998;
0.100002;0.408746;2.512598;0.132404;5.237719;0.999998;
0.100002;0.408746;2.512737;0.132403;5.237712;0.999998;
0.100002;0.408746;2.513013;0.132401;5.237697;0.999999;
0.100003;0.408746;2.513229;0.132401;5.237686;0.999999;
0.100003;0.408746;2.513229;0.132401;5.237686;0.999999;
0.100003;0.408744;2.513312;0.132399;5.237671;0.999999;
0.100003;0.408744;2.513478;0.132398;5.237662;0.999999;
0.100004;0.408744;2.513810;0.132395;5.237644;0.999999;
0.100004;0.408744;2.513929;0.132396;5.237638;0.999999;
0.100004;0.408744;2.513929;0.132396;5.237638;0.999999;
0.100004;0.408743;2.514028;0.132393;5.237628;0.999999;
0.100004;0.408743;2.514226;0.132394;5.237616;0.999999;
0.100005;0.408742;2.514623;0.132396;5.237592;0.999999;
0.100005;0.408742;2.514629;0.132396;5.237592;0.999999;
0.100005;0.408742;2.514629;0.132396;5.237592;0.999999;
0.100005;0.408740;2.514747;0.132397;5.237574;0.999999;
0.100005;0.408740;2.514983;0.132399;5.237562;0.999999;
0.100006;0.408740;2.515329;0.132401;5.237543;0.999999;
0.100006;0.408740;2.515329;0.132401;5.237543;0.999999;
0.100006;0.408739;2.515453;0.132402;5.237532;0.999999;
0.100006;0.408739;2.515700;0.132403;5.237517;0.999999;
0.100007;0.408738;2.516028;0.132405;5.237497;0.999999;
0.100007;0.408738;2.516028;0.132405;5.237497;0.999999;
0.100007;0.408737;2.516171;0.132405;5.237483;0.999999;
0.100007;0.408737;2.516455;0.132403;5.237466;0.999999;
0.100008;0.408736;2.516728;0.132403;5.237450;0.999999;
0.100008;0.408736;2.516728;0.132403;5.237450;0.999999;
0.100008;0.408735;2.516893;0.132400;5.237435;0.999999;
0.100009;0.408735;2.517221;0.132398;5.237417;0.999999;
0.100009;0.408735;2.517428;0.132399;5.237406;0.999999;
0.100009;0.408735;2.517428;0.132399;5.237406;0.999999;
0.100009;0.408733;2.517618;0.132395;5.237386;0.999999;
0.100010;0.408733;2.517998;0.132392;5.237366;0.999999;
0.100010;0.408733;2.518128;0.132393;5.237359;0.999999;
0.100010;0.408733;2.518128;0.132393;5.237359;0.999999;
0.100010;0.408731;2.518348;0.132392;5.237337;0.999999;
0.100011;0.408731;2.518786;0.132400;5.237314;0.999999;
0.100011;0.408731;2.518829;0.132401;5.237311;0.999999;
0.100011;0.408731;2.518829;0.132401;5.237311;0.999999;
0.100011;0.408730;2.519082;0.132403;5.237292;1.000000;
0.100012;0.408729;2.519529;0.132400;5.237265;1.000000;
0.100012;0.408729;2.519529;0.132400;5.237265;1.000000;
0.100012;0.408728;2.519785;0.132398;5.237244;1.000000;
0.100013;0.408727;2.520229;0.132395;5.237217;1.000000;
0.100013;0.408727;2.520229;0.132395;5.237217;1.000000;
0.100013;0.408726;2.520516;0.132393;5.237196;1.000000;
0.100014;0.408726;2.520929;0.132390;5.237174;1.000000;
0.100014;0.408726;2.520929;0.132390;5.237174;1.000000;
0.100014;0.408724;2.521255;0.132388;5.237146;1.000000;
0.100015;0.408724;2.521630;0.132386;5.237126;1.000000;
0.100015;0.408724;2.521630;0.132386;5.237126;1.000000;
0.100015;0.408722;2.521998;0.132382;5.237097;1.000000;
0.100015;0.408722;2.522020;0.132382;5.237096;1.000000;
0.100015;0.408722;2.522020;0.132382;5.237096;1.000000;
0.100015;0.408722;2.522020;0.132382;5.237096;1.000000;
0.100015;0.408722;2.522020;0.132382;5.237096;1.000000;
0.100016;0.408722;2.522330;0.132380;5.237079;1.000000;
0.100016;0.408722;2.522330;0.132380;5.237079;1.000000;
0.100016;0.408721;2.522729;0.132384;5.237051;1.000000;
0.100017;0.408720;2.523031;0.132389;5.237034;1.000000;
0.100017;0.408720;2.523031;0.132389;5.237034;1.000000;
0.100017;0.408719;2.523501;0.132394;5.236999;1.000000;
0.100018;0.408718;2.523732;0.132396;5.236986;1.000000;
0.100018;0.408718;2.523732;0.132396;5.236986;1.000000;
0.100019;0.408717;2.524268;0.132388;5.236951;1.000000;
0.100019;0.408717;2.524432;0.132389;5.236942;1.000000;
0.100019;0.408717;2.524432;0.132389;5.236942;1.000000;
0.100020;0.408714;2.525042;0.132379;5.236896;1.000001;
0.100020;0.408714;2.525133;0.132380;5.236891;1.000001;
0.100020;0.408714;2.525133;0.132380;5.236891;1.000001;
0.100021;0.408713;2.525828;0.132373;5.236847;1.000001;
0.100021;0.408713;2.525834;0.132373;5.236847;1.000001;
0.100021;0.408713;2.525834;0.132373;5.236847;1.000001;
0.100022;0.408711;2.526535;0.132390;5.236801;1.000001;
0.100022;0.408711;2.526535;0.132390;5.236801;1.000001;
0.100023;0.408709;2.527236;0.132389;5.236754;1.000001;
0.100023;0.408709;2.527236;0.132389;5.236754;1.000001;
0.100024;0.408707;2.527937;0.132385;5.236707;1.000001;
0.100024;0.408707;2.527937;0.132385;5.236707;1.000001;
0.100025;0.408706;2.528639;0.132381;5.236660;1.000001;
0.100025;0.408706;2.528639;0.132381;5.236660;1.000001;
0.100026;0.408704;2.529340;0.132378;5.236617;1.000001;
0.100026;0.408704;2.529340;0.132378;5.236617;1.000001;
0.100027;0.408703;2.530042;0.132375;5.236572;1.000001;
0.100027;0.408703;2.530042;0.132375;5.236572;1.000001;
0.100028;0.408701;2.530743;0.132378;5.236527;1.000001;
0.100028;0.408701;2.530743;0.132378;5.236527;1.000001;
0.100029;0.408700;2.531445;0.132382;5.236481;1.000002;
0.100029;0.408700;2.531445;0.132382;5.236481;1.000002;
0.100030;0.408698;2.532147;0.132383;5.236436;1.000002;
0.100030;0.408698;2.532147;0.132383;5.236436;1.000002;
0.100031;0.408697;2.532849;0.132382;5.236392;1.000002;
0.100031;0.408697;2.532849;0.132382;5.236392;1.000002;
0.100032;0.408695;2.533551;0.132385;5.236348;1.000002;
0.100032;0.408695;2.533551;0.132385;5.236348;1.000002;
0.100033;0.408694;2.534253;0.132389;5.236302;1.000002;
0.100033;0.408694;2.534253;0.132389;5.236302;1.000002;
0.100034;0.408692;2.534956;0.132391;5.236256;1.000002;
0.100034;0.408692;2.534956;0.132391;5.236256;1.000002;
0.100035;0.408691;2.535658;0.132392;5.236212;1.000002;
0.100035;0.408691;2.535658;0.132392;5.236212;1.000002;
0.100036;0.408689;2.536361;0.132395;5.236168;1.000002;
0.100036;0.408689;2.536361;0.132395;5.236168;1.000002;
0.100037;0.408688;2.537064;0.132397;5.236124;1.000002;
0.100037;0.408688;2.537064;0.132397;5.236124;1.000002;
0.100038;0.408687;2.537767;0.132400;5.236081;1.000003;
0.100038;0.408687;2.537767;0.132400;5.236081;1.000003;
0.100039;0.408686;2.538470;0.132404;5.236038;1.000003;
0.100039;0.408686;2.538470;0.132404;5.236038;1.000003;
0.100040;0.408684;2.539173;0.132408;5.235995;1.000003;
0.100040;0.408684;2.539173;0.132408;5.235995;1.000003;
