time;WPP3_WPP3_injector_PInjPu;WPP3_WPP3_injector_QInjPu;WPP3_WPP3_injector_terminal_V_re;WPP3_WPP3_injector_terminal_i_re;WPP3_WPP3_injector_terminal_V_im;WPP3_WPP3_injector_terminal_i_im;WPP3_WPP3_pll_omegaPLLPu;WPP3_WPP3_wecc_wtgt_PePu;
1.017378;0.523032;0.404478;0.665490;-0.871704;0.130762;0.436509;1.004200;0.523022;
1.017378;0.523032;0.404477;0.665490;-0.871704;0.130762;0.436507;1.004200;0.523023;
1.017378;0.523033;0.404478;0.665490;-0.871705;0.130762;0.436508;1.004200;0.523023;
1.017379;0.523038;0.404492;0.665493;-0.871713;0.130763;0.436525;1.004200;0.523028;
1.017380;0.523043;0.404507;0.665495;-0.871722;0.130764;0.436542;1.004199;0.523033;
1.017382;0.523053;0.404535;0.665500;-0.871739;0.130767;0.436575;1.004199;0.523043;
1.017386;0.523073;0.404593;0.665510;-0.871773;0.130772;0.436642;1.004197;0.523064;
1.017394;0.523114;0.404708;0.665530;-0.871841;0.130782;0.436775;1.004194;0.523104;
1.017410;0.523195;0.404939;0.665570;-0.871976;0.130803;0.437042;1.004189;0.523186;
1.017442;0.523358;0.405399;0.665650;-0.872247;0.130843;0.437575;1.004177;0.523348;
1.017506;0.523682;0.406318;0.665810;-0.872788;0.130924;0.438638;1.004155;0.523673;
1.017634;0.524328;0.408149;0.666127;-0.873865;0.131086;0.440753;1.004111;0.524319;
1.017890;0.525610;0.411780;0.666756;-0.876001;0.131406;0.444943;1.004029;0.525600;
1.017980;0.526052;0.413040;0.666973;-0.876737;0.131517;0.446396;1.004000;0.526042;
1.017981;0.526057;0.413054;0.666976;-0.876745;0.131518;0.446412;1.004000;0.526047;
1.017982;0.526062;0.413068;0.666978;-0.876753;0.131519;0.446428;1.004000;0.526052;
1.017984;0.526072;0.413096;0.666983;-0.876770;0.131522;0.446460;1.003999;0.526062;
1.017988;0.526092;0.413152;0.666993;-0.876803;0.131527;0.446525;1.003998;0.526082;
1.017996;0.526131;0.413264;0.667012;-0.876869;0.131536;0.446654;1.003995;0.526121;
1.018012;0.526210;0.413489;0.667051;-0.877001;0.131556;0.446913;1.003991;0.526201;
1.018044;0.526369;0.413938;0.667129;-0.877265;0.131596;0.447429;1.003981;0.526359;
1.018108;0.526685;0.414833;0.667283;-0.877792;0.131675;0.448460;1.003963;0.526675;
1.018236;0.527314;0.416617;0.667591;-0.878840;0.131832;0.450512;1.003926;0.527304;
1.018492;0.528546;0.420174;0.668206;-0.880893;0.132140;0.454610;1.003843;0.528536;
1.019004;0.530906;0.427245;0.669432;-0.884827;0.132730;0.462783;1.003645;0.530896;
1.020028;0.535229;0.441210;0.671869;-0.892032;0.133811;0.479032;1.003176;0.535219;
1.021052;0.539062;0.454917;0.674280;-0.898420;0.134769;0.495103;1.002665;0.539052;
1.023100;0.545547;0.481389;0.678969;-0.909227;0.136390;0.526357;1.001737;0.545536;
1.025148;0.550730;0.506428;0.683430;-0.917864;0.137685;0.556094;1.001010;0.550719;
1.027196;0.554977;0.529822;0.687601;-0.924941;0.138747;0.583899;1.000530;0.554965;
1.029244;0.558604;0.551416;0.691435;-0.930985;0.139653;0.609458;1.000275;0.558591;
1.031292;0.561862;0.571120;0.694904;-0.936416;0.140467;0.632582;1.000196;0.561849;
1.033340;0.564938;0.588905;0.697996;-0.941542;0.141236;0.653192;1.000241;0.564925;
1.035388;0.567959;0.604797;0.700713;-0.946576;0.141991;0.671304;1.000365;0.567946;
1.037436;0.571004;0.618862;0.703069;-0.951650;0.142752;0.687005;1.000533;0.570990;
1.039484;0.574115;0.631199;0.705083;-0.956835;0.143530;0.700434;1.000718;0.574101;
1.041532;0.577307;0.641927;0.706783;-0.962155;0.144328;0.711763;1.000901;0.577293;
1.043580;0.580574;0.651180;0.708196;-0.967600;0.145144;0.721182;1.001069;0.580560;
1.045628;0.583899;0.659095;0.709352;-0.973141;0.145976;0.728891;1.001216;0.583884;
1.047676;0.587257;0.665813;0.710282;-0.978736;0.146815;0.735088;1.001336;0.587242;
1.049724;0.590618;0.671468;0.711014;-0.984338;0.147655;0.739966;1.001428;0.590603;
1.053820;0.597204;0.680259;0.712022;-0.995315;0.149302;0.746685;1.001534;0.597189;
1.057506;0.602884;0.685718;0.712498;-1.004781;0.150722;0.749862;1.001551;0.602869;
1.061193;0.608206;0.689455;0.712690;-1.013651;0.152052;0.751136;1.001509;0.608190;
1.064879;0.613099;0.691908;0.712683;-1.021805;0.153276;0.751092;1.001423;0.613083;
1.068565;0.617517;0.693445;0.712551;-1.029169;0.154380;0.750208;1.001308;0.617501;
1.072252;0.621444;0.694348;0.712346;-1.035713;0.155362;0.748846;1.001177;0.621428;
1.075938;0.624884;0.694834;0.712110;-1.041446;0.156222;0.747269;1.001039;0.624868;
1.079625;0.627860;0.695059;0.711868;-1.046406;0.156966;0.745656;1.000903;0.627844;
1.083311;0.630405;0.695131;0.711638;-1.050648;0.157602;0.744123;1.000773;0.630389;
1.086997;0.632560;0.695125;0.711430;-1.054239;0.158141;0.742738;1.000653;0.632543;
1.094370;0.635923;0.695068;0.711096;-1.059844;0.158982;0.740507;1.000451;0.635906;
1.101743;0.638242;0.695021;0.710862;-1.063709;0.159562;0.738953;1.000298;0.638225;
1.109116;0.639794;0.695031;0.710713;-1.066295;0.159950;0.737959;1.000188;0.639777;
1.116489;0.640807;0.695094;0.710626;-1.067983;0.160203;0.737378;1.000114;0.640790;
1.123861;0.641456;0.695187;0.710580;-1.069065;0.160365;0.737069;1.000066;0.641439;
1.131234;0.641867;0.695288;0.710558;-1.069751;0.160468;0.736923;1.000036;0.641850;
1.138607;0.642127;0.695380;0.710550;-1.070184;0.160533;0.736867;1.000018;0.642110;
1.143077;0.642239;0.695428;0.710547;-1.070370;0.160561;0.736853;1.000011;0.642222;
1.143078;0.642239;0.695428;0.710547;-1.070370;0.160561;0.736852;1.000011;0.642222;
1.143079;0.642239;0.695428;0.710547;-1.070370;0.160561;0.736852;1.000011;0.642222;
1.143081;0.642239;0.695428;0.710547;-1.070370;0.160561;0.736852;1.000011;0.642222;
1.143085;0.642239;0.695428;0.710547;-1.070370;0.160561;0.736852;1.000011;0.642222;
1.143093;0.642239;0.695428;0.710547;-1.070370;0.160561;0.736852;1.000011;0.642222;
1.143109;0.642239;0.695428;0.710547;-1.070371;0.160561;0.736852;1.000011;0.642222;
1.143141;0.642240;0.695429;0.710547;-1.070372;0.160561;0.736852;1.000011;0.642223;
1.143205;0.642241;0.695429;0.710547;-1.070374;0.160562;0.736852;1.000011;0.642224;
1.143333;0.642243;0.695431;0.710547;-1.070378;0.160562;0.736852;1.000011;0.642227;
1.143589;0.642248;0.695433;0.710547;-1.070385;0.160563;0.736852;1.000010;0.642231;
1.144101;0.642257;0.695438;0.710547;-1.070401;0.160566;0.736853;1.000010;0.642241;
1.145125;0.642275;0.695448;0.710548;-1.070431;0.160570;0.736853;1.000009;0.642258;
1.146149;0.642292;0.695458;0.710548;-1.070459;0.160574;0.736854;1.000008;0.642275;
1.148197;0.642323;0.695476;0.710548;-1.070511;0.160582;0.736856;1.000006;0.642306;
1.152293;0.642372;0.695505;0.710549;-1.070591;0.160594;0.736859;1.000003;0.642355;
1.156389;0.642412;0.695530;0.710549;-1.070658;0.160604;0.736863;1.000001;0.642395;
1.160485;0.642445;0.695550;0.710550;-1.070713;0.160612;0.736867;0.999999;0.642428;
1.168677;0.642497;0.695585;0.710551;-1.070801;0.160626;0.736874;0.999997;0.642481;
1.176869;0.642533;0.695610;0.710552;-1.070860;0.160635;0.736882;0.999995;0.642516;
1.186632;0.642559;0.695633;0.710553;-1.070903;0.160641;0.736892;0.999994;0.642542;
1.196395;0.642573;0.695649;0.710555;-1.070926;0.160644;0.736904;0.999993;0.642556;
1.206158;0.642578;0.695663;0.710557;-1.070935;0.160646;0.736917;0.999993;0.642561;
1.225684;0.642578;0.695685;0.710561;-1.070936;0.160646;0.736944;0.999993;0.642562;
1.243258;0.642571;0.695701;0.710565;-1.070924;0.160644;0.736968;0.999993;0.642555;
1.249166;0.642569;0.695706;0.710566;-1.070920;0.160643;0.736976;0.999994;0.642552;
1.249167;0.642569;0.695706;0.710566;-1.070920;0.160643;0.736976;0.999994;0.642552;
1.249168;0.642569;0.695706;0.710566;-1.070920;0.160643;0.736976;0.999994;0.642552;
1.249170;0.642569;0.695706;0.710566;-1.070920;0.160643;0.736976;0.999994;0.642552;
1.249174;0.642569;0.695707;0.710566;-1.070920;0.160643;0.736976;0.999994;0.642552;
1.249182;0.642569;0.695707;0.710566;-1.070920;0.160643;0.736976;0.999994;0.642552;
1.249198;0.642569;0.695707;0.710566;-1.070920;0.160643;0.736976;0.999994;0.642552;
1.249230;0.642569;0.695707;0.710566;-1.070919;0.160643;0.736976;0.999994;0.642552;
1.249294;0.642569;0.695707;0.710566;-1.070919;0.160643;0.736976;0.999994;0.642552;
1.249422;0.642568;0.695707;0.710566;-1.070919;0.160643;0.736977;0.999994;0.642552;
1.249678;0.642568;0.695707;0.710566;-1.070919;0.160643;0.736977;0.999994;0.642551;
1.250190;0.642568;0.695707;0.710566;-1.070919;0.160643;0.736978;0.999994;0.642551;
1.251214;0.642567;0.695708;0.710566;-1.070918;0.160643;0.736979;0.999994;0.642551;
1.252238;0.642567;0.695709;0.710567;-1.070917;0.160643;0.736980;0.999994;0.642550;
1.254286;0.642566;0.695711;0.710567;-1.070915;0.160643;0.736983;0.999994;0.642549;
1.258382;0.642563;0.695714;0.710568;-1.070911;0.160642;0.736988;0.999994;0.642546;
1.262478;0.642561;0.695717;0.710569;-1.070907;0.160642;0.736994;0.999994;0.642544;
1.270670;0.642557;0.695723;0.710570;-1.070900;0.160641;0.737003;0.999995;0.642540;
1.278043;0.642553;0.695727;0.710571;-1.070894;0.160640;0.737012;0.999995;0.642537;
1.285416;0.642550;0.695732;0.710573;-1.070889;0.160639;0.737020;0.999995;0.642533;
1.292789;0.642547;0.695737;0.710574;-1.070884;0.160638;0.737027;0.999995;0.642530;
1.307534;0.642541;0.695745;0.710576;-1.070874;0.160637;0.737041;0.999996;0.642524;
1.322280;0.642536;0.695753;0.710578;-1.070865;0.160635;0.737054;0.999996;0.642519;
1.337026;0.642531;0.695760;0.710580;-1.070857;0.160634;0.737066;0.999997;0.642514;
1.366517;0.642522;0.695772;0.710583;-1.070843;0.160632;0.737086;0.999997;0.642506;
1.396008;0.642516;0.695782;0.710585;-1.070831;0.160630;0.737103;0.999998;0.642499;
1.424604;0.642510;0.695790;0.710587;-1.070822;0.160629;0.737116;0.999998;0.642493;
1.424605;0.642510;0.695790;0.710587;-1.070822;0.160629;0.737116;0.999998;0.642493;
1.424606;0.642510;0.695790;0.710587;-1.070822;0.160629;0.737116;0.999998;0.642493;
1.424608;0.642510;0.695790;0.710587;-1.070822;0.160629;0.737116;0.999998;0.642493;
1.424612;0.642510;0.695790;0.710587;-1.070822;0.160629;0.737116;0.999998;0.642493;
1.424620;0.642510;0.695790;0.710587;-1.070822;0.160629;0.737116;0.999998;0.642493;
1.424636;0.642510;0.695790;0.710587;-1.070822;0.160629;0.737116;0.999998;0.642493;
1.424668;0.642510;0.695790;0.710587;-1.070822;0.160629;0.737116;0.999998;0.642493;
1.424732;0.642510;0.695790;0.710587;-1.070822;0.160629;0.737116;0.999998;0.642493;
1.424860;0.642510;0.695790;0.710587;-1.070822;0.160629;0.737116;0.999998;0.642493;
1.425116;0.642510;0.695790;0.710587;-1.070822;0.160629;0.737117;0.999998;0.642493;
1.425628;0.642510;0.695790;0.710587;-1.070822;0.160629;0.737117;0.999998;0.642493;
1.426652;0.642510;0.695791;0.710587;-1.070821;0.160629;0.737117;0.999998;0.642493;
1.428700;0.642509;0.695791;0.710587;-1.070821;0.160629;0.737118;0.999998;0.642492;
1.432796;0.642509;0.695792;0.710588;-1.070820;0.160628;0.737120;0.999998;0.642492;
1.440988;0.642507;0.695794;0.710588;-1.070817;0.160628;0.737123;0.999998;0.642490;
1.457372;0.642505;0.695798;0.710589;-1.070813;0.160628;0.737129;0.999998;0.642488;
1.490140;0.642501;0.695803;0.710590;-1.070807;0.160627;0.737138;0.999999;0.642484;
1.522908;0.642498;0.695808;0.710592;-1.070801;0.160626;0.737146;0.999999;0.642481;
1.555676;0.642495;0.695812;0.710593;-1.070797;0.160625;0.737153;0.999999;0.642478;
1.588444;0.642493;0.695815;0.710593;-1.070793;0.160625;0.737158;0.999999;0.642476;
1.621212;0.642491;0.695818;0.710594;-1.070791;0.160624;0.737162;0.999999;0.642474;
1.653980;0.642490;0.695819;0.710594;-1.070788;0.160624;0.737165;1.000000;0.642473;
1.686748;0.642489;0.695821;0.710595;-1.070786;0.160624;0.737168;1.000000;0.642472;
1.719516;0.642488;0.695822;0.710595;-1.070785;0.160623;0.737170;1.000000;0.642471;
1.752284;0.642487;0.695823;0.710595;-1.070784;0.160623;0.737171;1.000000;0.642470;
1.785052;0.642487;0.695824;0.710596;-1.070783;0.160623;0.737173;1.000000;0.642470;
1.817820;0.642486;0.695825;0.710596;-1.070782;0.160623;0.737174;1.000000;0.642469;
1.850588;0.642486;0.695825;0.710596;-1.070782;0.160623;0.737175;1.000000;0.642469;
1.883356;0.642486;0.695826;0.710596;-1.070781;0.160623;0.737175;1.000000;0.642469;
1.916124;0.642485;0.695826;0.710596;-1.070781;0.160623;0.737176;1.000000;0.642469;
1.948892;0.642485;0.695826;0.710596;-1.070781;0.160623;0.737176;1.000000;0.642468;
1.981660;0.642485;0.695826;0.710596;-1.070780;0.160623;0.737177;1.000000;0.642468;
2.000000;0.642485;0.695826;0.710596;-1.070780;0.160623;0.737177;1.000000;0.642468;
2.000000;1.070797;0.990697;1.110596;-1.070780;0.160623;0.737177;0.735425;1.070780;
2.000001;1.070736;0.990786;1.110609;-1.070719;0.160613;0.737266;0.735666;1.070719;
2.000002;1.070675;0.990875;1.110623;-1.070658;0.160604;0.737355;0.735907;1.070658;
2.000004;1.070553;0.991052;1.110649;-1.070536;0.160586;0.737532;0.736389;1.070536;
2.000008;1.070309;0.991406;1.110702;-1.070292;0.160549;0.737886;0.737349;1.070292;
2.000016;1.069824;0.992109;1.110808;-1.069807;0.160477;0.738589;0.739260;1.069807;
2.000032;1.068864;0.993498;1.111016;-1.068847;0.160333;0.739977;0.743043;1.068847;
2.000064;1.066984;0.996206;1.111422;-1.066967;0.160050;0.742685;0.750451;1.066967;
2.000128;1.063379;1.001357;1.112195;-1.063362;0.159510;0.747837;0.764659;1.063362;
2.000256;1.056758;1.010677;1.113593;-1.056741;0.158516;0.757158;0.790823;1.056741;
2.000384;1.050888;1.018790;1.114811;-1.050871;0.157636;0.765273;0.814190;1.050871;
2.000469;1.047349;1.023613;1.115535;-1.047332;0.157105;0.770099;0.828415;1.047332;
2.000470;1.047307;1.023663;1.115542;-1.047290;0.157098;0.770150;0.828575;1.047290;
2.000471;1.047268;1.023716;1.115550;-1.047251;0.157093;0.770203;0.828734;1.047251;
2.000473;1.047189;1.023822;1.115566;-1.047172;0.157081;0.770310;0.829050;1.047172;
2.000477;1.047033;1.024034;1.115598;-1.047016;0.157057;0.770521;0.829683;1.047016;
2.000485;1.046721;1.024454;1.115661;-1.046704;0.157011;0.770942;0.830940;1.046704;
2.000501;1.046104;1.025282;1.115786;-1.046087;0.156918;0.771772;0.833427;1.046087;
2.000533;1.044894;1.026894;1.116028;-1.044877;0.156736;0.773389;0.838293;1.044877;
2.000597;1.042566;1.029942;1.116488;-1.042549;0.156387;0.776454;0.847613;1.042549;
2.000725;1.038250;1.035388;1.117314;-1.038233;0.155740;0.781959;0.864724;1.038233;
2.000853;1.034360;1.040028;1.118024;-1.034343;0.155156;0.786694;0.879943;1.034343;
2.000981;1.030854;1.043940;1.118630;-1.030837;0.154630;0.790736;0.893462;1.030837;
2.001109;1.027690;1.047196;1.119143;-1.027674;0.154155;0.794156;0.905464;1.027674;
2.001237;1.024832;1.049861;1.119573;-1.024815;0.153727;0.797018;0.916115;1.024815;
2.001365;1.022243;1.051994;1.119927;-1.022227;0.153338;0.799380;0.925563;1.022227;
2.001493;1.019893;1.053646;1.120214;-1.019876;0.152986;0.801293;0.933943;1.019876;
2.001621;1.017752;1.054863;1.120440;-1.017735;0.152664;0.802801;0.941371;1.017735;
2.001877;1.013966;1.056189;1.120740;-1.013949;0.152097;0.804800;0.953903;1.013949;
2.002108;1.011049;1.056250;1.120854;-1.011033;0.151659;0.805562;0.962853;1.011033;
2.002338;1.008489;1.055402;1.120845;-1.008472;0.151275;0.805504;0.970026;1.008472;
2.002462;1.007222;1.054624;1.120798;-1.007206;0.151085;0.805186;0.973294;1.007206;
