time;WTG4B_WTG4B_injector_PInjPu;WTG4B_WTG4B_injector_QInjPu;WTG4B_WTG4B_injector_terminal_V_re;WTG4B_WTG4B_injector_terminal_i_re;WTG4B_WTG4B_injector_terminal_V_im;WTG4B_WTG4B_injector_terminal_i_im;WTG4B_WTG4B_pll_omegaPLLPu;
1.018236;0.527308;0.416615;0.667579;-0.878847;0.131829;0.450521;1.003926;
1.018492;0.528540;0.420172;0.668194;-0.880900;0.132137;0.454618;1.003842;
1.019004;0.530900;0.427243;0.669420;-0.884833;0.132727;0.462792;1.003645;
1.020028;0.535222;0.441207;0.671857;-0.892037;0.133807;0.479040;1.003176;
1.021052;0.539055;0.454914;0.674268;-0.898425;0.134766;0.495111;1.002665;
1.023100;0.545539;0.481385;0.678956;-0.909231;0.136387;0.526364;1.001737;
1.024943;0.550237;0.503995;0.682985;-0.917061;0.137561;0.553223;1.001070;
1.026787;0.554160;0.525283;0.686781;-0.923600;0.138542;0.578534;1.000605;
1.028630;0.557537;0.545132;0.690311;-0.929228;0.139386;0.602063;1.000330;
1.030473;0.560562;0.563464;0.693549;-0.934271;0.140143;0.623652;1.000211;
1.032316;0.563388;0.580245;0.696484;-0.938980;0.140849;0.643218;1.000208;
1.034159;0.566123;0.595476;0.699113;-0.943539;0.141533;0.660744;1.000287;
1.036003;0.568845;0.609191;0.701442;-0.948074;0.142213;0.676268;1.000416;
1.037846;0.571599;0.621448;0.703482;-0.952665;0.142902;0.689869;1.000573;
1.039689;0.574411;0.632323;0.705250;-0.957352;0.143605;0.701656;1.000739;
1.041532;0.577289;0.641906;0.706765;-0.962149;0.144324;0.711757;1.000903;
1.043375;0.580228;0.650294;0.708048;-0.967047;0.145059;0.720311;1.001055;
1.045219;0.583216;0.657587;0.709121;-0.972026;0.145806;0.727464;1.001190;
1.048905;0.589236;0.669423;0.710748;-0.982060;0.147311;0.738312;1.001394;
1.052223;0.594623;0.677312;0.711703;-0.991038;0.148658;0.744674;1.001505;
1.055541;0.599857;0.683134;0.712288;-0.999762;0.149966;0.748578;1.001552;
1.058858;0.604851;0.687315;0.712593;-1.008085;0.151215;0.750607;1.001543;
1.062176;0.609532;0.690233;0.712692;-1.015887;0.152385;0.751273;1.001491;
1.065494;0.613851;0.692204;0.712651;-1.023085;0.153465;0.750994;1.001406;
1.068812;0.617779;0.693485;0.712517;-1.029631;0.154447;0.750103;1.001299;
1.072129;0.621305;0.694275;0.712330;-1.035509;0.155328;0.748855;1.001180;
1.075447;0.624435;0.694731;0.712117;-1.040724;0.156111;0.747437;1.001056;
1.078765;0.627184;0.694966;0.711899;-1.045306;0.156798;0.745982;1.000932;
1.085400;0.631677;0.695138;0.711501;-1.052794;0.157921;0.743329;1.000704;
1.092036;0.634999;0.695102;0.711175;-1.058332;0.158752;0.741153;1.000511;
1.098671;0.637388;0.695035;0.710931;-1.062313;0.159349;0.739531;1.000356;
1.105307;0.639063;0.695008;0.710764;-1.065104;0.159768;0.738416;1.000240;
1.111942;0.640213;0.695036;0.710657;-1.067021;0.160055;0.737703;1.000157;
1.118578;0.640990;0.695104;0.710593;-1.068317;0.160250;0.737280;1.000099;
1.125214;0.641511;0.695191;0.710559;-1.069184;0.160380;0.737048;1.000061;
1.131849;0.641857;0.695282;0.710541;-1.069762;0.160467;0.736932;1.000036;
1.138485;0.642089;0.695364;0.710534;-1.070148;0.160524;0.736882;1.000020;
1.145120;0.642244;0.695433;0.710531;-1.070407;0.160563;0.736864;1.000010;
1.158391;0.642438;0.695531;0.710530;-1.070730;0.160612;0.736857;0.999998;
1.171662;0.642527;0.695589;0.710532;-1.070878;0.160634;0.736870;0.999994;
1.184933;0.642562;0.695622;0.710535;-1.070937;0.160643;0.736887;0.999992;
1.198204;0.642573;0.695642;0.710537;-1.070955;0.160645;0.736904;0.999992;
1.210116;0.642572;0.695655;0.710540;-1.070953;0.160645;0.736921;0.999992;
1.222028;0.642567;0.695666;0.710542;-1.070945;0.160644;0.736938;0.999993;
1.233940;0.642560;0.695677;0.710545;-1.070934;0.160642;0.736955;0.999993;
1.245852;0.642553;0.695687;0.710547;-1.070922;0.160641;0.736972;0.999994;
1.257764;0.642546;0.695696;0.710550;-1.070911;0.160639;0.736988;0.999994;
1.281589;0.642535;0.695713;0.710554;-1.070891;0.160636;0.737016;0.999995;
1.302406;0.642526;0.695726;0.710557;-1.070876;0.160634;0.737038;0.999996;
1.323224;0.642518;0.695737;0.710560;-1.070863;0.160632;0.737056;0.999996;
1.344042;0.642511;0.695747;0.710562;-1.070852;0.160630;0.737072;0.999997;
1.364859;0.642506;0.695755;0.710564;-1.070843;0.160629;0.737086;0.999997;
1.385677;0.642501;0.695763;0.710566;-1.070834;0.160627;0.737098;0.999998;
1.406495;0.642496;0.695769;0.710568;-1.070827;0.160626;0.737109;0.999998;
1.427312;0.642492;0.695774;0.710569;-1.070821;0.160625;0.737118;0.999998;
1.468948;0.642486;0.695783;0.710571;-1.070810;0.160624;0.737133;0.999999;
1.510583;0.642482;0.695790;0.710573;-1.070803;0.160623;0.737144;0.999999;
1.552218;0.642478;0.695795;0.710574;-1.070797;0.160622;0.737153;0.999999;
1.593854;0.642475;0.695799;0.710575;-1.070792;0.160621;0.737159;0.999999;
1.635489;0.642474;0.695802;0.710576;-1.070789;0.160621;0.737164;1.000000;
1.677124;0.642472;0.695804;0.710577;-1.070787;0.160620;0.737167;1.000000;
1.760395;0.642470;0.695807;0.710577;-1.070783;0.160620;0.737172;1.000000;
1.843666;0.642469;0.695809;0.710578;-1.070781;0.160619;0.737175;1.000000;
1.883801;0.642469;0.695809;0.710578;-1.070781;0.160619;0.737176;1.000000;
1.883802;0.642469;0.695809;0.710578;-1.070781;0.160619;0.737176;1.000000;
1.883803;0.642469;0.695809;0.710578;-1.070781;0.160619;0.737176;1.000000;
1.883805;0.642469;0.695809;0.710578;-1.070781;0.160619;0.737176;1.000000;
1.883809;0.642469;0.695809;0.710578;-1.070781;0.160619;0.737176;1.000000;
1.883817;0.642469;0.695809;0.710578;-1.070781;0.160619;0.737176;1.000000;
1.883833;0.642469;0.695809;0.710578;-1.070781;0.160619;0.737176;1.000000;
1.883865;0.642469;0.695809;0.710578;-1.070781;0.160619;0.737176;1.000000;
1.883929;0.642469;0.695809;0.710578;-1.070781;0.160619;0.737176;1.000000;
1.884057;0.642469;0.695809;0.710578;-1.070781;0.160619;0.737176;1.000000;
1.884313;0.642469;0.695809;0.710578;-1.070781;0.160619;0.737176;1.000000;
1.884825;0.642469;0.695809;0.710578;-1.070781;0.160619;0.737176;1.000000;
1.885849;0.642469;0.695809;0.710578;-1.070781;0.160619;0.737176;1.000000;
1.887897;0.642469;0.695809;0.710578;-1.070781;0.160619;0.737176;1.000000;
1.891993;0.642468;0.695809;0.710578;-1.070781;0.160619;0.737176;1.000000;
1.900185;0.642468;0.695809;0.710578;-1.070781;0.160619;0.737176;1.000000;
1.916569;0.642468;0.695809;0.710578;-1.070781;0.160619;0.737176;1.000000;
1.949337;0.642468;0.695809;0.710578;-1.070780;0.160619;0.737177;1.000000;
2.000000;0.642468;0.695810;0.710578;-1.070780;0.160619;0.737177;1.000000;
2.000000;1.070780;0.990681;1.110578;-1.070780;0.160619;0.737177;0.735425;
2.000001;1.070719;0.990769;1.110591;-1.070719;0.160610;0.737266;0.735666;
2.000002;1.070658;0.990858;1.110605;-1.070658;0.160601;0.737355;0.735907;
2.000004;1.070536;0.991036;1.110631;-1.070536;0.160583;0.737532;0.736389;
2.000008;1.070292;0.991389;1.110684;-1.070292;0.160546;0.737886;0.737350;
2.000016;1.069807;0.992092;1.110790;-1.069807;0.160473;0.738589;0.739261;
2.000032;1.068847;0.993481;1.110998;-1.068847;0.160329;0.739978;0.743043;
2.000064;1.066967;0.996189;1.111404;-1.066967;0.160047;0.742686;0.750451;
2.000128;1.063362;1.001340;1.112177;-1.063362;0.159506;0.747837;0.764660;
2.000256;1.056741;1.010661;1.113575;-1.056741;0.158513;0.757159;0.790824;
2.000384;1.050871;1.018773;1.114793;-1.050871;0.157633;0.765274;0.814190;
2.000469;1.047332;1.023596;1.115516;-1.047332;0.157102;0.770099;0.828415;
2.000470;1.047290;1.023646;1.115524;-1.047290;0.157096;0.770150;0.828575;
2.000471;1.047251;1.023699;1.115532;-1.047251;0.157090;0.770204;0.828734;
2.000473;1.047172;1.023805;1.115548;-1.047172;0.157078;0.770310;0.829051;
2.000477;1.047016;1.024017;1.115580;-1.047016;0.157055;0.770521;0.829683;
2.000485;1.046704;1.024437;1.115643;-1.046704;0.157008;0.770942;0.830940;
2.000501;1.046087;1.025265;1.115767;-1.046087;0.156915;0.771772;0.833427;
2.000533;1.044877;1.026877;1.116010;-1.044877;0.156734;0.773389;0.838293;
2.000597;1.042549;1.029926;1.116470;-1.042549;0.156384;0.776454;0.847614;
2.000725;1.038233;1.035371;1.117296;-1.038233;0.155737;0.781959;0.864724;
2.000853;1.034343;1.040011;1.118006;-1.034343;0.155154;0.786694;0.879943;
2.000981;1.030837;1.043923;1.118612;-1.030837;0.154628;0.790736;0.893462;
2.001109;1.027674;1.047179;1.119125;-1.027674;0.154153;0.794156;0.905464;
2.001237;1.024815;1.049844;1.119554;-1.024815;0.153724;0.797018;0.916115;
2.001365;1.022227;1.051977;1.119909;-1.022227;0.153336;0.799380;0.925564;
2.001493;1.019876;1.053629;1.120196;-1.019876;0.152984;0.801293;0.933943;
2.001621;1.017735;1.054846;1.120422;-1.017735;0.152662;0.802802;0.941371;
2.001749;1.015777;1.055668;1.120593;-1.015777;0.152369;0.803945;0.947956;
2.001877;1.013979;1.056132;1.120716;-1.013979;0.152099;0.804760;0.953790;
2.002133;1.010760;1.056142;1.120835;-1.010760;0.151616;0.805556;0.963624;
2.002364;1.008229;1.055207;1.120815;-1.008229;0.151236;0.805420;0.970638;
2.002462;1.007227;1.054576;1.120775;-1.007227;0.151086;0.805155;0.973209;
2.002463;1.007217;1.054568;1.120774;-1.007217;0.151085;0.805151;0.973233;
2.002464;1.007208;1.054561;1.120774;-1.007208;0.151083;0.805148;0.973257;
2.002466;1.007188;1.054546;1.120773;-1.007188;0.151080;0.805141;0.973305;
2.002470;1.007149;1.054516;1.120771;-1.007149;0.151074;0.805126;0.973402;
2.002478;1.007071;1.054456;1.120766;-1.007071;0.151063;0.805097;0.973594;
2.002494;1.006916;1.054334;1.120757;-1.006916;0.151039;0.805036;0.973973;
2.002526;1.006609;1.054079;1.120737;-1.006609;0.150993;0.804905;0.974714;
2.002590;1.006006;1.053531;1.120693;-1.006006;0.150903;0.804611;0.976132;
