time;WT4A_WT_controlMeasurements_PPu;WT4A_WT_controlMeasurements_QPu;WT4A_WT_controlMeasurements_UPu;WT4A_WT_terminal_V_re;WT4A_WT_terminal_V_im;WT4A_WT_terminal_i_re;WT4A_WT_terminal_i_im;WT4A_WT_control4A_ipMaxPu;WT4A_WT_control4A_iqMaxPu;
6.252683;0.665379;0.049730;1.084973;1.077854;0.124084;-0.614486;-0.024602;1.000000;1.000000;
6.252956;0.662959;0.043599;1.083468;1.076389;0.123645;-0.612481;-0.029851;1.000000;1.000000;
6.253504;0.657811;0.030816;1.080318;1.073327;0.122705;-0.608204;-0.040820;1.000000;1.000000;
6.253809;0.654721;0.023304;1.078460;1.071521;0.122136;-0.605631;-0.047284;1.000000;0.947132;
6.253809;0.654702;0.023306;1.078461;1.071523;0.122131;-0.605613;-0.047277;1.000000;1.000000;
6.253956;0.653270;0.019792;1.077589;1.070675;0.121869;-0.604421;-0.050312;1.000000;1.000000;
6.253956;0.653268;0.019792;1.077589;1.070675;0.121868;-0.604419;-0.050311;1.000000;1.000000;
6.253957;0.653262;0.019778;1.077585;1.070672;0.121867;-0.604414;-0.050324;1.000000;0.999922;
6.253957;0.653262;0.019778;1.077585;1.070672;0.121867;-0.604414;-0.050324;1.000000;1.000000;
6.253957;0.653262;0.019778;1.077585;1.070672;0.121867;-0.604414;-0.050324;1.000000;0.999998;
6.253957;0.653262;0.019778;1.077585;1.070672;0.121867;-0.604414;-0.050324;1.000000;1.000000;
6.254155;0.651305;0.014991;1.076396;1.069515;0.121508;-0.602784;-0.054466;1.000000;0.973509;
6.254155;0.651304;0.014991;1.076396;1.069516;0.121508;-0.602783;-0.054465;1.000000;0.949399;
6.254155;0.651304;0.014991;1.076396;1.069515;0.121508;-0.602783;-0.054465;1.000000;0.949399;
6.254155;0.651304;0.014991;1.076395;1.069515;0.121508;-0.602783;-0.054466;1.000000;0.949399;
6.254264;0.650209;0.012323;1.075731;1.068870;0.121306;-0.601871;-0.056777;1.000000;0.950066;
6.254264;0.650208;0.012324;1.075731;1.068870;0.121306;-0.601869;-0.056777;1.000000;0.950070;
6.254543;0.647415;0.005536;1.074038;1.067224;0.120793;-0.599541;-0.062671;1.000000;0.825228;
6.255099;0.641690;-0.008252;1.070581;1.063865;0.119737;-0.594762;-0.074697;1.000000;0.593587;
6.256211;0.630020;-0.036035;1.063549;1.057030;0.117579;-0.584998;-0.099163;1.006689;0.330000;
6.257323;0.618465;-0.063414;1.056524;1.050198;0.115442;-0.575314;-0.123624;1.023573;0.330000;
6.259548;0.596835;-0.114363;1.043185;1.037215;0.111444;-0.557141;-0.170122;1.047959;0.330000;
6.259715;0.595392;-0.117812;1.042269;1.036322;0.111179;-0.555930;-0.173325;1.049232;0.330000;
6.259715;0.595372;-0.117810;1.042270;1.036324;0.111174;-0.555911;-0.173318;1.049232;0.330009;
6.259724;0.595279;-0.118029;1.042212;1.036267;0.111157;-0.555833;-0.173521;1.049332;0.330009;
6.260027;0.592436;-0.124746;1.040422;1.034523;0.110633;-0.553441;-0.179769;1.052404;0.330000;
6.260633;0.586892;-0.137839;1.036916;1.031106;0.109613;-0.548774;-0.192019;1.057931;0.330000;
6.261843;0.576470;-0.162460;1.030252;1.024607;0.107698;-0.539993;-0.215318;1.066831;0.330000;
6.264265;0.558613;-0.204851;1.018555;1.013187;0.104432;-0.524926;-0.256290;1.078121;0.330000;
6.266687;0.543869;-0.240314;1.008537;1.003389;0.101759;-0.512472;-0.291474;1.084606;0.330000;
6.268022;0.537279;-0.256433;1.003909;0.998857;0.100575;-0.506905;-0.307767;1.086280;0.330000;
6.268022;0.537181;-0.256424;1.003912;0.998864;0.100550;-0.506814;-0.307734;1.086280;0.330008;
