time;WT4B_WT_controlMeasurements_PPu;WT4B_WT_controlMeasurements_QPu;WT4B_WT_controlMeasurements_UPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;WT4B_WT_gridProtection_fOCB;
2.060320;0.696822;-0.218224;1.011137;1.001379;0.140136;-0.652585;-0.309248;-1.000000;
2.064416;0.681415;-0.218351;1.011571;1.002360;0.136199;-0.638424;-0.304585;-1.000000;
2.068512;0.667209;-0.218451;1.011959;1.003238;0.132571;-0.625363;-0.300383;-1.000000;
2.072608;0.654125;-0.218537;1.012304;1.004022;0.129229;-0.613329;-0.296604;-1.000000;
2.076704;0.642083;-0.218615;1.012610;1.004721;0.126155;-0.602250;-0.293208;-1.000000;
2.080800;0.631004;-0.218687;1.012881;1.005346;0.123327;-0.592056;-0.290153;-1.000000;
2.084896;0.620817;-0.218752;1.013123;1.005904;0.120728;-0.582680;-0.287401;-1.000000;
2.088992;0.611453;-0.218808;1.013338;1.006405;0.118339;-0.574059;-0.284917;-1.000000;
2.093088;0.602847;-0.218856;1.013532;1.006855;0.116144;-0.566135;-0.282671;-1.000000;
2.097184;0.594939;-0.218895;1.013706;1.007261;0.114127;-0.558853;-0.280637;-1.000000;
2.101280;0.587672;-0.218926;1.013863;1.007627;0.112273;-0.552160;-0.278793;-1.000000;
2.105376;0.580995;-0.218952;1.014004;1.007958;0.110571;-0.546009;-0.277119;-1.000000;
2.109472;0.574860;-0.218972;1.014132;1.008257;0.109007;-0.540357;-0.275599;-1.000000;
2.111520;0.571986;-0.218983;1.014191;1.008395;0.108274;-0.537708;-0.274895;-1.000000;
2.115616;0.566584;-0.218995;1.014302;1.008653;0.106896;-0.532730;-0.273575;-1.000000;
2.119712;0.561617;-0.219005;1.014402;1.008887;0.105630;-0.528153;-0.272373;-1.000000;
2.121760;0.559290;-0.219009;1.014449;1.008996;0.105037;-0.526008;-0.271814;-1.000000;
2.125856;0.554914;-0.219015;1.014535;1.009199;0.103921;-0.521974;-0.270768;-1.000000;
2.129952;0.550890;-0.219019;1.014614;1.009383;0.102896;-0.518264;-0.269814;-1.000000;
2.132000;0.549004;-0.219020;1.014651;1.009469;0.102415;-0.516525;-0.269370;-1.000000;
2.136096;0.545455;-0.219022;1.014720;1.009629;0.101510;-0.513253;-0.268537;-1.000000;
2.144288;0.539159;-0.219019;1.014841;1.009911;0.099905;-0.507448;-0.267069;-1.000000;
2.146336;0.537749;-0.219017;1.014868;1.009974;0.099546;-0.506147;-0.266741;-1.000000;
2.147360;0.537066;-0.219016;1.014881;1.010004;0.099372;-0.505518;-0.266583;-1.000000;
2.149408;0.535742;-0.219013;1.014906;1.010063;0.099035;-0.504297;-0.266276;-1.000000;
2.150432;0.535101;-0.219012;1.014919;1.010091;0.098871;-0.503705;-0.266128;-1.000000;
2.150944;0.534785;-0.219011;1.014925;1.010105;0.098790;-0.503414;-0.266055;-1.000000;
2.151968;0.534163;-0.219009;1.014937;1.010133;0.098632;-0.502840;-0.265911;-1.000000;
2.152480;0.533856;-0.219008;1.014943;1.010147;0.098554;-0.502558;-0.265840;-1.000000;
2.153504;0.533253;-0.219006;1.014954;1.010173;0.098400;-0.502001;-0.265700;-1.000000;
2.154016;0.532956;-0.219006;1.014960;1.010186;0.098324;-0.501727;-0.265632;-1.000000;
2.154272;0.532809;-0.219005;1.014963;1.010193;0.098287;-0.501591;-0.265598;-1.000000;
2.154784;0.532516;-0.219004;1.014969;1.010206;0.098212;-0.501321;-0.265530;-1.000000;
2.155808;0.531940;-0.219002;1.014980;1.010231;0.098065;-0.500790;-0.265397;-1.000000;
2.156320;0.531656;-0.219001;1.014985;1.010244;0.097993;-0.500528;-0.265331;-1.000000;
2.156576;0.531515;-0.219001;1.014988;1.010250;0.097957;-0.500398;-0.265299;-1.000000;
2.157088;0.531235;-0.219000;1.014993;1.010262;0.097886;-0.500140;-0.265234;-1.000000;
2.158112;0.530684;-0.218997;1.015004;1.010287;0.097745;-0.499632;-0.265107;-1.000000;
2.158624;0.530413;-0.218996;1.015009;1.010299;0.097676;-0.499382;-0.265044;-1.000000;
2.158880;0.530279;-0.218996;1.015012;1.010305;0.097642;-0.499258;-0.265013;-1.000000;
2.159392;0.530011;-0.218995;1.015017;1.010316;0.097574;-0.499011;-0.264952;-1.000000;
