time;Load2_load_PPu;Load2_load_QPu;Bus1_bus_U;
18.9843750000;0.0404254090;0.0051069173;1.9866597674;
19.0234375000;0.0404303560;0.0051072039;1.9869363919;
19.0429687500;0.0404258518;0.0051070291;1.9866815663;
19.0820312500;0.0404314422;0.0051073325;1.9869972038;
19.1015625000;0.0404262595;0.0051071320;1.9867016388;
19.1406250000;0.0404325638;0.0051074516;1.9870611855;
19.1601562500;0.0404266235;0.0051072238;1.9867195694;
19.1992187500;0.0404337223;0.0051075599;1.9871286371;
19.2187500000;0.0404269408;0.0051073038;1.9867352014;
19.2578125000;0.0404349223;0.0051076567;1.9872000498;
19.2773437500;0.0404272104;0.0051073718;1.9867484993;
19.3164062500;0.0404361699;0.0051077417;1.9872760210;
19.3359375000;0.0404274330;0.0051074278;1.9867594858;
19.3750000000;0.0404374719;0.0051078146;1.9873572130;
19.3945312500;0.0404276094;0.0051074722;1.9867682104;
19.4335937500;0.0404388350;0.0051078753;1.9874443307;
19.4531250000;0.0404277411;0.0051075052;1.9867747349;
19.4921875000;0.0404402661;0.0051079234;1.9875381081;
19.5117187500;0.0404278292;0.0051075272;1.9867791251;
19.5507812500;0.0404417710;0.0051079586;1.9876392986;
19.5703125000;0.0404278752;0.0051075385;1.9867814470;
19.6093750000;0.0404276698;0.0051068764;1.9867948072;
19.6289062500;0.0404240816;0.0051065795;1.9865950760;
19.6679687500;0.0404261691;0.0051064060;1.9867261773;
19.6875000000;0.0404229190;0.0051062854;1.9865380116;
19.7265625000;0.0404261638;0.0051063036;1.9867319678;
19.7460937500;0.0404228040;0.0051062558;1.9865324284;
19.7851562500;0.0404267731;0.0051063453;1.9867690848;
19.8046875000;0.0404230998;0.0051063300;1.9865470412;
19.8437500000;0.0404276367;0.0051064392;1.9868200056;
19.8632812500;0.0404235440;0.0051064416;1.9865689487;
19.9023437500;0.0404286041;0.0051065465;1.9868775282;
19.9218750000;0.0404240256;0.0051065625;1.9865926988;
19.9609375000;0.0404296104;0.0051066502;1.9869387035;
19.9804687500;0.0404244970;0.0051066808;1.9866159465;
20.0195312500;0.0404306274;0.0051067427;1.9870023914;
20.0390625000;0.0404249376;0.0051067913;1.9866376894;
20.0781250000;0.0404316422;0.0051068202;1.9870682476;
20.0976562500;0.0404253395;0.0051068918;1.9866575283;
20.1367187500;0.0404326487;0.0051068809;1.9871362890;
20.1562500000;0.0404257002;0.0051069818;1.9866753482;
20.1953125000;0.0404336438;0.0051069241;1.9872066993;
20.2148437500;0.0404260203;0.0051070614;1.9866911742;
20.2539062500;0.0404346250;0.0051069492;1.9872797383;
20.2734375000;0.0404263018;0.0051071312;1.9867051055;
20.3125000000;0.0404260726;0.0051065859;1.9867213672;
20.3320312500;0.0404238248;0.0051065036;1.9865834628;
20.3710937500;0.0404251174;0.0051062851;1.9866806080;
20.3906250000;0.0404231970;0.0051063433;1.9865527099;
20.4296875000;0.0404251914;0.0051062406;1.9866915734;
20.4492187500;0.0404232985;0.0051063670;1.9865578009;
20.4882812500;0.0404256707;0.0051062943;1.9867238594;
20.5078125000;0.0404236809;0.0051064615;1.9865766929;
20.5468750000;0.0404263018;0.0051063824;1.9867652338;
20.5664062500;0.0404241610;0.0051065804;1.9866003875;
20.6054687500;0.0404269801;0.0051064786;1.9868108210;
20.6250000000;0.0404246632;0.0051067047;1.9866251727;
20.6640625000;0.0404276626;0.0051065726;1.9868588088;
20.6835937500;0.0404251571;0.0051068267;1.9866495432;
20.7226562500;0.0404283328;0.0051066605;1.9869087268;
20.7421875000;0.0404256314;0.0051069433;1.9866729500;
20.7812500000;0.0404289865;0.0051067419;1.9869607444;
20.8007812500;0.0404260837;0.0051070542;1.9866952791;
20.8398437500;0.0404296253;0.0051068179;1.9870153792;
20.8593750000;0.0404265162;0.0051071597;1.9867166258;
20.8984375000;0.0404302547;0.0051068903;1.9870733769;
20.9179687500;0.0404269328;0.0051072608;1.9867371949;
20.9570312500;0.0404308825;0.0051069618;1.9871356635;
20.9765625000;0.0404273392;0.0051073590;1.9867572537;
21.0156250000;0.0404266431;0.0051068764;1.9867764163;
21.0351562500;0.0404255385;0.0051068988;1.9866688114;
21.0742187500;0.0404259533;0.0051066636;1.9867546580;
21.0937500000;0.0404251563;0.0051067969;1.9866501061;
21.1328125000;0.0404260411;0.0051066440;1.9867732010;
21.1523437500;0.0404253266;0.0051068340;1.9866585428;
21.1914062500;0.0404264206;0.0051066945;1.9868084322;
21.2109375000;0.0404257069;0.0051069237;1.9866772938;
21.2500000000;0.0404268896;0.0051067640;1.9868505832;
21.2695312500;0.0404261589;0.0051070309;1.9866995585;
21.2890625000;0.0404257084;0.0051069145;1.9866774099;
21.3085937500;0.0404254303;0.0051068417;1.9866637570;
21.3281250000;0.0404252741;0.0051067996;1.9866560923;
21.3476562500;0.0404252035;0.0051067791;1.9866526345;
21.3671875000;0.0404251929;0.0051067737;1.9866521226;
21.3867187500;0.0404252241;0.0051067788;1.9866536624;
21.4062500000;0.0404252841;0.0051067910;1.9866566191;
21.4257812500;0.0404253638;0.0051068082;1.9866605408;
21.4453125000;0.0404254566;0.0051068286;1.9866651056;
21.4648437500;0.0404255578;0.0051068510;1.9866700837;
21.4843750000;0.0404256641;0.0051068747;1.9866753109;
21.5039062500;0.0404257732;0.0051068989;1.9866806698;
21.5234375000;0.0404258832;0.0051069233;1.9866860764;
21.5429687500;0.0404259931;0.0051069476;1.9866914709;
21.5625000000;0.0404261018;0.0051069715;1.9866968104;
21.5820312500;0.0404262089;0.0051069949;1.9867020649;
