time;WT4B_WT_measurements_PGenNomPu;WT4B_WT_measurements_QGenNomPu;WT4B_WT_measurements_UPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;
6.402858;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.402858;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.403235;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.403988;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.404325;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.404325;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.404678;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.404730;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.404730;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.405077;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.405370;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.405370;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.405370;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.405370;0.672990;0.160458;1.112166;1.105363;0.122830;-0.617349;0.076562;
6.405399;0.672815;0.159285;1.111887;1.105083;0.122819;-0.617232;0.075539;
6.405458;0.672459;0.156936;1.111327;1.104522;0.122795;-0.616994;0.073490;
6.405574;0.671728;0.152231;1.110204;1.103398;0.122744;-0.616500;0.069385;
6.405691;0.670974;0.147523;1.109079;1.102272;0.122686;-0.615984;0.065274;
6.405808;0.670198;0.142812;1.107951;1.101144;0.122624;-0.615448;0.061157;
6.406041;0.668575;0.133382;1.105688;1.098883;0.122480;-0.614311;0.052909;
6.406275;0.666874;0.123963;1.103420;1.096619;0.122317;-0.613099;0.044656;
6.406508;0.665100;0.114564;1.101149;1.094355;0.122135;-0.611818;0.036404;
6.406975;0.661341;0.095879;1.096611;1.089836;0.121716;-0.609055;0.019955;
6.407442;0.657359;0.077401;1.092092;1.085342;0.121235;-0.606074;0.003615;
6.407909;0.653190;0.059182;1.087604;1.080886;0.120700;-0.602906;-0.012572;
6.408842;0.644458;0.023963;1.078836;1.072197;0.119499;-0.596149;-0.044092;
6.409227;0.640710;0.010028;1.075332;1.068733;0.118951;-0.593200;-0.056641;
6.409227;0.640775;0.010029;1.075331;1.068730;0.118967;-0.593260;-0.056656;
6.409239;0.640657;0.009592;1.075221;1.068621;0.118950;-0.593167;-0.057051;
6.409239;0.640658;0.009592;1.075221;1.068621;0.118950;-0.593168;-0.057051;
6.409239;0.640657;0.009589;1.075220;1.068620;0.118950;-0.593167;-0.057054;
6.409239;0.640657;0.009589;1.075220;1.068620;0.118950;-0.593167;-0.057054;
6.409395;0.639127;0.003904;1.073784;1.067200;0.118727;-0.591963;-0.062198;
6.409483;0.638260;0.000745;1.072984;1.066410;0.118598;-0.591278;-0.065059;
6.409483;0.638266;0.000745;1.072984;1.066410;0.118600;-0.591283;-0.065061;
6.409484;0.638252;0.000693;1.072971;1.066397;0.118598;-0.591272;-0.065107;
6.409484;0.638252;0.000693;1.072971;1.066397;0.118598;-0.591272;-0.065107;
6.409484;0.638252;0.000692;1.072971;1.066396;0.118598;-0.591272;-0.065108;
6.409484;0.638252;0.000692;1.072971;1.066396;0.118598;-0.591272;-0.065108;
6.409645;0.636661;-0.005096;1.071503;1.064946;0.118362;-0.590014;-0.070361;
6.409966;0.633463;-0.016496;1.068601;1.062079;0.117881;-0.587476;-0.080736;
6.410609;0.627054;-0.038531;1.062951;1.056504;0.116896;-0.582353;-0.100905;
6.411893;0.614451;-0.079270;1.052356;1.046065;0.114889;-0.572168;-0.138620;
6.413178;0.602098;-0.116375;1.042527;1.036401;0.112846;-0.562061;-0.173486;
6.414066;0.593931;-0.139607;1.036282;1.030270;0.111461;-0.555322;-0.195583;
6.414066;0.594080;-0.139611;1.036278;1.030262;0.111499;-0.555459;-0.195624;
6.414321;0.591696;-0.146295;1.034467;1.028484;0.111093;-0.553486;-0.202029;
6.414831;0.587047;-0.159137;1.030970;1.025053;0.110295;-0.549632;-0.214387;
6.415852;0.578274;-0.182753;1.024477;1.018687;0.108773;-0.542327;-0.237309;
6.417892;0.562942;-0.222319;1.013411;1.007845;0.106069;-0.529480;-0.276313;
6.419933;0.549652;-0.254839;1.004129;0.998762;0.103680;-0.518261;-0.308955;
6.420198;0.548199;-0.258300;1.003132;0.997786;0.103417;-0.517030;-0.312461;
6.420198;0.548305;-0.258306;1.003127;0.997779;0.103444;-0.517128;-0.312494;
6.420603;0.545854;-0.263822;1.001535;0.996225;0.102989;-0.515041;-0.318066;
6.421412;0.541522;-0.272228;0.999109;0.993874;0.102145;-0.511308;-0.326455;
6.423030;0.534852;-0.280561;0.996740;0.991640;0.100703;-0.505418;-0.334252;
6.424648;0.529851;-0.282353;0.996301;0.991321;0.099484;-0.500862;-0.335089;
6.426267;0.526248;-0.279400;0.997262;0.992388;0.098473;-0.497449;-0.330904;
6.427885;0.523677;-0.273221;0.999168;0.994387;0.097627;-0.494887;-0.323351;
6.431122;0.520846;-0.256606;1.004172;0.999535;0.096392;-0.491757;-0.304149;
6.434358;0.519050;-0.240737;1.008881;1.004356;0.095446;-0.489598;-0.286221;
6.437595;0.517525;-0.228176;1.012576;1.008140;0.094673;-0.487790;-0.272141;
6.440831;0.515961;-0.219617;1.015086;1.010722;0.094013;-0.486071;-0.262500;
6.444068;0.514297;-0.214666;1.016544;1.012239;0.093438;-0.484376;-0.256782;
6.450541;0.511106;-0.212546;1.017207;1.012987;0.092561;-0.481362;-0.253805;
6.457014;0.508498;-0.213322;1.017026;1.012864;0.091920;-0.478981;-0.254082;
6.469961;0.505486;-0.215043;1.016580;1.012480;0.091206;-0.476258;-0.255294;
6.495853;0.502995;-0.215555;1.016472;1.012428;0.090587;-0.473976;-0.255318;
6.521746;0.501758;-0.215364;1.016547;1.012532;0.090266;-0.472829;-0.254850;
6.573531;0.501025;-0.214872;1.016701;1.012704;0.090064;-0.472136;-0.254166;
6.677102;0.501519;-0.214054;1.016928;1.012923;0.090165;-0.472565;-0.253388;
6.884243;0.502202;-0.212885;1.017254;1.013238;0.090304;-0.473157;-0.252274;
7.298526;0.502271;-0.211579;1.017628;1.013616;0.090282;-0.473179;-0.250882;
7.712808;0.502218;-0.210863;1.017835;1.013826;0.090246;-0.473106;-0.250101;
8.541373;0.502139;-0.210312;1.017994;1.013990;0.090209;-0.473015;-0.249492;
9.369938;0.502066;-0.210103;1.018056;1.014053;0.090184;-0.472941;-0.249252;
11.027068;0.501933;-0.210024;1.018080;1.014081;0.090148;-0.472815;-0.249139;
11.999998;0.501859;-0.210011;1.018085;1.014088;0.090129;-0.472747;-0.249110;
11.999998;0.273150;-0.103471;0.546614;0.542494;0.066990;-0.472747;-0.249110;
12.000126;0.273115;-0.103527;0.546599;0.542479;0.066981;-0.472686;-0.249205;
12.000384;0.273152;-0.103397;0.546635;0.542515;0.066989;-0.472751;-0.248963;
12.000457;0.273194;-0.103294;0.546664;0.542543;0.066999;-0.472822;-0.248778;
12.000457;0.273194;-0.103294;0.546664;0.542543;0.066999;-0.472821;-0.248778;
12.000458;0.273194;-0.103293;0.546664;0.542543;0.066999;-0.472822;-0.248776;
12.000458;0.273194;-0.103293;0.546664;0.542543;0.066999;-0.472822;-0.248776;
12.000458;0.273194;-0.103293;0.546664;0.542543;0.066999;-0.472822;-0.248776;
12.000458;0.273194;-0.103293;0.546664;0.542543;0.066999;-0.472822;-0.248776;
12.000676;0.273270;-0.102970;0.546755;0.542632;0.067014;-0.472953;-0.248169;
12.001114;0.273492;-0.101752;0.547097;0.542972;0.067056;-0.473331;-0.245854;
12.001551;0.273779;-0.100012;0.547587;0.543459;0.067108;-0.473821;-0.242538;
12.002425;0.274580;-0.094812;0.549046;0.544912;0.067250;-0.475187;-0.232641;
12.002507;0.274673;-0.094200;0.549217;0.545082;0.067267;-0.475345;-0.231478;
12.002507;0.274672;-0.094200;0.549217;0.545083;0.067267;-0.475343;-0.231478;
12.002804;0.274983;-0.092175;0.549783;0.545645;0.067322;-0.475872;-0.227642;
12.002804;0.274983;-0.092175;0.549783;0.545645;0.067322;-0.475872;-0.227642;
12.002805;0.274983;-0.092171;0.549784;0.545647;0.067322;-0.475873;-0.227634;
12.002805;0.274983;-0.092171;0.549784;0.545647;0.067322;-0.475873;-0.227634;
12.002971;0.275170;-0.090947;0.550125;0.545987;0.067355;-0.476191;-0.225318;
12.002971;0.275170;-0.090947;0.550125;0.545987;0.067355;-0.476190;-0.225318;
12.002971;0.275170;-0.090947;0.550125;0.545987;0.067355;-0.476190;-0.225318;
12.002971;0.275170;-0.090947;0.550125;0.545987;0.067355;-0.476190;-0.225318;
12.003123;0.275392;-0.089376;0.550563;0.546423;0.067393;-0.476569;-0.222344;
12.003123;0.275392;-0.089377;0.550563;0.546423;0.067392;-0.476567;-0.222343;
12.003438;0.275882;-0.085893;0.551532;0.547389;0.067476;-0.477399;-0.215762;
12.004069;0.277073;-0.077253;0.553919;0.549769;0.067676;-0.479418;-0.199535;
12.005331;0.280084;-0.055191;0.559919;0.555752;0.068182;-0.484496;-0.158749;
12.006592;0.283568;-0.029816;0.566658;0.562470;0.068770;-0.490338;-0.112959;
12.006687;0.283852;-0.027783;0.567191;0.563001;0.068818;-0.490812;-0.109342;
12.006687;0.283844;-0.027784;0.567191;0.563001;0.068816;-0.490797;-0.109340;
