time;WT4B_WT_controlMeasurements_PPu;WT4B_WT_controlMeasurements_QPu;WT4B_WT_controlMeasurements_UPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;
6.112294;0.497990;0.153283;0.828066;0.817795;0.130022;-0.622995;0.088384;
6.124734;0.499331;0.151675;0.827540;0.817183;0.130512;-0.624747;0.085829;
6.149612;0.500092;0.148528;0.826572;0.816146;0.130867;-0.625837;0.081635;
6.174491;0.500262;0.145419;0.825634;0.815170;0.131029;-0.626186;0.077739;
6.224249;0.500276;0.139407;0.823825;0.813304;0.131239;-0.626462;0.070318;
6.249999;0.500298;0.136516;0.822952;0.812402;0.131346;-0.626614;0.066732;
6.249999;0.682707;0.152264;1.110003;1.102881;0.125542;-0.626617;0.066732;
6.250076;0.682662;0.152416;1.110041;1.102921;0.125527;-0.626571;0.066881;
6.250231;0.682465;0.152409;1.110043;1.102928;0.125477;-0.626389;0.066923;
6.250385;0.682164;0.152099;1.109974;1.102867;0.125409;-0.626123;0.066715;
6.250694;0.681176;0.150349;1.109569;1.102482;0.125207;-0.625280;0.065361;
6.251003;0.679834;0.147541;1.108915;1.101853;0.124945;-0.624150;0.063126;
6.251524;0.676565;0.139708;1.107076;1.100072;0.124336;-0.621434;0.056762;
6.251524;0.676562;0.139709;1.107076;1.100072;0.124335;-0.621432;0.056763;
6.251792;0.674827;0.135655;1.106123;1.099149;0.124009;-0.619986;0.053469;
6.252327;0.670877;0.126573;1.103982;1.097079;0.123263;-0.616689;0.046084;
6.253283;0.662616;0.107841;1.099542;1.092787;0.121696;-0.609782;0.030778;
6.253283;0.662609;0.107843;1.099543;1.092788;0.121694;-0.609775;0.030781;
6.253283;0.662609;0.107842;1.099543;1.092787;0.121694;-0.609775;0.030780;
6.253578;0.660026;0.101977;1.098145;1.091436;0.121204;-0.607615;0.025958;
6.253906;0.656989;0.095104;1.096503;1.089847;0.120628;-0.605073;0.020292;
6.253906;0.656983;0.095105;1.096503;1.089847;0.120627;-0.605068;0.020294;
6.253908;0.656962;0.095057;1.096491;1.089836;0.120623;-0.605050;0.020254;
6.253908;0.656962;0.095056;1.096491;1.089836;0.120623;-0.605050;0.020254;
6.254209;0.654178;0.088757;1.094981;1.088376;0.120095;-0.602719;0.015044;
6.254810;0.648389;0.075685;1.091835;1.085331;0.118997;-0.597870;0.004183;
6.256012;0.636376;0.048581;1.085252;1.078957;0.116721;-0.587799;-0.018562;
6.257215;0.624349;0.021346;1.078553;1.072464;0.114448;-0.577709;-0.041746;
6.259620;0.601663;-0.030230;1.065623;1.059912;0.110177;-0.558652;-0.086593;
6.261784;0.583225;-0.072461;1.054784;1.049371;0.106726;-0.543145;-0.124292;
6.263504;0.570352;-0.102204;1.047005;1.041794;0.104330;-0.532308;-0.151411;
6.263504;0.570326;-0.102201;1.047007;1.041796;0.104323;-0.532284;-0.151402;
6.263859;0.567684;-0.108306;1.045395;1.040225;0.103832;-0.530058;-0.157027;
6.264568;0.562631;-0.120007;1.042290;1.037199;0.102894;-0.525800;-0.167865;
6.265987;0.553472;-0.141296;1.036591;1.031639;0.101198;-0.518077;-0.187783;
6.268825;0.538770;-0.175723;1.027227;1.022494;0.098490;-0.505671;-0.220565;
6.271663;0.527385;-0.202741;1.019745;1.015177;0.096409;-0.496061;-0.246820;
6.274501;0.518744;-0.223464;1.013923;1.009477;0.094840;-0.488763;-0.267285;
6.277339;0.512334;-0.239004;1.009508;1.005151;0.093682;-0.483348;-0.282829;
6.280176;0.507697;-0.250385;1.006246;1.001953;0.092850;-0.479432;-0.294326;
6.283014;0.504438;-0.258502;1.003905;0.999655;0.092270;-0.476682;-0.302590;
6.285852;0.502226;-0.264114;1.002278;0.998057;0.091880;-0.474818;-0.308339;
6.288690;0.500792;-0.267847;1.001192;0.996990;0.091630;-0.473612;-0.312183;
6.294366;0.499602;-0.271068;1.000252;0.996065;0.091426;-0.472615;-0.315519;
6.300041;0.499340;-0.272088;0.999952;0.995767;0.091391;-0.472405;-0.316602;
6.305717;0.499459;-0.272083;0.999951;0.995763;0.091421;-0.472515;-0.316623;
6.311393;0.499705;-0.271694;1.000063;0.995871;0.091471;-0.472729;-0.316241;
6.322744;0.500124;-0.270929;1.000284;0.996086;0.091555;-0.473092;-0.315478;
6.334095;0.500390;-0.270468;1.000417;0.996214;0.091608;-0.473323;-0.315021;
6.356798;0.500621;-0.270219;1.000488;0.996280;0.091659;-0.473529;-0.314793;
6.402203;0.500814;-0.270258;1.000473;0.996261;0.091710;-0.473708;-0.314879;
6.493014;0.500904;-0.270474;1.000407;0.996191;0.091739;-0.473798;-0.315140;
6.674635;0.500853;-0.270815;1.000306;0.996090;0.091737;-0.473761;-0.315510;
7.037878;0.500809;-0.271225;1.000184;0.995968;0.091738;-0.473734;-0.315958;
7.764364;0.500785;-0.271577;1.000079;0.995862;0.091743;-0.473723;-0.316347;
9.217336;0.500742;-0.271772;1.000022;0.995805;0.091738;-0.473689;-0.316556;
10.670307;0.500700;-0.271828;1.000006;0.995790;0.091729;-0.473651;-0.316608;
11.999998;0.500665;-0.271837;1.000004;0.995789;0.091721;-0.473620;-0.316611;
11.999998;0.290116;-0.145779;0.569918;0.565568;0.070280;-0.473620;-0.316611;
12.000098;0.290072;-0.145824;0.569906;0.565557;0.070270;-0.473549;-0.316678;
12.000298;0.290057;-0.145731;0.569934;0.565586;0.070264;-0.473524;-0.316490;
12.000484;0.290108;-0.145482;0.570007;0.565658;0.070274;-0.473606;-0.316028;
12.000484;0.290108;-0.145481;0.570007;0.565658;0.070274;-0.473606;-0.316028;
12.000656;0.290167;-0.145141;0.570107;0.565758;0.070285;-0.473700;-0.315391;
12.001001;0.290342;-0.144009;0.570439;0.566088;0.070314;-0.473981;-0.313266;
