time;GfmEPRI_gfm_epriVoltageControl_PPu;GfmEPRI_gfm_epriVoltageControl_QPu;GfmEPRI_gfm_injectorURI_terminal_V_re;GfmEPRI_gfm_injectorURI_terminal_i_re;GfmEPRI_gfm_injectorURI_terminal_V_im;GfmEPRI_gfm_injectorURI_terminal_i_im;GfmEPRI_gfm_pll_omegaPLLPu;
6.058449;0.010181;0.327158;-0.005644;-1.350081;0.444960;-0.040620;1.000000;
6.059856;0.007018;0.258268;-0.058864;-1.190001;0.390848;-0.197736;1.000000;
6.061263;0.004304;0.196155;-0.095580;-1.011870;0.330611;-0.306056;1.000000;
6.062670;0.002144;0.141807;-0.115190;-0.826570;0.267930;-0.363819;1.000000;
6.064077;0.000610;0.095368;-0.118000;-0.644953;0.206478;-0.371933;1.000000;
6.065484;-0.000258;0.057478;-0.105046;-0.476777;0.149558;-0.333479;1.000000;
6.066891;-0.000455;0.029071;-0.078017;-0.330485;0.100028;-0.253447;1.000000;
6.068298;-0.000006;0.011031;-0.039123;-0.212911;0.060203;-0.138381;1.000000;
6.069705;0.001038;0.004223;0.009028;-0.129094;0.031792;0.004004;1.000000;
6.071112;0.002600;0.009322;0.063552;-0.082165;0.015856;0.165189;1.000000;
6.072519;0.004583;0.026618;0.121419;-0.073325;0.012804;0.336211;1.000000;
6.073926;0.006874;0.055811;0.179566;-0.101892;0.022410;0.508025;1.000000;
6.075333;0.009348;0.095832;0.235024;-0.165403;0.043843;0.671853;1.000000;
6.078146;0.014193;0.194590;0.325282;-0.371320;0.113427;0.938378;1.000000;
6.080679;0.017952;0.295419;0.374944;-0.621434;0.198008;1.084884;1.000000;
6.083211;0.020548;0.384898;0.387797;-0.890039;0.288885;1.122589;1.000000;
6.085744;0.021621;0.445337;0.363091;-1.135922;0.372111;1.049320;1.000000;
6.088276;0.021074;0.467361;0.306076;-1.323632;0.435687;0.880629;1.000000;
6.090809;0.019091;0.451569;0.227168;-1.429053;0.471441;0.647324;1.000000;
6.093342;0.016063;0.405300;0.139378;-1.442668;0.476139;0.387865;1.000000;
6.095874;0.012538;0.340813;0.056602;-1.370661;0.451859;0.143314;1.000000;
6.098407;0.009083;0.269254;-0.009678;-1.232803;0.405280;-0.052420;1.000000;
6.100939;0.006191;0.199903;-0.051903;-1.057687;0.346069;-0.177027;1.000000;
6.103472;0.004212;0.139406;-0.067217;-0.877287;0.285041;-0.222097;1.000000;
6.106004;0.003323;0.092631;-0.057274;-0.721444;0.232298;-0.192550;1.000000;
6.108537;0.003518;0.063126;-0.027367;-0.613484;0.195736;-0.104056;1.000000;
6.111069;0.004620;0.053587;0.014405;-0.567020;0.179970;0.019443;1.000000;
6.113602;0.006367;0.062833;0.060051;-0.584673;0.185896;0.154321;1.000000;
6.116134;0.008418;0.090697;0.101103;-0.660605;0.211547;0.275562;1.000000;
6.118667;0.010409;0.133079;0.130566;-0.780112;0.251955;0.362510;1.000000;
6.121199;0.012013;0.182882;0.143697;-0.922938;0.300270;0.401169;1.000000;
6.123732;0.012966;0.232180;0.138298;-1.065840;0.348630;0.385066;1.000000;
6.126264;0.013132;0.272784;0.115387;-1.187391;0.389784;0.317229;1.000000;
6.128797;0.012499;0.298617;0.078513;-1.270549;0.417961;0.208170;1.000000;
6.131329;0.011181;0.306852;0.033195;-1.305281;0.429760;0.074206;1.000000;
6.133862;0.009393;0.298118;-0.014089;-1.289774;0.424562;-0.065515;1.000000;
6.136394;0.007407;0.275729;-0.057042;-1.230188;0.404444;-0.192393;1.000000;
6.138927;0.005500;0.244458;-0.090604;-1.139051;0.373640;-0.291484;1.000000;
6.141459;0.003911;0.209397;-0.111693;-1.032694;0.337674;-0.353697;1.000000;
6.143992;0.002803;0.175210;-0.119523;-0.928317;0.302363;-0.376729;1.000000;
6.146524;0.002244;0.145548;-0.115582;-0.841004;0.272814;-0.364991;1.000000;
6.149057;0.002227;0.123922;-0.102639;-0.782280;0.252930;-0.326679;1.000000;
6.151589;0.002649;0.112028;-0.085051;-0.758281;0.244791;-0.274678;1.000000;
6.154122;0.003356;0.110659;-0.067280;-0.769267;0.248490;-0.222171;1.000000;
6.156654;0.004164;0.119624;-0.053402;-0.810145;0.262308;-0.181199;1.000000;
6.159187;0.004893;0.137295;-0.046544;-0.871631;0.283106;-0.160995;1.000000;
6.161719;0.005385;0.160821;-0.048502;-0.941867;0.306874;-0.166856;1.000000;
6.164252;0.005531;0.186473;-0.059570;-1.008355;0.329384;-0.199633;1.000000;
6.166784;0.005281;0.210274;-0.078593;-1.059882;0.346839;-0.255904;1.000000;
6.169317;0.004652;0.228737;-0.103238;-1.088188;0.356443;-0.328767;1.000000;
6.171849;0.003715;0.239502;-0.130432;-1.089099;0.356779;-0.409136;1.000000;
6.174382;0.002589;0.241674;-0.156905;-1.062952;0.347959;-0.487345;1.000000;
6.176914;0.001409;0.235795;-0.179734;-1.014243;0.331501;-0.554759;1.000000;
6.179447;0.000311;0.223522;-0.196803;-0.950596;0.309982;-0.605137;1.000000;
6.181979;-0.000596;0.207186;-0.207094;-0.881281;0.286538;-0.635478;1.000000;
6.184512;-0.001245;0.189355;-0.210765;-0.815588;0.264313;-0.646260;1.000000;
6.187045;-0.001616;0.172494;-0.209025;-0.761354;0.245960;-0.641060;1.000000;
6.189577;-0.001734;0.158709;-0.203837;-0.723867;0.233270;-0.625690;1.000000;
6.192110;-0.001665;0.149573;-0.197540;-0.705279;0.226973;-0.607061;1.000000;
6.197175;-0.001417;0.146793;-0.191111;-0.708493;0.228054;-0.588065;1.000000;
6.199999;-0.001351;0.152826;-0.193236;-0.726153;0.234032;-0.594362;1.000000;
6.199999;-0.131526;-0.440325;-0.193107;-2.552713;0.234211;-1.548846;1.000000;
6.200042;-0.142917;-0.437296;-0.198058;-2.549422;0.232896;-1.560161;1.000000;
6.200085;-0.154310;-0.434242;-0.202994;-2.546062;0.231551;-1.571441;1.000000;
6.200172;-0.177098;-0.428031;-0.212831;-2.539173;0.228786;-1.593914;1.000000;
6.200345;-0.222689;-0.415318;-0.232329;-2.524577;0.222897;-1.638434;1.000000;
6.200692;-0.313879;-0.388785;-0.270597;-2.492133;0.209687;-1.725725;1.000000;
6.201384;-0.495910;-0.331797;-0.344055;-2.414373;0.177598;-1.892923;1.000000;
6.202077;-0.676786;-0.270120;-0.413152;-2.319857;0.138120;-2.049695;1.000000;
6.203463;-1.030249;-0.134980;-0.536640;-2.084071;0.038488;-2.328298;1.000000;
6.204710;-1.332946;-0.001018;-0.628904;-1.822357;-0.073151;-2.534450;1.000000;
6.205957;-1.612310;0.147267;-0.700659;-1.520935;-0.202539;-2.692482;1.000000;
6.207204;-1.859151;0.304461;-0.749007;-1.187425;-0.346429;-2.795899;1.000000;
6.208451;-2.064096;0.470074;-0.771624;-0.831969;-0.500465;-2.839599;1.000000;
6.209624;-2.210494;0.630921;-0.767856;-0.488545;-0.649890;-2.822868;1.000000;
6.209624;-2.211792;0.620177;-0.768314;-0.488551;-0.649877;-2.823921;-13.320387;
6.209626;-2.212063;0.620531;-0.768277;-0.487783;-0.650211;-2.823819;-13.239526;
6.209629;-2.212335;0.620886;-0.768241;-0.487015;-0.650546;-2.823718;-13.157150;
6.209634;-2.212877;0.621594;-0.768168;-0.485479;-0.651216;-2.823514;-12.987888;
6.209644;-2.213958;0.623010;-0.768021;-0.482408;-0.652555;-2.823103;-12.633302;
6.209665;-2.216109;0.625844;-0.767720;-0.476265;-0.655233;-2.822267;-11.873097;
6.209707;-2.220361;0.631512;-0.767095;-0.463982;-0.660588;-2.820540;-10.238261;
6.209790;-2.228667;0.642852;-0.765749;-0.439428;-0.671298;-2.816868;-7.022969;
6.209894;-2.238776;0.657175;-0.763868;-0.408450;-0.684812;-2.811812;-3.775070;
6.209999;-2.248459;0.671500;-0.761784;-0.377508;-0.698316;-2.806290;-1.652168;
6.210104;-2.257712;0.685825;-0.759496;-0.346609;-0.711806;-2.800300;-0.375829;
