time;WECCPV_photovoltaics_injector_PInjPu;WECCPV_photovoltaics_injector_QInjPu;WECCPV_photovoltaics_injector_terminal_V_re;WECCPV_photovoltaics_injector_terminal_i_re;WECCPV_photovoltaics_injector_terminal_V_im;WECCPV_photovoltaics_injector_terminal_i_im;WECCPV_photovoltaics_pll_omegaPLLPu;
1.0211585327;0.4391931860;0.3166665248;0.5543681912;-0.8783863721;0.1317597706;0.3624496157;1.0000000974;
1.0224385327;0.4418548158;0.3316269971;0.5576898433;-0.8837096316;0.1325582706;0.3845936577;1.0000000781;
1.0248807019;0.4444441065;0.3592999463;0.5640342239;-0.8888882131;0.1333350685;0.4268889463;1.0000000417;
1.0248807019;0.4444441065;0.3592999463;0.5640342239;-0.8888882131;0.1333350685;0.4268889463;1.0000000417;
1.0248907019;0.4444490189;0.3594116290;0.5640602704;-0.8888980378;0.1333365422;0.4270625870;1.0000000416;
1.0249007019;0.4444525222;0.3595227187;0.5640863525;-0.8889050445;0.1333375932;0.4272364655;1.0000000414;
1.0249207019;0.4444593217;0.3597448117;0.5641385160;-0.8889186434;0.1333396331;0.4275842174;1.0000000411;
1.0249607019;0.4444725492;0.3601888146;0.5642428207;-0.8889450985;0.1333436014;0.4282795719;1.0000000405;
1.0250407019;0.4444963584;0.3610755936;0.5644513699;-0.8889927168;0.1333507443;0.4296698813;1.0000000393;
1.0252007019;0.4445339951;0.3628444042;0.5648681912;-0.8890679902;0.1333620354;0.4324486511;1.0000000369;
1.0255207019;0.4445697147;0.3663626563;0.5657005932;-0.8891394293;0.1333727514;0.4379979218;1.0000000321;
1.0261607019;0.4444861324;0.3733189165;0.5673594271;-0.8889722648;0.1333476764;0.4490566621;1.0000000228;
1.0274407019;0.4437264530;0.3868917027;0.5706457262;-0.8874529061;0.1331197695;0.4709650209;1.0000000049;
1.0300007019;0.4400716357;0.4125685245;0.5770412465;-0.8801432715;0.1320233092;0.5136012357;0.9999999725;
1.0307173354;0.4385969859;0.4193828404;0.5787776713;-0.8771939717;0.1315809081;0.5251772417;0.9999999642;
1.0307173354;0.4385996565;0.4193877122;0.5787784620;-0.8771993131;0.1315817093;0.5251825130;0.9999999643;
1.0307273354;0.4385768015;0.4194817984;0.5788026681;-0.8771536030;0.1315748527;0.5253438849;0.9999999642;
1.0307373354;0.4385539150;0.4195758833;0.5788268758;-0.8771078300;0.1315679867;0.5255052671;0.9999999640;
1.0307573354;0.4385080638;0.4197640532;0.5788752948;-0.8770161276;0.1315542311;0.5258280558;0.9999999638;
1.0307973354;0.4384159924;0.4201403784;0.5789721506;-0.8768319847;0.1315266093;0.5264737521;0.9999999634;
1.0308773354;0.4382303511;0.4208929587;0.5791659332;-0.8764607022;0.1314709162;0.5277656188;0.9999999625;
1.0310373354;0.4378530015;0.4223977681;0.5795537741;-0.8757060031;0.1313577098;0.5303511888;0.9999999607;
1.0313573354;0.4370738586;0.4254055213;0.5803304607;-0.8741477172;0.1311239637;0.5355290285;0.9999999572;
1.0319973354;0.4354167333;0.4314100537;0.5818870794;-0.8708334666;0.1306268192;0.5459063436;0.9999999506;
1.0332773354;0.4317012879;0.4433492221;0.5850073090;-0.8634025758;0.1295121702;0.5667075875;0.9999999380;
1.0358373354;0.4226488612;0.4667692824;0.5912316346;-0.8452977224;0.1267964048;0.6082025202;0.9999999144;
1.0383973354;0.4118863733;0.4893352515;0.5973216715;-0.8237727466;0.1235676140;0.6488022070;0.9999998950;
1.0409573354;0.4002172824;0.5107652433;0.6031285829;-0.8004345649;0.1200668385;0.6875144163;0.9999998827;
1.0423689123;0.3935504876;0.5220367532;0.6061837009;-0.7871009751;0.1180667725;0.7078815891;0.9999998781;
