time;Generator_generator_cePu;Generator_generator_PePu;Generator_generator_cmPu;Generator_generator_PmPu;Generator_generator_ufPu;Generator_generator_efdPu;Generator_generator_omegaPu;Generator_generator_theta;Generator_generator_PGenPu;Generator_generator_QGenPu;Generator_generator_PGen;Generator_generator_QGen;Generator_generator_UPu;Generator_generator_IStatorPu;Generator_generator_IRotorPu;Generator_generator_UStatorPu;Generator_generator_QStatorPu;Generator_generator_thetaInternal;Generator_voltageRegulator_VrefPu;Generator_voltageRegulator_VsPu;Generator_voltageRegulator_VcPu;Generator_governor_RefLPu;Generator_governor_omegaPu;Generator_governor_PmPu;Load_LoadPQ_terminal_i_re;Load_LoadPQ_terminal_i_im;
0.521413;0.785302;0.786;0.797289;0.797997;0.00132278;1.90618;1.00089;1.03155;3.7335;6.59639e-17;373.35;6.59639e-15;0.991212;3.76661;1.86988;0.991212;6.59455e-17;0.968345;1.00942;0;0.991212;0.04;1.00089;0.797997;3.7591;0.237891;
0.55417;0.785531;0.786266;0.797009;0.797755;0.00131661;1.89729;1.00094;1.04117;3.73476;7.68209e-17;373.476;7.68209e-15;0.991379;3.76724;1.86973;0.991379;7.68211e-17;0.968173;1.00942;0;0.991379;0.04;1.00094;0.797755;3.75721;0.274763;
0.619683;0.785865;0.786671;0.796442;0.797259;0.00130829;1.88531;1.00103;1.0615;3.73669;1.62515e-17;373.669;1.62515e-15;0.991634;3.76821;1.8695;0.991634;1.62515e-17;0.96789;1.00942;0;0.991634;0.04;1.00103;0.797259;3.75171;0.35221;
0.678482;0.786042;0.786907;0.795927;0.796803;0.00130545;1.88122;1.0011;1.08115;3.73781;-2.33643e-18;373.781;-2.33643e-16;0.991783;3.76878;1.86941;0.991783;-2.33382e-18;0.967696;1.00942;0;0.991783;0.04;1.0011;0.796803;3.74455;0.426675;
0.745313;0.786182;0.78711;0.795338;0.796277;0.00130562;1.88146;1.00118;1.10509;3.73877;5.0011e-17;373.877;5.0011e-15;0.991911;3.76926;1.86946;0.991911;5.0011e-17;0.967505;1.00942;0;0.991911;0.04;1.00118;0.796277;3.73364;0.516953;
0.812145;0.786317;0.787303;0.794749;0.795745;0.00130748;1.88415;1.00125;1.13062;3.73969;1.14685e-16;373.969;1.14685e-14;0.992033;3.76973;1.86966;0.992033;1.14636e-16;0.967317;1.00942;0;0.992033;0.04;1.00125;0.795745;3.71957;0.612862;
0.878976;0.78648;0.787519;0.794164;0.795214;0.00130954;1.88711;1.00132;1.15762;3.74072;4.66411e-17;374.072;4.66411e-15;0.992169;3.77024;1.86995;0.992169;4.65774e-17;0.96712;1.00942;0;0.992169;0.04;1.00132;0.795214;3.70201;0.71389;
0.945807;0.786677;0.787765;0.793589;0.794686;0.00131099;1.88919;1.00138;1.18597;3.74189;-1.05671e-17;374.189;-1.05671e-15;0.992325;3.77083;1.87027;0.992325;-1.06511e-17;0.966915;1.00942;0;0.992325;0.04;1.00138;0.794686;3.68068;0.819416;
1.01264;0.786902;0.788033;0.793026;0.794165;0.00131161;1.89009;1.00144;1.21552;3.74318;2.98056e-16;374.318;2.98056e-14;0.992495;3.77148;1.87059;0.992495;2.97986e-16;0.966705;1.00942;0;0.992495;0.04;1.00144;0.794165;3.65527;0.928753;
1.1463;0.787377;0.788578;0.791954;0.793162;0.00131155;1.89001;1.00153;1.27754;3.74575;-2.26373e-17;374.575;-2.26373e-15;0.992836;3.77278;1.87116;0.992836;-2.26373e-17;0.966307;1.00942;0;0.992836;0.04;1.00153;0.793162;3.59151;1.15537;
1.27996;0.787846;0.789099;0.790967;0.792225;0.00131055;1.88857;1.00159;1.34274;3.7483;2.46083e-16;374.83;2.46083e-14;0.993174;3.77406;1.87165;0.993174;2.4637e-16;0.965947;1.00942;0;0.993174;0.04;1.00159;0.792225;3.5091;1.38858;
1.41363;0.788281;0.789567;0.790079;0.791369;0.00130943;1.88696;1.00163;1.41017;3.75072;-2.13061e-16;375.072;-2.13061e-14;0.993495;3.77528;1.87207;0.993495;-2.13301e-16;0.965633;1.00942;0;0.993495;0.04;1.00163;0.791369;3.40779;1.62328;
1.54729;0.788681;0.789985;0.789299;0.790604;0.00130881;1.88606;1.00165;1.47891;3.75292;1.56303e-16;375.292;1.56303e-14;0.993785;3.77638;1.87247;0.993785;1.56241e-16;0.965359;1.00942;0;0.993785;0.04;1.00165;0.790604;3.28841;1.85485;
1.68095;0.789063;0.790369;0.788631;0.789936;0.00130875;1.88598;1.00165;1.54816;3.75493;-1.36117e-16;375.493;-1.36117e-14;0.994052;3.7774;1.87288;0.994052;-1.3589e-16;0.965112;1.00942;0;0.994052;0.04;1.00165;0.789936;3.15231;2.07916;
1.81461;0.789441;0.790736;0.788076;0.789369;0.00130891;1.88621;1.00164;1.61716;3.75686;3.11447e-16;375.686;3.11447e-14;0.994307;3.77837;1.87329;0.994307;3.11527e-16;0.964884;1.00942;0;0.994307;0.04;1.00164;0.789369;3.00152;2.29275;
1.94827;0.789821;0.791093;0.787633;0.788902;0.00130915;1.88655;1.00161;1.68527;3.75869;-6.5945e-17;375.869;-6.5945e-15;0.994549;3.77929;1.8737;0.994549;-6.59029e-17;0.96467;1.00942;0;0.994549;0.04;1.00161;0.788902;2.83856;2.49287;
2.08194;0.790208;0.791448;0.787299;0.788534;0.00130948;1.88703;1.00157;1.75189;3.76041;-5.6974e-16;376.041;-5.6974e-14;0.994778;3.78016;1.87413;0.994778;-5.69736e-16;0.964467;1.00942;0;0.994778;0.04;1.00157;0.788534;2.6663;2.67748;
2.2156;0.790608;0.791806;0.787069;0.788262;0.00130989;1.88762;1.00152;1.81653;3.76205;1.2445e-15;376.205;1.2445e-13;0.994995;3.78098;1.87457;0.994995;1.2449e-15;0.964273;1.00942;0;0.994995;0.04;1.00152;0.788262;2.48778;2.84527;
2.48292;0.79151;0.792603;0.786893;0.78798;0.00131192;1.89055;1.00138;1.9376;3.76486;-1.25481e-16;376.486;-1.25481e-14;0.995366;3.78239;1.87561;0.995366;-1.25479e-16;0.963877;1.00942;0;0.995366;0.04;1.00138;0.78798;2.12654;3.12799;
