time;IBG_ibg_injector_PInjPuSn;IBG_ibg_injector_QInjPuSn;IBG_ibg_currentLimitsCalculation1_ipCmdPu;IBG_ibg_currentLimitsCalculation1_ipMaxPu;IBG_ibg_currentLimitsCalculation1_ipMinPu;IBG_ibg_currentLimitsCalculation1_iqCmdPu;IBG_ibg_currentLimitsCalculation1_iqMaxPu;IBG_ibg_currentLimitsCalculation1_iqMinPu;
1.054570;0.293480;0.304553;0.719963;0.745405;0.000000;0.808932;1.100000;-1.100000;
1.054571;0.293479;0.304555;0.719965;0.745398;0.000000;0.808939;1.100000;-1.100000;
1.054573;0.293478;0.304559;0.719970;0.745382;0.000000;0.808953;1.100000;-1.100000;
1.054577;0.293475;0.304567;0.719981;0.745352;0.000000;0.808981;1.100000;-1.100000;
1.054585;0.293469;0.304584;0.720001;0.745290;0.000000;0.809038;1.100000;-1.100000;
1.054601;0.293457;0.304616;0.720041;0.745167;0.000000;0.809151;1.100000;-1.100000;
1.054633;0.293429;0.304682;0.720121;0.744922;0.000000;0.809377;1.100000;-1.100000;
1.054697;0.293364;0.304812;0.720278;0.744432;0.000000;0.809828;1.100000;-1.100000;
1.054825;0.293198;0.305072;0.720579;0.743453;0.000000;0.810726;1.100000;-1.100000;
1.055081;0.292743;0.305588;0.721133;0.741505;0.000000;0.812509;1.100000;-1.100000;
1.055337;0.292152;0.306097;0.721623;0.739567;0.000000;0.814273;1.100000;-1.100000;
1.055849;0.290704;0.307098;0.722426;0.735725;0.000000;0.817746;1.100000;-1.100000;
1.056361;0.289002;0.308077;0.722998;0.731929;0.000000;0.821146;1.100000;-1.100000;
1.056873;0.287158;0.309032;0.723353;0.728177;0.000000;0.824474;1.100000;-1.100000;
1.057385;0.285244;0.309966;0.723505;0.724471;0.000000;0.827733;1.100000;-1.100000;
1.057897;0.283307;0.310878;0.723465;0.720810;0.000000;0.830923;1.100000;-1.100000;
1.058921;0.279467;0.312641;0.722870;0.713623;0.000000;0.837103;1.100000;-1.100000;
1.059945;0.275711;0.314323;0.721646;0.706619;0.000000;0.843025;1.100000;-1.100000;
1.060969;0.272075;0.315928;0.719868;0.699796;0.000000;0.848696;1.100000;-1.100000;
1.063017;0.265192;0.318924;0.715001;0.686683;0.000000;0.859341;1.100000;-1.100000;
1.065065;0.258808;0.321652;0.708683;0.674288;0.000000;0.869102;1.100000;-1.100000;
1.067113;0.252897;0.324135;0.701294;0.662605;0.000000;0.878044;1.100000;-1.100000;
1.069161;0.247427;0.326394;0.693159;0.651614;0.000000;0.886232;1.100000;-1.100000;
1.071209;0.242368;0.328449;0.684543;0.641299;0.000000;0.893726;1.100000;-1.100000;
1.073257;0.237693;0.330320;0.675661;0.631637;0.000000;0.900581;1.100000;-1.100000;
1.075305;0.233376;0.332022;0.666682;0.622604;0.000000;0.906851;1.100000;-1.100000;
1.077353;0.229391;0.333571;0.657740;0.614173;0.000000;0.912582;1.100000;-1.100000;
1.079401;0.225716;0.334982;0.648940;0.606318;0.000000;0.917819;1.100000;-1.100000;
1.081449;0.222329;0.336267;0.640361;0.599011;0.000000;0.922605;1.100000;-1.100000;
1.083497;0.219210;0.337438;0.632063;0.592225;0.000000;0.926976;1.100000;-1.100000;
1.087593;0.213668;0.339489;0.616481;0.580023;0.000000;0.934651;1.100000;-1.100000;
1.091689;0.208981;0.341197;0.602341;0.569580;0.000000;0.941056;1.100000;-1.100000;
1.095785;0.205032;0.342619;0.589705;0.560688;0.000000;0.946386;1.100000;-1.100000;
1.099881;0.201716;0.343804;0.578554;0.553145;0.000000;0.950816;1.100000;-1.100000;
1.103977;0.198937;0.344792;0.568818;0.546774;0.000000;0.954495;1.100000;-1.100000;
1.108073;0.196614;0.345619;0.560390;0.541410;0.000000;0.957547;1.100000;-1.100000;
1.112169;0.194675;0.346310;0.553146;0.536906;0.000000;0.960079;1.100000;-1.100000;
1.116265;0.193059;0.346890;0.546957;0.533135;0.000000;0.962177;1.100000;-1.100000;
1.120361;0.191715;0.347376;0.541696;0.529984;0.000000;0.963916;1.100000;-1.100000;
1.124457;0.190599;0.347786;0.537242;0.527355;0.000000;0.965355;1.100000;-1.100000;
1.128553;0.189672;0.348130;0.533486;0.525166;0.000000;0.966547;1.100000;-1.100000;
1.132649;0.188904;0.348420;0.530327;0.523345;0.000000;0.967533;1.100000;-1.100000;
1.136745;0.188268;0.348665;0.527678;0.521832;0.000000;0.968349;1.100000;-1.100000;
1.140841;0.187741;0.348872;0.525461;0.520577;0.000000;0.969024;1.100000;-1.100000;
1.144937;0.187305;0.349046;0.523610;0.519537;0.000000;0.969581;1.100000;-1.100000;
1.153129;0.186632;0.349323;0.520724;0.517922;0.000000;0.970442;1.100000;-1.100000;
1.160502;0.186213;0.349504;0.518899;0.516916;0.000000;0.970978;1.100000;-1.100000;
1.167874;0.185918;0.349637;0.517598;0.516205;0.000000;0.971356;1.100000;-1.100000;
1.175247;0.185712;0.349736;0.516681;0.515707;0.000000;0.971621;1.100000;-1.100000;
1.182620;0.185569;0.349808;0.516037;0.515359;0.000000;0.971805;1.100000;-1.100000;
1.189993;0.185470;0.349860;0.515589;0.515118;0.000000;0.971933;1.100000;-1.100000;
1.197366;0.185401;0.349899;0.515277;0.514951;0.000000;0.972021;1.100000;-1.100000;
1.212111;0.185315;0.349950;0.514883;0.514741;0.000000;0.972133;1.100000;-1.100000;
1.226857;0.185275;0.349977;0.514698;0.514642;0.000000;0.972185;1.100000;-1.100000;
1.241602;0.185258;0.349991;0.514618;0.514600;0.000000;0.972207;1.100000;-1.100000;
1.256348;0.185252;0.349997;0.514588;0.514585;0.000000;0.972215;1.100000;-1.100000;
1.285839;0.185248;0.350003;0.514566;0.514573;0.000000;0.972221;1.100000;-1.100000;
1.344822;0.185250;0.350002;0.514577;0.514579;0.000000;0.972218;1.100000;-1.100000;
1.462786;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
1.513886;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
1.513887;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
1.513888;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
1.513890;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
1.513894;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
1.513902;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
1.513918;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
1.513950;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
1.514014;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
1.514142;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
1.514398;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
1.514910;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
1.515934;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
1.517982;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
1.522078;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
1.530270;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
1.546654;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
1.579422;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
1.644958;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
1.776030;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
2.000000;0.185251;0.350001;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
2.000000;0.308752;0.583335;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
2.000001;0.308752;0.583335;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
2.000002;0.308752;0.583335;0.514581;0.514581;0.000000;0.972217;1.100000;-1.100000;
2.000004;0.308752;0.583335;0.514581;0.514582;0.000000;0.972217;1.100000;-1.100000;
2.000008;0.308752;0.583335;0.514581;0.514582;0.000000;0.972217;1.100000;-1.100000;
2.000016;0.308752;0.583334;0.514581;0.514583;0.000000;0.972216;1.100000;-1.100000;
2.000032;0.308752;0.583334;0.514581;0.514586;0.000000;0.972214;1.100000;-1.100000;
2.000064;0.308752;0.583332;0.514581;0.514601;0.000000;0.972207;1.100000;-1.100000;
2.000128;0.308758;0.583323;0.514582;0.514658;0.000000;0.972176;1.100000;-1.100000;
2.000256;0.308797;0.583289;0.514585;0.514886;0.000000;0.972056;1.100000;-1.100000;
2.000512;0.309069;0.583163;0.514605;0.515783;0.000000;0.971580;1.100000;-1.100000;
2.000768;0.309576;0.582966;0.514657;0.517247;0.000000;0.970801;1.100000;-1.100000;
2.001024;0.310178;0.582708;0.514751;0.519254;0.000000;0.969729;1.100000;-1.100000;
2.001280;0.310803;0.582394;0.514899;0.521776;0.000000;0.968374;1.100000;-1.100000;
2.001536;0.311430;0.582031;0.515114;0.524784;0.000000;0.966748;1.100000;-1.100000;
2.001792;0.312056;0.581622;0.515405;0.528248;0.000000;0.964859;1.100000;-1.100000;
2.002304;0.313327;0.580680;0.516261;0.536405;0.000000;0.960349;1.100000;-1.100000;
2.002816;0.314604;0.579578;0.517519;0.546027;0.000000;0.954909;1.100000;-1.100000;
2.003328;0.315883;0.578324;0.519224;0.556894;0.000000;0.948611;1.100000;-1.100000;
2.003840;0.317163;0.576921;0.521410;0.568797;0.000000;0.941520;1.100000;-1.100000;
2.004352;0.318443;0.575369;0.524100;0.581541;0.000000;0.933700;1.100000;-1.100000;
2.005376;0.321003;0.571822;0.531032;0.608772;0.000000;0.916186;1.100000;-1.100000;
2.006400;0.323563;0.567682;0.539995;0.637451;0.000000;0.896449;1.100000;-1.100000;
2.006885;0.324777;0.565512;0.544922;0.651260;0.000000;0.886442;1.100000;-1.100000;
2.006885;0.324777;0.565512;0.544922;0.651322;0.000000;0.886442;1.100000;-1.100000;
2.006886;0.324780;0.565508;0.544933;0.651351;0.000000;0.886421;1.100000;-1.100000;
2.006887;0.324782;0.565503;0.544943;0.651380;0.000000;0.886400;1.100000;-1.100000;
2.006889;0.324787;0.565494;0.544965;0.651437;0.000000;0.886358;1.100000;-1.100000;
2.006893;0.324797;0.565475;0.545007;0.651552;0.000000;0.886273;1.100000;-1.100000;
2.006901;0.324817;0.565438;0.545092;0.651783;0.000000;0.886103;1.100000;-1.100000;
2.006917;0.324857;0.565364;0.545261;0.652244;0.000000;0.885764;1.100000;-1.100000;
2.006949;0.324937;0.565216;0.545598;0.653167;0.000000;0.885084;1.100000;-1.100000;
2.007013;0.325097;0.564918;0.546264;0.655012;0.000000;0.883719;1.100000;-1.100000;
2.007141;0.325417;0.564315;0.547569;0.658703;0.000000;0.880971;1.100000;-1.100000;
2.007397;0.326057;0.563080;0.550068;0.666085;0.000000;0.875403;1.100000;-1.100000;
2.007909;0.327337;0.560502;0.554650;0.680811;0.000000;0.864001;1.100000;-1.100000;
2.008933;0.329897;0.554917;0.562314;0.709879;0.000000;0.840281;1.100000;-1.100000;
2.009957;0.332457;0.548770;0.568170;0.738169;0.000000;0.815528;1.100000;-1.100000;
2.010981;0.335017;0.542081;0.572465;0.765428;0.000000;0.789978;1.100000;-1.100000;
2.012005;0.337577;0.534874;0.575426;0.791490;0.000000;0.763851;1.100000;-1.100000;
2.013029;0.340137;0.527177;0.577252;0.816233;0.000000;0.737342;1.100000;-1.100000;
2.013855;0.342200;0.520638;0.578025;0.835168;0.000000;0.715826;1.100000;-1.100000;
2.013855;0.342200;0.520638;0.578025;0.835221;0.000000;0.715826;1.100000;-1.100000;
2.013856;0.342203;0.520629;0.578026;0.835243;0.000000;0.715799;1.100000;-1.100000;
2.013857;0.342205;0.520621;0.578027;0.835266;0.000000;0.715773;1.100000;-1.100000;
2.013859;0.342210;0.520605;0.578028;0.835311;0.000000;0.715721;1.100000;-1.100000;
2.013863;0.342220;0.520573;0.578030;0.835400;0.000000;0.715616;1.100000;-1.100000;
2.013871;0.342240;0.520508;0.578034;0.835580;0.000000;0.715407;1.100000;-1.100000;
2.013887;0.342280;0.520378;0.578042;0.835938;0.000000;0.714988;1.100000;-1.100000;
2.013919;0.342360;0.520118;0.578058;0.836654;0.000000;0.714150;1.100000;-1.100000;
2.013983;0.342520;0.519596;0.578087;0.838082;0.000000;0.712474;1.100000;-1.100000;
2.014111;0.342840;0.518547;0.578136;0.840921;0.000000;0.709121;1.100000;-1.100000;
2.014367;0.343480;0.516426;0.578198;0.846531;0.000000;0.702414;1.100000;-1.100000;
2.014623;0.344120;0.514273;0.578213;0.852052;0.000000;0.695707;1.100000;-1.100000;
2.015135;0.345400;0.509870;0.578113;0.862823;0.000000;0.682303;1.100000;-1.100000;
2.015647;0.346680;0.505334;0.577849;0.873238;0.000000;0.668921;1.100000;-1.100000;
2.016159;0.347960;0.500669;0.577435;0.883301;0.000000;0.655575;1.100000;-1.100000;
2.016671;0.349240;0.495877;0.576884;0.893016;0.000000;0.642278;1.100000;-1.100000;
2.017183;0.350520;0.490966;0.576209;0.902389;0.000000;0.629041;1.100000;-1.100000;
2.018207;0.353080;0.480824;0.574544;0.920122;0.000000;0.602806;1.100000;-1.100000;
2.019231;0.355640;0.470296;0.572511;0.936558;0.000000;0.576936;1.100000;-1.100000;
2.020255;0.358200;0.459437;0.570178;0.951758;0.000000;0.551495;1.100000;-1.100000;
2.021279;0.360760;0.448303;0.567608;0.965788;0.000000;0.526538;1.100000;-1.100000;
2.022303;0.363320;0.436944;0.564854;0.978710;0.000000;0.502109;1.100000;-1.100000;
2.023327;0.365880;0.425409;0.561961;0.990589;0.000000;0.478247;1.100000;-1.100000;
2.025375;0.371000;0.402029;0.555953;1.011467;0.000000;0.432359;1.100000;-1.100000;
2.027218;0.375608;0.380774;0.550402;1.027317;0.000000;0.393214;1.100000;-1.100000;
2.027699;0.376810;0.375229;0.548954;1.031052;0.000000;0.383349;1.100000;-1.100000;
2.027699;0.376810;0.375229;0.548954;1.031040;0.000000;0.383349;1.100000;-1.100000;
2.027700;0.376813;0.375217;0.548951;1.031048;0.000000;0.383328;1.100000;-1.100000;
2.027701;0.376815;0.375205;0.548948;1.031055;0.000000;0.383308;1.100000;-1.100000;
2.027703;0.376820;0.375182;0.548942;1.031070;0.000000;0.383267;1.100000;-1.100000;
2.027707;0.376830;0.375136;0.548930;1.031101;0.000000;0.383186;1.100000;-1.100000;
2.027715;0.376850;0.375043;0.548906;1.031161;0.000000;0.383023;1.100000;-1.100000;
2.027731;0.376890;0.374858;0.548857;1.031282;0.000000;0.382697;1.100000;-1.100000;
2.027763;0.376970;0.374489;0.548760;1.031523;0.000000;0.382048;1.100000;-1.100000;
2.027827;0.377130;0.373751;0.548565;1.032001;0.000000;0.380755;1.100000;-1.100000;
2.027955;0.377450;0.372281;0.548176;1.032943;0.000000;0.378192;1.100000;-1.100000;
2.028211;0.378090;0.369366;0.547399;1.034773;0.000000;0.373154;1.100000;-1.100000;
2.028723;0.379370;0.363635;0.545849;1.038231;0.000000;0.363424;1.100000;-1.100000;
2.029747;0.381930;0.352554;0.542779;1.044413;0.000000;0.345256;1.100000;-1.100000;
2.030771;0.384490;0.341963;0.539755;1.049743;0.000000;0.328698;1.100000;-1.100000;
2.031795;0.387050;0.331841;0.536785;1.054353;0.000000;0.313608;1.100000;-1.100000;
2.032819;0.389610;0.322166;0.533880;1.058350;0.000000;0.299849;1.100000;-1.100000;
2.033843;0.392170;0.312919;0.531045;1.061827;0.000000;0.287296;1.100000;-1.100000;
2.034867;0.394730;0.304079;0.528286;1.064863;0.000000;0.275835;1.100000;-1.100000;
