time;NETWORK__KANA___1_TN_Upu_value;NETWORK__TURN___2_TN_Upu_value;NETWORK__LOGA___3_TN_Upu_value;NETWORK__BEAV___6_TN_Upu_value;NETWORK__CLIN___8_TN_Upu_value;NETWORK__SALT___9_TN_Upu_value;NETWORK__GLEN__12_TN_Upu_value;GEN____1_SM_generator_PGen;GEN____2_SM_generator_PGen;GEN____3_SM_generator_PGen;GEN____6_SM_generator_PGen;GEN____8_SM_generator_PGen;GEN____9_SM_generator_PGen;GEN___12_SM_generator_PGen;GEN____1_SM_generator_QGen;GEN____2_SM_generator_QGen;GEN____3_SM_generator_QGen;GEN____6_SM_generator_QGen;GEN____8_SM_generator_QGen;GEN____9_SM_generator_QGen;GEN___12_SM_generator_QGen;GEN____1_SM_generator_omegaPu;GEN____2_SM_generator_omegaPu;GEN____3_SM_generator_omegaPu;GEN____6_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;GEN____9_SM_generator_omegaPu;GEN___12_SM_generator_omegaPu;GEN____1_SM_generator_UStatorPu;GEN____2_SM_generator_UStatorPu;GEN____3_SM_generator_UStatorPu;GEN____6_SM_generator_UStatorPu;GEN____8_SM_generator_UStatorPu;GEN____9_SM_generator_UStatorPu;GEN___12_SM_generator_UStatorPu;
0.663583;1.039997;1.009995;0.984950;0.979980;1.004954;0.979989;1.015039;478.655005;0.029927;40.058672;-0.019938;449.968627;-0.028165;310.021728;128.861431;-0.723398;-1.048404;0.932753;62.002272;2.332818;128.763682;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;0.999999;1.047589;1.009951;0.984868;0.980065;1.010725;0.980133;1.022614;
0.663584;1.039997;1.009995;0.984950;0.979980;1.004954;0.979989;1.015039;478.655005;0.029927;40.058672;-0.019938;449.968627;-0.028165;310.021728;128.861431;-0.723398;-1.048404;0.932753;62.002272;2.332818;128.763682;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;0.999999;1.047589;1.009951;0.984868;0.980065;1.010725;0.980133;1.022614;
0.663586;1.039997;1.009995;0.984950;0.979980;1.004954;0.979989;1.015039;478.655005;0.029927;40.058672;-0.019938;449.968627;-0.028165;310.021728;128.861431;-0.723398;-1.048404;0.932753;62.002272;2.332818;128.763682;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;0.999999;1.047589;1.009951;0.984868;0.980065;1.010725;0.980133;1.022614;
0.663590;1.039997;1.009995;0.984950;0.979980;1.004954;0.979989;1.015039;478.655005;0.029928;40.058672;-0.019938;449.968626;-0.028165;310.021728;128.861431;-0.723398;-1.048404;0.932753;62.002272;2.332818;128.763682;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;0.999999;1.047589;1.009951;0.984868;0.980065;1.010725;0.980133;1.022614;
0.663598;1.039997;1.009995;0.984950;0.979980;1.004954;0.979989;1.015039;478.655005;0.029929;40.058673;-0.019938;449.968626;-0.028166;310.021728;128.861431;-0.723398;-1.048404;0.932754;62.002272;2.332819;128.763683;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;0.999999;1.047589;1.009951;0.984868;0.980065;1.010725;0.980133;1.022614;
0.663614;1.039997;1.009995;0.984950;0.979980;1.004954;0.979989;1.015039;478.655006;0.029930;40.058674;-0.019939;449.968625;-0.028168;310.021727;128.861430;-0.723398;-1.048405;0.932754;62.002271;2.332819;128.763684;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;0.999999;1.047589;1.009951;0.984868;0.980065;1.010725;0.980133;1.022614;
0.663646;1.039997;1.009995;0.984950;0.979980;1.004954;0.979989;1.015039;478.655008;0.029934;40.058677;-0.019940;449.968623;-0.028171;310.021727;128.861430;-0.723398;-1.048406;0.932756;62.002270;2.332820;128.763686;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;0.999999;1.047589;1.009951;0.984868;0.980065;1.010725;0.980133;1.022614;
0.663710;1.039997;1.009995;0.984950;0.979980;1.004954;0.979989;1.015039;478.655012;0.029941;40.058682;-0.019942;449.968618;-0.028177;310.021725;128.861430;-0.723398;-1.048409;0.932758;62.002268;2.332822;128.763690;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;0.999999;1.047589;1.009951;0.984868;0.980065;1.010725;0.980133;1.022614;
0.663838;1.039997;1.009995;0.984950;0.979980;1.004954;0.979989;1.015039;478.655020;0.029954;40.058692;-0.019946;449.968609;-0.028188;310.021721;128.861429;-0.723399;-1.048413;0.932763;62.002263;2.332827;128.763699;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;0.999999;1.047589;1.009951;0.984868;0.980065;1.010725;0.980133;1.022614;
0.664094;1.039997;1.009995;0.984950;0.979980;1.004954;0.979989;1.015039;478.655036;0.029981;40.058712;-0.019954;449.968591;-0.028212;310.021714;128.861426;-0.723399;-1.048423;0.932773;62.002253;2.332835;128.763715;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;0.999999;1.047589;1.009951;0.984868;0.980065;1.010725;0.980133;1.022614;
0.664606;1.039997;1.009995;0.984950;0.979980;1.004954;0.979989;1.015039;478.655068;0.030034;40.058751;-0.019969;449.968554;-0.028258;310.021699;128.861422;-0.723400;-1.048441;0.932793;62.002233;2.332853;128.763749;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;0.999999;1.047589;1.009951;0.984868;0.980065;1.010725;0.980133;1.022614;
0.665630;1.039997;1.009995;0.984950;0.979980;1.004954;0.979989;1.015039;478.655132;0.030142;40.058828;-0.020000;449.968480;-0.028351;310.021669;128.861413;-0.723403;-1.048478;0.932831;62.002194;2.332887;128.763815;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;0.999999;1.047589;1.009951;0.984868;0.980065;1.010725;0.980133;1.022614;
0.667678;1.039997;1.009995;0.984950;0.979980;1.004954;0.979989;1.015039;478.655264;0.030355;40.058978;-0.020057;449.968329;-0.028531;310.021607;128.861395;-0.723408;-1.048550;0.932908;62.002119;2.332954;128.763947;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;0.999999;1.047589;1.009951;0.984868;0.980065;1.010725;0.980133;1.022614;
0.671774;1.039997;1.009995;0.984950;0.979980;1.004954;0.979989;1.015040;478.655537;0.030778;40.059258;-0.020157;449.968012;-0.028874;310.021481;128.861358;-0.723420;-1.048687;0.933055;62.001973;2.333085;128.764205;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;0.999999;1.047589;1.009951;0.984868;0.980066;1.010725;0.980133;1.022614;
0.679966;1.039998;1.009995;0.984950;0.979981;1.004954;0.979989;1.015040;478.656124;0.031609;40.059736;-0.020302;449.967323;-0.029491;310.021212;128.861280;-0.723446;-1.048934;0.933330;62.001706;2.333330;128.764703;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;0.999999;1.047589;1.009951;0.984868;0.980066;1.010725;0.980133;1.022614;
