"time","wPP4ACurrentSource.wPPControl.measurements.PGenNomPu","wPP4ACurrentSource.wPPControl.measurements.QGenNomPu","wPP4ACurrentSource.wPPControl.measurements.UPu"
5.89,0.4996377892264953,0.08446066783377193,1.09614740792352
5.891,0.4996383912442025,0.08446068813960839,1.096147406956762
5.892,0.499638992253787,0.08446070841150884,1.096147405991619
5.893,0.4996395922552492,0.08446072864947243,1.096147405028091
5.894,0.4996401912485886,0.0844607488534983,1.096147404066177
5.895,0.4996407892338052,0.08446076902358558,1.096147403105878
5.896,0.4996413862108993,0.08446078915973343,1.096147402147194
5.897,0.4996419821798706,0.08446080926194099,1.096147401190124
5.898,0.4996425771407191,0.0844608293302074,1.096147400234668
5.899,0.4996431710934445,0.08446084936453183,1.096147399280826
5.9,0.4996437640380468,0.0844608693649134,1.096147398328598
5.901,0.4996443559745264,0.08446088933135126,1.096147397377984
5.902,0.4996449469028826,0.08446090926384461,1.096147396428984
5.903,0.4996455368231158,0.08446092916239255,1.096147395481597
5.904,0.4996461257352256,0.08446094902699428,1.096147394535825
5.905,0.4996467136392123,0.08446096885764891,1.096147393591665
5.906,0.4996473005350755,0.08446098865435564,1.096147392649119
5.907,0.4996478864228153,0.08446100841711363,1.096147391708187
5.908,0.4996484713024317,0.08446102814592199,1.096147390768867
5.909,0.4996490551739243,0.0844610478407799,1.09614738983116
5.91,0.4996496380372935,0.08446106750168661,1.096147388895067
5.911,0.4996502198925389,0.08446108712864117,1.096147387960586
5.912,0.4996508007396608,0.08446110672164281,1.096147387027718
5.913,0.4996513805786587,0.08446112628069069,1.096147386096463
5.914,0.4996519594095327,0.08446114580578394,1.09614738516682
5.915,0.499652537232283,0.0844611652969218,1.09614738423879
5.916,0.4996531140469092,0.0844611847541034,1.096147383312372
5.917,0.4996536898534112,0.08446120417732793,1.096147382387566
5.918,0.4996542646517894,0.08446122356659455,1.096147381464373
5.919,0.4996548384420432,0.08446124292190244,1.096147380542791
5.92,0.4996554112241728,0.08446126224325078,1.096147379622822
5.921,0.4996559829981781,0.08446128153063877,1.096147378704464
5.922,0.4996565537640593,0.08446130078406558,1.096147377787718
5.923,0.499657123521816,0.08446132000353039,1.096147376872583
5.924,0.499657692271448,0.08446133918903237,1.096147375959061
5.925,0.4996582600129558,0.08446135834057075,1.096147375047149
5.926,0.4996588267463389,0.08446137745814467,1.096147374136849
5.927,0.4996593924715972,0.08446139654175334,1.09614737322816
5.928,0.4996599571887309,0.08446141559139592,1.096147372321082
5.929,0.4996605208977397,0.08446143460707167,1.096147371415615
5.93,0.4996610835986239,0.08446145358877971,1.096147370511759
5.931,0.4996616452913832,0.08446147253651928,1.096147369609514
5.932,0.4996622059760174,0.08446149145028957,1.09614736870888
5.933,0.4996627656525267,0.08446151033008975,1.096147367809856
5.934,0.4996633243209109,0.08446152917591906,1.096147366912443
5.935,0.4996638819811701,0.08446154798777669,1.096147366016641
5.936,0.499664438633304,0.0844615667656618,1.096147365122448
5.937,0.4996649942773126,0.08446158550957364,1.096147364229866
5.938,0.499665548913196,0.0844616042195114,1.096147363338893
5.939,0.4996661025409539,0.08446162289547426,1.096147362449531
5.94,0.4996666551605865,0.0844616415374615,1.096147361561779
5.941,0.4996672067720937,0.08446166014547224,1.096147360675637
5.942,0.4996677573754753,0.08446167871950575,1.096147359791104
5.943,0.4996683069707313,0.08446169725956124,1.096147358908181
5.944,0.4996688555578616,0.08446171576563788,1.096147358026868
5.945,0.4996694031368662,0.08446173423773493,1.096147357147164
5.946,0.4996699497077451,0.0844617526758516,1.096147356269069
5.947,0.4996704952704981,0.08446177107998706,1.096147355392583
5.948,0.4996710398251255,0.0844617894501406,1.096147354517707
5.949,0.4996715833716266,0.0844618077863114,1.09614735364444
5.95,0.4996721259100017,0.08446182608849868,1.096147352772781
5.951,0.4996726699491155,0.0844618444420792,1.096147351898884
5.952,0.499673214004615,0.08446186279654071,1.096147351025023
5.953,0.4996737571559216,0.08446188112055511,1.096147350152613
5.954,0.4996742994030358,0.08446189941412173,1.096147349281652
5.955,0.4996748407459571,0.08446191767723989,1.09614734841214
5.956,0.4996753811846856,0.08446193590990886,1.096147347544077
5.957,0.4996759207192212,0.08446195411212795,1.096147346677463
5.958,0.4996764593495638,0.0844619722838965,1.096147345812298
5.959,0.4996769970757136,0.0844619904252138,1.096147344948583
5.96,0.4996775338976703,0.08446200853607916,1.096147344086316
5.961,0.4996780698154341,0.08446202661649188,1.096147343225498
5.962,0.4996786048290046,0.08446204466645127,1.096147342366128
5.963,0.499679138938382,0.08446206268595668,1.096147341508208
5.964,0.4996796721435662,0.08446208067500736,1.096147340651735
5.965,0.4996802044445571,0.0844620986336027,1.096147339796711
5.966,0.4996807358413546,0.08446211656174196,1.096147338943136
5.967,0.4996812663339588,0.08446213445942449,1.096147338091009
5.968,0.4996817959223697,0.08446215232664961,1.09614733724033
5.969,0.499682324606587,0.0844621701634166,1.096147336391099
5.97,0.4996828523866108,0.08446218796972482,1.096147335543316
5.971,0.4996833792624412,0.08446220574557359,1.096147334696981
5.972,0.4996839052340778,0.08446222349096222,1.096147333852094
5.973,0.4996844303015207,0.08446224120589005,1.096147333008655
5.974,0.4996849544647698,0.08446225889035638,1.096147332166663
5.975,0.4996854777238252,0.08446227654436056,1.096147331326119
5.976,0.4996860000786869,0.08446229416790192,1.096147330487023
5.977,0.4996865215293547,0.08446231176097976,1.096147329649374
5.978,0.4996870420758286,0.08446232932359346,1.096147328813172
5.979,0.4996875617181085,0.0844623468557423,1.096147327978417
5.98,0.4996880804561944,0.08446236435742566,1.09614732714511
5.981,0.4996885982900862,0.08446238182864282,1.09614732631325
5.982,0.4996891152197838,0.08446239926939315,1.096147325482836
5.983,0.4996896312452873,0.08446241667967599,1.09614732465387
5.984,0.4996901463665968,0.08446243405949069,1.096147323826351
5.985,0.4996906605837118,0.08446245140883654,1.096147323000278
5.986,0.4996911738966325,0.08446246872771293,1.096147322175652
5.987,0.4996916863053589,0.08446248601611916,1.096147321352473
5.988,0.4996921978098909,0.08446250327405461,1.09614732053074
5.989,0.4996927084102284,0.08446252050151859,1.096147319710454
