2019-08-05 22:50:06 | DEBUG |  ============================================================ 
2019-08-05 22:50:06 | DEBUG | DYNAWO VERSION  :     1.0.1
2019-08-05 22:50:06 | DEBUG | DYNAWO REVISION :  384_ModeFromModelica-093a76f
2019-08-05 22:50:06 | DEBUG |  ============================================================ 
2019-08-05 22:51:03 | DEBUG | connecting Network_tfo_terminal2 with SM_gen_terminal
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; curve: gen_cePu found. (exact name)
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; curve: gen_PePu found. (exact name)
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; curve: gen_cmPu found. (exact name)
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; output: gen_PmPu found.( gen_PmPu_value )
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; curve: gen_ufPu found. (exact name)
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; output: gen_efdPu found.( gen_efdPu_value )
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; output: gen_omegaPu found.( gen_omegaPu_value )
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; curve: gen_theta found. (exact name)
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; curve: gen_PGenPu found. (exact name)
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; curve: gen_QGenPu found. (exact name)
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; curve: gen_PGen found. (exact name)
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; curve: gen_QGen found. (exact name)
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; curve: gen_UPu found. (exact name)
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; output: gen_IStatorPu found.( gen_IStatorPu_value )
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; output: gen_IRotorPu found.( gen_IRotorPu_value )
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; output: gen_UStatorPu found.( gen_UStatorPu_value )
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; output: gen_QStatorPu found.( gen_QStatorPu_value )
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; output: gen_thetaInternal found.( gen_thetaInternal_value )
2019-08-05 22:51:03 | DEBUG | Algebraic mode change for model SM
2019-08-05 22:51:03 | DEBUG | call of SolverReInit ie a new symbolic and numerical factorization will be performed
2019-08-05 22:51:03 | DEBUG | -----------------------------------------------------------------------
2019-08-05 22:51:03 | DEBUG | number of continuous variables : 101 (display limited to 4 variables)
2019-08-05 22:51:03 | DEBUG | number of discrete variables : 23
2019-08-05 22:51:03 | DEBUG | -----------------------------------------------------------------------
2019-08-05 22:51:03 | DEBUG |        1.113  4.622430e-01  8.744681e-01  0.000000e+00  9.008100e-01 |  33 2 7.372800e-03 
2019-08-05 22:51:03 | DEBUG |        1.128  4.609858e-01  8.734248e-01  0.000000e+00  9.008100e-01 |  34 2 1.474560e-02 
2019-08-05 22:51:03 | DEBUG |        1.141  4.599907e-01  8.724138e-01  0.000000e+00  9.008100e-01 |  35 2 1.327104e-02 
2019-08-05 22:51:03 | DEBUG |        1.154  4.591315e-01  8.713303e-01  0.000000e+00  9.008100e-01 |  36 2 1.327104e-02 
2019-08-05 22:51:03 | DEBUG |        1.168  4.584129e-01  8.701706e-01  0.000000e+00  9.008100e-01 |  37 2 1.327104e-02 
2019-08-05 22:51:03 | DEBUG |        1.181  4.578384e-01  8.689319e-01  0.000000e+00  9.008100e-01 |  38 2 1.327104e-02 
2019-08-05 22:51:03 | DEBUG |        1.194  4.574095e-01  8.676119e-01  0.000000e+00  9.008100e-01 |  39 2 1.327104e-02 
2019-08-05 22:51:03 | DEBUG |        1.207  4.571270e-01  8.662092e-01  0.000000e+00  9.008100e-01 |  40 2 1.327104e-02 
2019-08-05 22:51:03 | DEBUG |        1.221  4.569900e-01  8.647234e-01  0.000000e+00  9.008100e-01 |  41 2 1.327104e-02 
2019-08-05 22:51:03 | DEBUG |        1.247  4.571393e-01  8.615060e-01  0.000000e+00  9.008100e-01 |  42 2 2.654208e-02 
2019-08-05 22:51:03 | DEBUG |        1.274  4.578279e-01  8.579716e-01  0.000000e+00  9.008100e-01 |  43 2 2.654208e-02 
2019-08-05 22:51:03 | DEBUG |        1.298  4.588751e-01  8.545357e-01  0.000000e+00  9.008100e-01 |  44 2 2.388787e-02 
2019-08-05 22:51:03 | DEBUG |        1.319  4.601308e-01  8.512543e-01  0.000000e+00  9.008100e-01 |  45 2 2.149908e-02 
2019-08-05 22:51:03 | DEBUG |        1.339  4.614863e-01  8.481642e-01  0.000000e+00  9.008100e-01 |  46 2 1.934918e-02 
2019-08-05 22:51:03 | DEBUG |        1.356  4.628657e-01  8.452865e-01  0.000000e+00  9.008100e-01 |  47 2 1.741426e-02 
2019-08-05 22:51:03 | DEBUG |        1.372  4.642181e-01  8.426302e-01  0.000000e+00  9.008100e-01 |  48 2 1.567283e-02 
2019-08-05 22:51:03 | DEBUG |        1.387  4.656579e-01  8.399229e-01  0.000000e+00  9.008100e-01 |  49 2 1.567283e-02 
2019-08-05 22:51:03 | DEBUG |        1.403  4.671684e-01  8.371768e-01  0.000000e+00  9.008100e-01 |  50 2 1.567283e-02 
2019-08-05 22:51:03 | DEBUG |        1.419  4.687325e-01  8.344044e-01  0.000000e+00  9.008100e-01 |  51 2 1.567283e-02 
2019-08-05 22:51:03 | DEBUG |        1.434  4.703335e-01  8.316187e-01  0.000000e+00  9.008100e-01 |  52 2 1.567283e-02 
2019-08-05 22:51:03 | DEBUG |        1.450  4.719547e-01  8.288332e-01  0.000000e+00  9.008100e-01 |  53 2 1.567283e-02 
2019-08-05 22:51:03 | DEBUG |        1.464  4.734186e-01  8.263372e-01  0.000000e+00  9.008100e-01 |  54 2 1.410555e-02 
2019-08-05 22:51:03 | DEBUG |        1.478  4.748737e-01  8.238622e-01  0.000000e+00  9.008100e-01 |  55 2 1.410555e-02 
2019-08-05 22:51:03 | DEBUG |        1.492  4.763090e-01  8.214185e-01  0.000000e+00  9.008100e-01 |  56 2 1.410555e-02 
2019-08-05 22:51:03 | DEBUG |        1.506  4.777139e-01  8.190160e-01  0.000000e+00  9.008100e-01 |  57 2 1.410555e-02 
2019-08-05 22:51:03 | DEBUG |        1.520  4.790780e-01  8.166647e-01  0.000000e+00  9.008100e-01 |  58 2 1.410555e-02 
2019-08-05 22:51:03 | DEBUG |        1.535  4.803918e-01  8.143741e-01  0.000000e+00  9.008100e-01 |  59 2 1.410555e-02 
2019-08-05 22:51:03 | DEBUG |        1.549  4.816462e-01  8.121536e-01  0.000000e+00  9.008100e-01 |  60 2 1.410555e-02 
2019-08-05 22:51:03 | DEBUG |        1.563  4.828331e-01  8.100119e-01  0.000000e+00  9.008100e-01 |  61 2 1.410555e-02 
2019-08-05 22:51:03 | DEBUG |        1.577  4.839448e-01  8.079575e-01  0.000000e+00  9.008100e-01 |  62 2 1.410555e-02 
2019-08-05 22:51:03 | DEBUG |        1.591  4.849744e-01  8.059981e-01  0.000000e+00  9.008100e-01 |  63 2 1.410555e-02 
2019-08-05 22:51:03 | DEBUG |        1.605  4.859159e-01  8.041409e-01  0.000000e+00  9.008100e-01 |  64 2 1.410555e-02 
2019-08-05 22:51:03 | DEBUG |        1.619  4.867640e-01  8.023925e-01  0.000000e+00  9.008100e-01 |  65 2 1.410555e-02 
2019-08-05 22:51:03 | DEBUG |        1.633  4.875140e-01  8.007585e-01  0.000000e+00  9.008100e-01 |  66 2 1.410555e-02 
2019-08-05 22:51:03 | DEBUG |        1.647  4.881622e-01  7.992439e-01  0.000000e+00  9.008100e-01 |  67 2 1.410555e-02 
2019-08-05 22:51:03 | DEBUG |        1.662  4.887057e-01  7.978528e-01  0.000000e+00  9.008100e-01 |  68 2 1.410555e-02 
