time;WPP4B_WPP_wPPControl_measurements_PGenNomPu;WPP4B_WPP_wPPControl_measurements_QGenNomPu;WPP4B_WPP_wPPControl_measurements_UPu;WPP4B_WPP_terminal_V_re;WPP4B_WPP_terminal_V_im;WPP4B_WPP_terminal_i_re;WPP4B_WPP_terminal_i_im;
6.253564;0.765747;-0.160712;1.025621;1.013686;0.156007;-0.714095;-0.268443;
6.253565;0.765747;-0.160718;1.025619;1.013685;0.156007;-0.714095;-0.268449;
6.253565;0.765747;-0.160718;1.025619;1.013685;0.156007;-0.714095;-0.268449;
6.253565;0.765747;-0.160718;1.025619;1.013685;0.156007;-0.714095;-0.268449;
6.253565;0.765747;-0.160718;1.025619;1.013685;0.156007;-0.714095;-0.268449;
6.253565;0.765747;-0.160718;1.025619;1.013685;0.156007;-0.714095;-0.268449;
6.253565;0.765747;-0.160718;1.025619;1.013685;0.156007;-0.714095;-0.268449;
6.253695;0.765615;-0.162064;1.025237;1.013296;0.156015;-0.714017;-0.269873;
6.253956;0.765311;-0.164924;1.024424;1.012473;0.156025;-0.713829;-0.272895;
6.254229;0.764919;-0.168222;1.023486;1.011524;0.156025;-0.713574;-0.276373;
6.254229;0.764915;-0.168223;1.023486;1.011524;0.156024;-0.713571;-0.276372;
6.254357;0.764703;-0.169734;1.023057;1.011091;0.156017;-0.713425;-0.277957;
6.254416;0.764563;-0.170471;1.022849;1.010882;0.156003;-0.713319;-0.278718;
6.254416;0.764562;-0.170471;1.022849;1.010882;0.156003;-0.713319;-0.278718;
6.254543;0.764300;-0.171973;1.022424;1.010455;0.155982;-0.713126;-0.280277;
6.254796;0.763652;-0.174921;1.021593;1.009626;0.155907;-0.712624;-0.283296;
6.254973;0.763033;-0.176911;1.021037;1.009079;0.155809;-0.712119;-0.285275;
6.254973;0.763030;-0.176911;1.021037;1.009079;0.155809;-0.712117;-0.285275;
6.255097;0.762646;-0.178318;1.020642;1.008688;0.155753;-0.711809;-0.286694;
6.255344;0.761767;-0.181081;1.019870;1.007928;0.155613;-0.711088;-0.289441;
6.255767;0.759901;-0.185631;1.018610;1.006705;0.155275;-0.709519;-0.293832;
6.255767;0.759900;-0.185631;1.018610;1.006705;0.155275;-0.709518;-0.293831;
6.255886;0.759366;-0.186909;1.018255;1.006362;0.155178;-0.709068;-0.295063;
6.256124;0.758203;-0.189420;1.017563;1.005695;0.154957;-0.708079;-0.297448;
6.256601;0.755524;-0.194267;1.016238;1.004437;0.154420;-0.705771;-0.301913;
6.257078;0.752522;-0.198942;1.014971;1.003251;0.153796;-0.703161;-0.306090;
6.257186;0.751777;-0.199961;1.014697;1.002999;0.153637;-0.702509;-0.306972;
6.257186;0.751775;-0.199961;1.014697;1.002999;0.153636;-0.702507;-0.306971;
6.257385;0.750442;-0.201867;1.014183;1.002522;0.153354;-0.701342;-0.308642;
6.257784;0.747575;-0.205565;1.013194;1.001616;0.152734;-0.698824;-0.311796;
6.258163;0.744520;-0.208882;1.012321;1.000837;0.152054;-0.696121;-0.314467;
6.258163;0.744516;-0.208880;1.012322;1.000837;0.152053;-0.696118;-0.314464;
6.258163;0.744516;-0.208881;1.012322;1.000837;0.152053;-0.696118;-0.314464;
6.258163;0.744516;-0.208881;1.012322;1.000837;0.152053;-0.696118;-0.314464;
6.258418;0.742449;-0.211394;1.011651;1.000227;0.151602;-0.694298;-0.316579;
6.258926;0.738094;-0.216106;1.010406;0.999115;0.150632;-0.690443;-0.320393;
6.259944;0.728699;-0.224368;1.008274;0.997281;0.148483;-0.682069;-0.326532;
6.260755;0.720830;-0.230110;1.006830;0.996092;0.146647;-0.675017;-0.330390;
6.260755;0.720828;-0.230107;1.006830;0.996093;0.146646;-0.675015;-0.330386;
6.260760;0.720774;-0.230145;1.006821;0.996085;0.146634;-0.674967;-0.330411;
6.260760;0.720774;-0.230145;1.006821;0.996085;0.146634;-0.674967;-0.330411;
6.260760;0.720773;-0.230146;1.006820;0.996085;0.146634;-0.674966;-0.330412;
6.260760;0.720773;-0.230146;1.006820;0.996085;0.146634;-0.674966;-0.330412;
6.261117;0.717297;-0.232610;1.006201;0.995579;0.145820;-0.671849;-0.332047;
6.261829;0.710176;-0.237069;1.005105;0.994716;0.144136;-0.665442;-0.334752;
6.262541;0.702941;-0.241091;1.004138;0.993988;0.142410;-0.658917;-0.336953;
6.263966;0.688382;-0.247637;1.002642;0.992976;0.138889;-0.645737;-0.339709;
6.265391;0.674069;-0.252890;1.001510;0.992316;0.135391;-0.632738;-0.341179;
6.266816;0.660247;-0.257039;1.000680;0.991937;0.131986;-0.620155;-0.341646;
6.268240;0.647116;-0.260248;1.000099;0.991778;0.128729;-0.608175;-0.341344;
6.269665;0.634820;-0.262659;0.999722;0.991791;0.125662;-0.596937;-0.340466;
6.271090;0.623458;-0.264397;0.999512;0.991935;0.122813;-0.586535;-0.339166;
6.272514;0.613088;-0.265571;0.999436;0.992177;0.120201;-0.577026;-0.337571;
6.273939;0.603729;-0.266277;0.999466;0.992491;0.117833;-0.568432;-0.335778;
6.275364;0.595372;-0.266597;0.999581;0.992855;0.115709;-0.560747;-0.333866;
6.278213;0.582265;-0.266151;1.000027;0.993696;0.112350;-0.548662;-0.329873;
6.280778;0.572992;-0.265224;1.000522;0.994462;0.109955;-0.540092;-0.326417;
6.283342;0.565782;-0.263955;1.001066;0.995214;0.108076;-0.533410;-0.323150;
6.285907;0.560178;-0.262500;1.001624;0.995935;0.106601;-0.528201;-0.320108;
6.288471;0.555761;-0.260971;1.002176;0.996615;0.105428;-0.524083;-0.317298;
6.291036;0.552174;-0.259448;1.002707;0.997250;0.104466;-0.520729;-0.314711;
6.293600;0.549126;-0.257980;1.003207;0.997839;0.103643;-0.517875;-0.312329;
6.296165;0.546400;-0.256600;1.003674;0.998384;0.102905;-0.515318;-0.310130;
6.298729;0.543830;-0.255343;1.004100;0.998883;0.102211;-0.512910;-0.308112;
6.303858;0.538875;-0.253191;1.004837;0.999760;0.100882;-0.508275;-0.304540;
6.308987;0.533974;-0.251420;1.005457;1.000514;0.099578;-0.503700;-0.301423;
6.314116;0.529229;-0.249949;1.005983;1.001166;0.098323;-0.499279;-0.298691;
6.319245;0.524778;-0.248720;1.006430;1.001729;0.097151;-0.495135;-0.296310;
6.324374;0.520730;-0.247689;1.006808;1.002212;0.096088;-0.491369;-0.294253;
6.329503;0.517140;-0.246826;1.007128;1.002622;0.095147;-0.488031;-0.292493;
6.339761;0.511664;-0.245607;1.007582;1.003215;0.093714;-0.482941;-0.289934;
6.350019;0.507543;-0.244815;1.007887;1.003620;0.092640;-0.479114;-0.288157;
6.360277;0.504445;-0.244358;1.008073;1.003882;0.091837;-0.476241;-0.286981;
6.370535;0.502104;-0.244168;1.008169;1.004032;0.091235;-0.474075;-0.286266;
6.391051;0.499246;-0.244470;1.008128;1.004056;0.090516;-0.471448;-0.285984;
6.411567;0.497511;-0.245197;1.007943;1.003908;0.090097;-0.469870;-0.286412;
6.432083;0.496472;-0.246182;1.007671;1.003656;0.089862;-0.468943;-0.287272;
6.473116;0.495640;-0.248520;1.006998;1.002993;0.089722;-0.468249;-0.289666;
6.514148;0.495407;-0.250901;1.006301;1.002292;0.089736;-0.468110;-0.292238;
6.596212;0.495578;-0.255088;1.005064;1.001034;0.089908;-0.468400;-0.296894;
6.760340;0.496408;-0.260872;1.003339;0.999267;0.090298;-0.469349;-0.303476;
6.924468;0.497147;-0.264722;1.002184;0.998080;0.090605;-0.470151;-0.307911;
7.088596;0.497751;-0.267246;1.001423;0.997295;0.090836;-0.470788;-0.310852;
7.252724;0.498229;-0.268890;1.000925;0.996779;0.091009;-0.471281;-0.312788;
7.580981;0.498872;-0.270467;1.000444;0.996277;0.091221;-0.471923;-0.314688;
7.909237;0.499212;-0.271223;1.000212;0.996034;0.091331;-0.472260;-0.315607;
8.565750;0.499637;-0.271691;1.000065;0.995875;0.091454;-0.472667;-0.316223;
9.222262;0.499771;-0.271835;1.000020;0.995826;0.091493;-0.472795;-0.316413;
10.535288;0.499931;-0.271882;1.000003;0.995805;0.091535;-0.472944;-0.316501;
11.999998;0.499961;-0.271886;1.000002;0.995803;0.091543;-0.472972;-0.316512;
11.999998;0.289716;-0.145820;0.569916;0.565579;0.070179;-0.472972;-0.316512;
12.000094;0.289668;-0.145905;0.569892;0.565556;0.070168;-0.472896;-0.316658;
12.000287;0.289622;-0.146072;0.569844;0.565508;0.070159;-0.472822;-0.316961;
12.000479;0.289624;-0.146235;0.569795;0.565459;0.070161;-0.472825;-0.317281;
12.000484;0.289626;-0.146239;0.569794;0.565458;0.070162;-0.472828;-0.317290;
12.000484;0.289626;-0.146239;0.569794;0.565458;0.070162;-0.472828;-0.317290;
12.000484;0.289626;-0.146240;0.569794;0.565458;0.070162;-0.472828;-0.317290;
12.000484;0.289626;-0.146240;0.569794;0.565458;0.070162;-0.472828;-0.317290;
12.000484;0.289626;-0.146240;0.569794;0.565458;0.070162;-0.472828;-0.317290;
12.000484;0.289626;-0.146240;0.569794;0.565458;0.070162;-0.472828;-0.317290;
12.000632;0.289628;-0.146369;0.569755;0.565418;0.070164;-0.472832;-0.317544;
12.000726;0.289630;-0.146459;0.569728;0.565391;0.070166;-0.472836;-0.317719;
12.000726;0.289630;-0.146459;0.569728;0.565391;0.070166;-0.472836;-0.317719;
