time;SM_generator_cePu;SM_generator_PePu;SM_generator_cmPu;SM_generator_PmPu;SM_generator_ufPu;SM_generator_efdPu;SM_generator_omegaPu;SM_generator_theta;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_PGen;SM_generator_QGen;SM_generator_UPu;SM_generator_IStatorPu;SM_generator_IRotorPu;SM_generator_UStatorPu;SM_generator_QStatorPu;SM_generator_thetaInternal;
1.055296;0.018293;0.018418;0.863070;0.868948;0.002187;5.000000;1.006810;1.244771;0.000000;20.423509;0.000000;2042.350873;0.371293;55.006444;4.567147;0.371293;20.423509;0.258785;
1.056320;0.018256;0.018383;0.862351;0.868331;0.002187;5.000000;1.006934;1.246981;0.000000;20.384582;0.000000;2038.458195;0.370939;54.953998;4.570782;0.370939;20.384582;0.256620;
1.057344;0.018221;0.018349;0.861633;0.867713;0.002187;5.000000;1.007057;1.249232;-0.000000;20.347161;-0.000000;2034.716106;0.370599;54.903533;4.574283;0.370599;20.347161;0.254500;
1.058368;0.018186;0.018317;0.860915;0.867097;0.002187;5.000000;1.007181;1.251522;0.000000;20.311185;0.000000;2031.118509;0.370271;54.854974;4.577655;0.370271;20.311185;0.252425;
1.059392;0.018153;0.018285;0.860198;0.866481;0.002187;5.000000;1.007304;1.253852;0.000000;20.276596;0.000000;2027.659568;0.369956;54.808245;4.580904;0.369956;20.276596;0.250394;
1.060416;0.018121;0.018255;0.859482;0.865865;0.002187;5.000000;1.007427;1.256221;0.000000;20.243337;0.000000;2024.333701;0.369652;54.763276;4.584034;0.369652;20.243337;0.248405;
1.061440;0.018090;0.018227;0.858766;0.865250;0.002187;5.000000;1.007550;1.258630;0.000000;20.211356;0.000000;2021.135562;0.369360;54.720000;4.587050;0.369360;20.211356;0.246458;
1.062464;0.018060;0.018199;0.858051;0.864635;0.002187;5.000000;1.007673;1.261079;-0.000000;20.180600;-0.000000;2018.060037;0.369079;54.678350;4.589957;0.369079;20.180600;0.244552;
1.063488;0.018032;0.018172;0.857337;0.864021;0.002187;5.000000;1.007796;1.263567;0.000000;20.151022;0.000000;2015.102228;0.368808;54.638265;4.592759;0.368808;20.151022;0.242686;
1.064512;0.018004;0.018147;0.856624;0.863407;0.002187;5.000000;1.007919;1.266095;0.000000;20.122574;0.000000;2012.257447;0.368548;54.599683;4.595461;0.368548;20.122574;0.240859;
1.066560;0.017952;0.018098;0.855200;0.862182;0.002187;5.000000;1.008164;1.271268;0.000000;20.068867;0.000000;2006.886742;0.368056;54.526742;4.600584;0.368056;20.068867;0.237315;
1.068403;0.017908;0.018058;0.853921;0.861080;0.002187;5.000000;1.008384;1.276059;0.000000;20.023951;0.000000;2002.395128;0.367643;54.465689;4.604889;0.367643;20.023951;0.234250;
1.070000;0.017872;0.018025;0.852815;0.860127;0.002187;5.000000;1.008575;1.280313;0.000000;19.987476;0.000000;1998.747590;0.367308;54.416065;4.608403;0.367308;19.987476;0.231684;
1.070000;1.010876;0.018025;0.852815;0.860127;0.002187;5.000000;1.008575;1.280313;22.527557;5.392147;0.000000;1998.747590;0.367308;54.416065;4.608403;0.825843;5.392147;0.231684;
1.070001;1.010879;1.019547;0.852815;0.860127;0.002187;5.000000;1.008575;1.280316;22.527631;5.392290;2252.763107;539.229014;0.825847;28.048785;3.438345;0.825847;5.392290;0.575435;
1.070002;1.010883;1.019550;0.852815;0.860127;0.002187;5.000000;1.008575;1.280318;22.527705;5.392433;2252.770514;539.243309;0.825851;28.048789;3.438321;0.825851;5.392433;0.575438;
1.070004;1.010889;1.019557;0.852815;0.860128;0.002187;5.000000;1.008575;1.280324;22.527853;5.392719;2252.785327;539.271899;0.825858;28.048796;3.438273;0.825858;5.392719;0.575446;
1.070008;1.010903;1.019571;0.852816;0.860128;0.002187;5.000000;1.008574;1.280335;22.528150;5.393291;2252.814952;539.329076;0.825872;28.048811;3.438178;0.825872;5.393291;0.575460;
1.070016;1.010929;1.019597;0.852817;0.860129;0.002187;5.000000;1.008574;1.280356;22.528742;5.394434;2252.874195;539.443419;0.825902;28.048840;3.437988;0.825902;5.394434;0.575489;
1.070032;1.010983;1.019651;0.852819;0.860131;0.002187;5.000000;1.008574;1.280399;22.529927;5.396721;2252.992656;539.672060;0.825960;28.048900;3.437607;0.825960;5.396721;0.575548;
1.070064;1.011089;1.019757;0.852823;0.860134;0.002187;5.000000;1.008573;1.280485;22.532295;5.401292;2253.229472;540.129167;0.826076;28.049020;3.436847;0.826076;5.401292;0.575665;
1.070128;1.011302;1.019971;0.852831;0.860142;0.002187;5.000000;1.008572;1.280658;22.537027;5.410427;2253.702688;541.042669;0.826309;28.049268;3.435331;0.826309;5.410427;0.575898;
1.070256;1.011727;1.020396;0.852848;0.860156;0.002187;5.000000;1.008569;1.281002;22.546475;5.428668;2254.647456;542.866837;0.826773;28.049790;3.432311;0.826773;5.428668;0.576364;
1.070512;1.012574;1.021245;0.852882;0.860185;0.002187;5.000000;1.008563;1.281691;22.565304;5.465038;2256.530391;546.503836;0.827696;28.050945;3.426325;0.827696;5.465038;0.577291;
1.071024;1.014257;1.022930;0.852950;0.860244;0.002187;5.000000;1.008551;1.283068;22.602703;5.537326;2260.270255;553.732645;0.829520;28.053687;3.414566;0.829520;5.537326;0.579131;
1.072048;1.017579;1.026257;0.853089;0.860363;0.002187;5.000000;1.008527;1.285815;22.676491;5.680107;2267.649091;568.010749;0.833085;28.060839;3.391873;0.833085;5.680107;0.582751;
1.073072;1.020844;1.029524;0.853230;0.860485;0.002187;5.000000;1.008503;1.288554;22.748963;5.820469;2274.896255;582.046893;0.836540;28.070111;3.370253;0.836540;5.820469;0.586293;
1.074096;1.024053;1.032735;0.853373;0.860608;0.002187;5.000000;1.008478;1.291286;22.820163;5.958408;2282.016333;595.840770;0.839888;28.081383;3.349665;0.839888;5.958408;0.589759;
1.075120;1.027209;1.035892;0.853519;0.860734;0.002187;5.000000;1.008453;1.294009;22.890140;6.093931;2289.014032;609.393121;0.843133;28.094544;3.330071;0.843133;6.093931;0.593153;
1.076144;1.030313;1.038996;0.853668;0.860862;0.002187;5.000000;1.008428;1.296724;22.958939;6.227051;2295.893927;622.705110;0.846277;28.109490;3.311433;0.846277;6.227051;0.596477;
1.077168;1.033368;1.042050;0.853819;0.860993;0.002187;5.000000;1.008402;1.299431;23.026604;6.357783;2302.660422;635.778310;0.849324;28.126122;3.293713;0.849324;6.357783;0.599732;
1.078192;1.036375;1.045055;0.853973;0.861125;0.002187;5.000000;1.008375;1.302130;23.093177;6.486146;2309.317731;648.614606;0.852277;28.144346;3.276877;0.852277;6.486146;0.602921;
1.079216;1.039336;1.048013;0.854129;0.861259;0.002187;5.000000;1.008348;1.304820;23.158699;6.612161;2315.869877;661.216146;0.855137;28.164074;3.260890;0.855137;6.612161;0.606046;
1.080240;1.042254;1.050926;0.854287;0.861396;0.002187;5.000000;1.008321;1.307501;23.223207;6.735853;2322.320696;673.585309;0.857909;28.185223;3.245719;0.857909;6.735853;0.609109;
1.081264;1.045128;1.053796;0.854448;0.861534;0.002187;5.000000;1.008293;1.310173;23.286738;6.857247;2328.673848;685.724680;0.860594;28.207715;3.231332;0.860594;6.857247;0.612111;
1.082288;1.047962;1.056623;0.854611;0.861675;0.002187;5.000000;1.008265;1.312836;23.349328;6.976370;2334.932818;697.637020;0.863195;28.231474;3.217699;0.863195;6.976370;0.615054;
1.083312;1.050755;1.059410;0.854777;0.861817;0.002187;5.000000;1.008237;1.315491;23.411009;7.093252;2341.100930;709.325249;0.865715;28.256431;3.204789;0.865715;7.093252;0.617940;
1.084336;1.053511;1.062158;0.854944;0.861961;0.002187;5.000000;1.008208;1.318136;23.471814;7.207924;2347.181350;720.792422;0.868155;28.282519;3.192576;0.868155;7.207924;0.620771;
1.085360;1.056230;1.064868;0.855114;0.862108;0.002187;5.000000;1.008179;1.320771;23.531771;7.320417;2353.177093;732.041709;0.870520;28.309675;3.181031;0.870520;7.320417;0.623548;
1.086384;1.058913;1.067542;0.855286;0.862256;0.002187;5.000000;1.008149;1.323398;23.590910;7.430764;2359.091030;743.076385;0.872809;28.337840;3.170128;0.872809;7.430764;0.626272;
1.087408;1.061561;1.070180;0.855460;0.862405;0.002187;5.000000;1.008119;1.326014;23.649259;7.538998;2364.925895;753.899803;0.875027;28.366957;3.159843;0.875027;7.538998;0.628945;
1.088432;1.064177;1.072784;0.855636;0.862557;0.002187;5.000000;1.008089;1.328621;23.706843;7.645154;2370.684292;764.515392;0.877174;28.396974;3.150149;0.877174;7.645154;0.631568;
1.088788;1.065079;1.073682;0.855698;0.862610;0.002187;5.000000;1.008078;1.329526;23.726696;7.681593;2372.669568;768.159320;0.877905;28.407613;3.146912;0.877905;7.681593;0.632469;
1.088788;1.065079;1.073682;0.855698;0.862610;0.002187;5.000001;1.008078;1.329526;23.726700;7.681609;2372.669568;768.159320;0.877905;28.407613;3.146912;0.877905;7.681609;0.632469;
