"time","gridFollowingPlantPropInt.URefPu","gridFollowingPlantPropInt.URef0Pu","gridFollowingPlantPropInt.injector.QInjPu"
11.179,1.50229742,1.00229742,0.5654545749225499
11.18,1.50229742,1.00229742,0.5654545834538616
11.181,1.50229742,1.00229742,0.5654545919713191
11.182,1.50229742,1.00229742,0.5654546004749383
11.183,1.50229742,1.00229742,0.5654546089647337
11.184,1.50229742,1.00229742,0.565454617440722
11.185,1.50229742,1.00229742,0.5654546259029184
11.186,1.50229742,1.00229742,0.5654546343513386
11.187,1.50229742,1.00229742,0.5654546427859961
11.188,1.50229742,1.00229742,0.5654546512069091
11.189,1.50229742,1.00229742,0.5654546596140912
11.19,1.50229742,1.00229742,0.565454668007558
11.191,1.50229742,1.00229742,0.5654546763873237
11.192,1.50229742,1.00229742,0.5654546847534038
11.193,1.50229742,1.00229742,0.5654546931058131
11.194,1.50229742,1.00229742,0.5654547014445664
11.195,1.50229742,1.00229742,0.5654547097696784
11.196,1.50229742,1.00229742,0.5654547180811639
11.197,1.50229742,1.00229742,0.5654547263790376
11.198,1.50229742,1.00229742,0.5654547346633136
11.199,1.50229742,1.00229742,0.5654547429340058
11.2,1.50229742,1.00229742,0.5654547511911286
11.201,1.50229742,1.00229742,0.5654547594346975
11.202,1.50229742,1.00229742,0.5654547676647251
11.203,1.50229742,1.00229742,0.5654547758812253
