"time","Unit.measurements.UPu","Unit.measurements.PPu","Unit.measurements.QPu"
0.786,1,0.9999999999999496,0.3
0.787,1,0.9999999999999496,0.3
0.788,1,0.9999999999999496,0.3
0.789,1,0.9999999999999496,0.3
0.79,1,0.9999999999999496,0.3
0.791,1,0.9999999999999496,0.3
0.792,1,0.9999999999999496,0.3
0.793,1,0.9999999999999496,0.3
0.794,1,0.9999999999999494,0.3
0.795,1,0.9999999999999494,0.3
0.796,1,0.9999999999999494,0.3
0.797,1,0.9999999999999494,0.3
0.798,1,0.9999999999999494,0.3
0.799,1,0.9999999999999494,0.3
0.8,1,0.9999999999999494,0.3
0.801,1,0.9999999999999494,0.3
0.802,1,0.999999999999949,0.3
0.803,1,0.999999999999949,0.3
0.804,1,0.999999999999949,0.3
0.805,1,0.999999999999949,0.3
0.806,1,0.9999999999999488,0.3
0.807,1,0.9999999999999488,0.3
0.808,1,0.9999999999999488,0.3
0.809,1,0.9999999999999488,0.3
0.81,1,0.9999999999999488,0.3
0.811,1,0.9999999999999488,0.3
0.812,1,0.9999999999999488,0.3
0.813,1,0.9999999999999488,0.3
0.814,1,0.9999999999999487,0.3
0.815,1,0.9999999999999487,0.3
0.816,1,0.9999999999999487,0.3
0.817,1,0.9999999999999487,0.3
0.818,1,0.9999999999999487,0.3
0.819,1,0.9999999999999487,0.3
0.82,1,0.9999999999999487,0.3
0.821,1,0.9999999999999487,0.3
0.822,1,0.9999999999999487,0.3
0.823,1,0.9999999999999482,0.3
0.824,1,0.9999999999999482,0.3
0.825,1,0.9999999999999482,0.3
0.826,1,0.9999999999999482,0.3
0.827,1,0.9999999999999482,0.3
0.828,1,0.9999999999999482,0.3
0.829,1,0.9999999999999482,0.3
0.83,1,0.9999999999999482,0.3
0.831,1,0.9999999999999482,0.3
0.832,1,0.9999999999999482,0.3
0.833,1,0.9999999999999482,0.3
0.834,1,0.9999999999999482,0.3
0.835,1,0.9999999999999482,0.3
0.836,1,0.9999999999999482,0.3
0.837,1,0.9999999999999482,0.3
0.838,1,0.9999999999999482,0.3
0.839,1,0.9999999999999482,0.3
0.84,1,0.9999999999999482,0.3
0.841,1,0.9999999999999482,0.3
0.842,1,0.9999999999999482,0.3
0.843,1,0.9999999999999482,0.3
0.844,1,0.9999999999999482,0.3
0.845,1,0.9999999999999482,0.3
0.846,1,0.9999999999999482,0.3
0.847,1,0.9999999999999479,0.3
0.848,1,0.9999999999999479,0.3
0.849,1,0.9999999999999479,0.3
0.85,1,0.9999999999999479,0.3
0.851,1,0.9999999999999475,0.3
0.852,1,0.9999999999999475,0.3
0.853,1,0.9999999999999475,0.3
0.854,1,0.9999999999999475,0.3
0.855,1,0.9999999999999475,0.3
0.856,1,0.9999999999999475,0.3
0.857,1,0.9999999999999475,0.3
0.858,1,0.9999999999999475,0.3
0.859,1,0.9999999999999475,0.3
0.86,1,0.9999999999999475,0.3
0.861,1,0.9999999999999475,0.3
0.862,1,0.9999999999999475,0.3
0.863,1,0.9999999999999475,0.3
0.864,1,0.9999999999999475,0.3
0.865,1,0.9999999999999475,0.3
0.866,1,0.9999999999999475,0.3
0.867,1,0.9999999999999473,0.3
0.868,1,0.9999999999999473,0.3
0.869,1,0.9999999999999473,0.3
0.87,1,0.9999999999999473,0.3
0.871,1,0.9999999999999473,0.3
0.872,1,0.9999999999999473,0.3
0.873,1,0.9999999999999473,0.3
0.874,1,0.9999999999999473,0.3
0.875,1,0.9999999999999473,0.3
0.876,1,0.9999999999999469,0.3
0.877,1,0.9999999999999469,0.3
0.878,1,0.9999999999999469,0.3
0.879,1,0.9999999999999469,0.3
0.88,1,0.9999999999999469,0.3
0.881,1,0.9999999999999469,0.3
0.882,1,0.9999999999999469,0.3
0.883,1,0.9999999999999469,0.3
0.884,1,0.9999999999999466,0.3
0.885,1,0.9999999999999466,0.3
0.886,1,0.9999999999999466,0.3
0.887,1,0.9999999999999466,0.3
0.888,1,0.9999999999999466,0.3
0.889,1,0.9999999999999466,0.3
0.89,1,0.9999999999999466,0.3
0.891,1,0.9999999999999466,0.3
0.892,1,0.9999999999999466,0.3
0.893,1,0.9999999999999466,0.3
0.894,1,0.9999999999999466,0.3
0.895,1,0.9999999999999466,0.3
0.896,1,0.9999999999999464,0.3
0.897,1,0.9999999999999464,0.3
0.898,1,0.9999999999999464,0.3
0.899,1,0.9999999999999464,0.3
0.9,1,0.9999999999999464,0.3
0.901,1,0.9999999999999464,0.3
0.902,1,0.9999999999999464,0.3
0.903,1,0.9999999999999464,0.3
0.904,1,0.9999999999999463,0.3
0.905,1,0.9999999999999463,0.3
0.906,1,0.9999999999999463,0.3
0.907,1,0.9999999999999463,0.3
0.908,1,0.9999999999999463,0.3
0.909,1,0.9999999999999463,0.3
0.91,1,0.9999999999999463,0.3
0.911,1,0.9999999999999463,0.3
0.912,1,0.9999999999999459,0.3
0.913,1,0.9999999999999459,0.3
