time;SM_generator_IRotorPu;SM_generator_IStatorPu;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_theta;SM_generator_UPu;SM_generator_efdPu;SM_generator_PmPu;
1.027793;6.407158;18.149264;1.001939;-0.000000;2.223421;0.790325;0.122508;0.000000;0.892857;
1.028119;6.410114;18.117622;1.001962;0.000000;2.215675;0.790525;0.122294;0.000000;0.892857;
1.028445;6.413009;18.086248;1.001984;0.000000;2.208008;0.790727;0.122082;0.000000;0.892857;
1.028770;6.415844;18.055139;1.002007;0.000000;2.200419;0.790931;0.121872;0.000000;0.892857;
1.029096;6.418618;18.024292;1.002030;-0.000000;2.192907;0.791138;0.121664;0.000000;0.892857;
1.029422;6.421333;17.993705;1.002052;-0.000000;2.185471;0.791346;0.121458;0.000000;0.892857;
1.030073;6.426590;17.933296;1.002098;0.000000;2.170821;0.791771;0.121050;0.000000;0.892857;
1.030725;6.431617;17.873892;1.002143;-0.000000;2.156463;0.792205;0.120649;0.000000;0.892857;
1.031311;6.435949;17.821272;1.002184;-0.000000;2.143785;0.792603;0.120294;0.000000;0.892857;
1.031838;6.439695;17.774583;1.002221;-0.000000;2.132567;0.792969;0.119978;0.000000;0.892857;
1.032304;6.442881;17.733920;1.002253;0.000000;2.122820;0.793296;0.119704;0.000000;0.892857;
1.032716;6.445609;17.698335;1.002282;-0.000000;2.114310;0.793589;0.119464;0.000000;0.892857;
1.033075;6.447919;17.667609;1.002307;-0.000000;2.106975;0.793848;0.119256;0.000000;0.892857;
1.033398;6.449944;17.640193;1.002329;0.000000;2.100441;0.794083;0.119071;0.000000;0.892857;
1.033689;6.451723;17.615708;1.002350;0.000000;2.094614;0.794297;0.118906;0.000000;0.892857;
1.033950;6.453290;17.593825;1.002368;-0.000000;2.089413;0.794491;0.118758;0.000000;0.892857;
1.034212;6.454823;17.572084;1.002386;-0.000000;2.084252;0.794686;0.118612;0.000000;0.892857;
1.034448;6.456176;17.552639;1.002403;-0.000000;2.079642;0.794864;0.118480;0.000000;0.892857;
1.034660;6.457371;17.535235;1.002417;0.000000;2.075520;0.795024;0.118363;0.000000;0.892857;
1.034730;6.457764;17.529458;1.002422;0.000000;2.074153;0.795078;0.118324;0.000000;0.892857;
1.034801;6.458154;17.523690;1.002427;-0.000000;2.072788;0.795132;0.118285;0.000000;0.892857;
