time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_efdPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_QGenPu;SynchronousGenerator_generator_omegaPu;SynchronousGenerator_pss_UpssPu;
0.100038;0.408681;2.538027;0.132361;5.236021;1.000003;0.002678;
0.100039;0.408680;2.538635;0.132360;5.235981;1.000003;0.002760;
0.100040;0.408678;2.539243;0.132359;5.235941;1.000003;0.002841;
0.100041;0.408677;2.539851;0.132358;5.235900;1.000003;0.002923;
0.100041;0.408675;2.540459;0.132357;5.235860;1.000003;0.003004;
0.100042;0.408674;2.541068;0.132357;5.235820;1.000003;0.003086;
0.100043;0.408672;2.541676;0.132356;5.235780;1.000003;0.003168;
0.100044;0.408670;2.542284;0.132355;5.235739;1.000003;0.003250;
0.100045;0.408669;2.542893;0.132354;5.235699;1.000003;0.003332;
0.100046;0.408667;2.543502;0.132353;5.235659;1.000004;0.003414;
0.100047;0.408666;2.544110;0.132352;5.235619;1.000004;0.003496;
0.100047;0.408664;2.544719;0.132352;5.235579;1.000004;0.003578;
0.100048;0.408662;2.545328;0.132351;5.235538;1.000004;0.003661;
0.100049;0.408661;2.545937;0.132350;5.235498;1.000004;0.003743;
0.100050;0.408659;2.546546;0.132349;5.235458;1.000004;0.003825;
0.100051;0.408658;2.547155;0.132348;5.235418;1.000004;0.003908;
0.100052;0.408656;2.547764;0.132347;5.235378;1.000004;0.003990;
0.100054;0.408653;2.548982;0.132346;5.235297;1.000004;0.004155;
0.100055;0.408650;2.550079;0.132344;5.235225;1.000005;0.004304;
0.100057;0.408647;2.551177;0.132343;5.235153;1.000005;0.004453;
0.100058;0.408645;2.552274;0.132341;5.235080;1.000005;0.004601;
0.100060;0.408642;2.553372;0.132340;5.235008;1.000005;0.004750;
0.100061;0.408639;2.554470;0.132338;5.234936;1.000005;0.004899;
0.100063;0.408636;2.555568;0.132337;5.234863;1.000006;0.005048;
0.100064;0.408633;2.556666;0.132335;5.234791;1.000006;0.005197;
0.100066;0.408630;2.557765;0.132334;5.234719;1.000006;0.005346;
0.100068;0.408628;2.558864;0.132332;5.234646;1.000006;0.005495;
0.100069;0.408625;2.559963;0.132331;5.234574;1.000006;0.005643;
0.100071;0.408622;2.561062;0.132329;5.234502;1.000006;0.005792;
0.100074;0.408616;2.563262;0.132326;5.234357;1.000007;0.006090;
0.100077;0.408611;2.565462;0.132323;5.234213;1.000007;0.006388;
0.100080;0.408605;2.567664;0.132320;5.234068;1.000007;0.006686;
0.100083;0.408599;2.569867;0.132317;5.233923;1.000008;0.006983;
0.100086;0.408594;2.572070;0.132314;5.233779;1.000008;0.007281;
0.100089;0.408588;2.574275;0.132311;5.233634;1.000009;0.007579;
0.100092;0.408582;2.576480;0.132308;5.233490;1.000009;0.007876;
0.100096;0.408577;2.578687;0.132305;5.233345;1.000009;0.008173;
0.100102;0.408565;2.583103;0.132299;5.233057;1.000010;0.008768;
0.100108;0.408554;2.587523;0.132294;5.232768;1.000011;0.009362;
0.100114;0.408543;2.591947;0.132288;5.232479;1.000011;0.009956;
0.100121;0.408531;2.596375;0.132282;5.232190;1.000012;0.010550;
0.100133;0.408509;2.605243;0.132270;5.231613;1.000014;0.011736;
0.100145;0.408486;2.614127;0.132258;5.231036;1.000015;0.012921;
0.100170;0.408441;2.631943;0.132234;5.229884;1.000018;0.015287;
0.100195;0.408396;2.649821;0.132210;5.228732;1.000021;0.017647;
0.100245;0.408306;2.685767;0.132162;5.226432;1.000027;0.022352;
0.100345;0.408126;2.758407;0.132068;5.221847;1.000038;0.031699;
0.100444;0.407947;2.832037;0.131973;5.217280;1.000050;0.040961;
0.100544;0.407768;2.906645;0.131879;5.212732;1.000061;0.050140;
0.100644;0.407590;2.982219;0.131785;5.208203;1.000073;0.059236;
0.100744;0.407413;3.058747;0.131691;5.203692;1.000084;0.068250;
0.100843;0.407237;3.136218;0.131598;5.199200;1.000096;0.077183;
0.100943;0.407061;3.214621;0.131506;5.194727;1.000107;0.086034;
0.101043;0.406886;3.293943;0.131413;5.190273;1.000119;0.094805;
0.101102;0.406781;3.341706;0.131358;5.187624;1.000125;0.100000;
0.101102;0.406781;3.341706;0.131358;5.187624;1.000125;0.100000;
0.101102;0.406781;3.341729;0.131358;5.187623;1.000125;0.100000;
0.101102;0.406781;3.341753;0.131358;5.187622;1.000125;0.100000;
0.101102;0.406781;3.341801;0.131358;5.187619;1.000125;0.100000;
0.101102;0.406781;3.341896;0.131358;5.187614;1.000125;0.100000;
0.101103;0.406781;3.342087;0.131358;5.187603;1.000126;0.100000;
0.101103;0.406780;3.342469;0.131357;5.187582;1.000126;0.100000;
0.101104;0.406778;3.343233;0.131356;5.187540;1.000126;0.100000;
0.101106;0.406775;3.344761;0.131355;5.187456;1.000126;0.100000;
0.101110;0.406768;3.347816;0.131351;5.187287;1.000126;0.100000;
0.101117;0.406755;3.353925;0.131344;5.186950;1.000127;0.100000;
0.101132;0.406728;3.366141;0.131330;5.186276;1.000129;0.100000;
0.101163;0.406675;3.390564;0.131302;5.184930;1.000132;0.100000;
0.101223;0.406569;3.439371;0.131246;5.182242;1.000139;0.100000;
0.101345;0.406359;3.536834;0.131135;5.176888;1.000153;0.100000;
0.101587;0.405940;3.731153;0.130914;5.166263;1.000182;0.100000;
0.101925;0.405364;4.000001;0.130610;5.151673;1.000220;0.100000;
0.101925;0.405364;4.000000;0.130610;5.151673;1.000220;0.100000;
0.101926;0.405362;4.000000;0.130609;5.151630;1.000221;0.100000;
0.101927;0.405360;4.000000;0.130609;5.151586;1.000221;0.100000;
0.101929;0.405357;4.000000;0.130607;5.151500;1.000221;0.100000;
0.101933;0.405350;4.000000;0.130603;5.151327;1.000221;0.100000;
0.101941;0.405337;4.000000;0.130596;5.150981;1.000222;0.100000;
0.101957;0.405309;4.000000;0.130582;5.150289;1.000224;0.100000;
0.101989;0.405255;4.000000;0.130553;5.148906;1.000228;0.100000;
0.102054;0.405145;4.000000;0.130495;5.146145;1.000235;0.100000;
0.102183;0.404928;4.000000;0.130380;5.140636;1.000250;0.100000;
0.102441;0.404494;4.000000;0.130152;5.129680;1.000280;0.100000;
0.102957;0.403635;4.000000;0.129699;5.108005;1.000340;0.100000;
0.103473;0.402787;4.000000;0.129252;5.086643;1.000399;0.100000;
0.103989;0.401949;4.000000;0.128811;5.065588;1.000459;0.100000;
0.104505;0.401121;4.000000;0.128376;5.044837;1.000518;0.100000;
0.105022;0.400304;4.000000;0.127946;5.024383;1.000578;0.100000;
0.105538;0.399496;4.000000;0.127522;5.004223;1.000638;0.100000;
0.106054;0.398699;4.000000;0.127103;4.984351;1.000697;0.100000;
0.106570;0.397911;4.000000;0.126689;4.964762;1.000757;0.100000;
0.107086;0.397133;4.000000;0.126281;4.945452;1.000816;0.100000;
0.107602;0.396364;4.000000;0.125878;4.926417;1.000876;0.100000;
0.108118;0.395605;4.000000;0.125480;4.907652;1.000936;0.100000;
0.108635;0.394855;4.000000;0.125086;4.889152;1.000995;0.100000;
0.109151;0.394115;4.000000;0.124698;4.870913;1.001055;0.100000;
0.109667;0.393383;4.000000;0.124315;4.852932;1.001115;0.100000;
0.110183;0.392660;4.000000;0.123936;4.835204;1.001174;0.100000;
0.110699;0.391946;4.000000;0.123562;4.817724;1.001234;0.100000;
0.111215;0.391241;4.000000;0.123193;4.800490;1.001293;0.100000;
0.111731;0.390544;4.000000;0.122828;4.783496;1.001353;0.100000;
0.112247;0.389856;4.000000;0.122467;4.766739;1.001413;0.100000;
0.112764;0.389176;4.000000;0.122111;4.750216;1.001472;0.100000;
0.113280;0.388504;4.000000;0.121759;4.733923;1.001532;0.100000;
0.113796;0.387840;4.000000;0.121412;4.717855;1.001592;0.100000;
0.114312;0.387185;4.000000;0.121069;4.702010;1.001651;0.100000;
0.114828;0.386537;4.000000;0.120729;4.686384;1.001711;0.100000;
0.115344;0.385897;4.000000;0.120394;4.670974;1.001770;0.100000;
0.115860;0.385265;4.000000;0.120063;4.655775;1.001830;0.100000;
0.116377;0.384641;4.000000;0.119736;4.640785;1.001890;0.100000;
0.116893;0.384024;4.000000;0.119412;4.626000;1.001949;0.100000;
0.117409;0.383414;4.000000;0.119093;4.611418;1.002009;0.100000;
0.117925;0.382812;4.000000;0.118777;4.597035;1.002068;0.100000;
0.118957;0.381629;4.000000;0.118156;4.568850;1.002188;0.100000;
0.119886;0.380589;4.000000;0.117609;4.544134;1.002295;0.100000;
0.120815;0.379570;4.000000;0.117074;4.520016;1.002402;0.100000;
0.121744;0.378574;4.000000;0.116549;4.496479;1.002510;0.100000;
0.122673;0.377599;4.000000;0.116036;4.473508;1.002617;0.100000;
0.123602;0.376644;4.000000;0.115532;4.451086;1.002724;0.100000;
0.124531;0.375710;4.000000;0.115038;4.429200;1.002832;0.100000;
0.125460;0.374796;4.000000;0.114555;4.407834;1.002939;0.100000;
0.126389;0.373901;4.000000;0.114080;4.386974;1.003046;0.100000;
0.127319;0.373025;4.000000;0.113615;4.366607;1.003153;0.100000;
0.128248;0.372167;4.000000;0.113158;4.346718;1.003261;0.100000;
0.129177;0.371328;4.000000;0.112711;4.327296;1.003368;0.100000;
0.130106;0.370506;4.000000;0.112272;4.308327;1.003475;0.100000;
0.131035;0.369701;4.000000;0.111840;4.289799;1.003583;0.100000;
0.131964;0.368913;4.000000;0.111417;4.271701;1.003690;0.100000;
0.132893;0.368142;4.000000;0.111002;4.254021;1.003797;0.100000;
0.133822;0.367386;4.000000;0.110594;4.236747;1.003904;0.100000;
0.134751;0.366646;4.000000;0.110193;4.219870;1.004012;0.100000;
0.135680;0.365922;4.000000;0.109800;4.203378;1.004119;0.100000;
0.137538;0.364517;4.000000;0.109032;4.171500;1.004333;0.100000;
0.139210;0.363302;4.000000;0.108364;4.144030;1.004526;0.100000;
0.140883;0.362130;4.000000;0.107716;4.117659;1.004719;0.100000;
0.142555;0.361002;4.000000;0.107087;4.092336;1.004912;0.100000;
0.144227;0.359914;4.000000;0.106475;4.068011;1.005105;0.100000;
0.145899;0.358865;4.000000;0.105880;4.044639;1.005298;0.100000;
0.147572;0.357853;4.000000;0.105301;4.022177;1.005491;0.100000;
0.149244;0.356878;4.000000;0.104738;4.000583;1.005684;0.100000;
0.150916;0.355937;4.000000;0.104188;3.979818;1.005876;0.100000;
0.152588;0.355028;4.000000;0.103653;3.959844;1.006069;0.100000;
0.154261;0.354152;4.000000;0.103130;3.940625;1.006262;0.100000;
0.155933;0.353306;4.000000;0.102619;3.922127;1.006454;0.100000;
0.157605;0.352489;4.000000;0.102119;3.904319;1.006647;0.100000;
0.159277;0.351700;4.000000;0.101630;3.887169;1.006840;0.100000;
0.160950;0.350937;4.000000;0.101151;3.870647;1.007032;0.100000;
0.162622;0.350201;4.000000;0.100681;3.854727;1.007225;0.100000;
0.164294;0.349489;4.000000;0.100221;3.839381;1.007417;0.100000;
0.165967;0.348800;4.000000;0.099768;3.824585;1.007609;0.100000;
0.167639;0.348134;4.000000;0.099324;3.810314;1.007802;0.100000;
0.169311;0.347490;4.000000;0.098886;3.796545;1.007994;0.100000;
0.170983;0.346867;4.000000;0.098455;3.783257;1.008186;0.100000;
0.172656;0.346264;4.000000;0.098031;3.770428;1.008379;0.100000;
0.174328;0.345680;4.000000;0.097612;3.758039;1.008571;0.100000;
0.176000;0.345114;4.000000;0.097199;3.746071;1.008763;0.100000;
0.177672;0.344566;4.000000;0.096790;3.734506;1.008955;0.100000;
0.179345;0.344036;4.000000;0.096386;3.723327;1.009147;0.100000;
0.181017;0.343521;4.000000;0.095987;3.712517;1.009339;0.100000;
0.182689;0.343022;4.000000;0.095590;3.702061;1.009531;0.100000;
0.184362;0.342538;4.000000;0.095198;3.691944;1.009723;0.100000;
0.186034;0.342068;4.000000;0.094808;3.682152;1.009914;0.100000;
0.187706;0.341613;4.000000;0.094421;3.672670;1.010106;0.100000;
0.189378;0.341170;4.000000;0.094036;3.663487;1.010298;0.100000;
0.191051;0.340740;4.000000;0.093654;3.654589;1.010489;0.100000;
0.192723;0.340323;4.000000;0.093273;3.645965;1.010681;0.100000;
0.194395;0.339917;4.000000;0.092893;3.637604;1.010872;0.100000;
0.196067;0.339523;4.000000;0.092515;3.629495;1.011064;0.100000;
0.197740;0.339139;4.000000;0.092137;3.621627;1.011255;0.100000;
0.199412;0.338766;4.000000;0.091761;3.613991;1.011446;0.100000;
0.200000;0.338637;4.000000;0.091628;3.611359;1.011514;0.100000;
0.200000;0.851864;4.000000;5.569026;0.018508;1.011514;0.100000;
0.200000;0.851864;4.000000;5.569026;0.018506;1.011514;0.100000;
0.200000;0.851864;4.000000;5.569026;0.018506;1.011514;0.100000;
0.200000;0.851864;4.000000;5.569026;0.018507;1.011514;0.100000;
0.200000;0.851864;4.000000;5.569026;0.018506;1.011514;0.100000;
0.200000;0.851864;4.000000;5.569026;0.018507;1.011514;0.100000;
0.200000;0.851864;4.000000;5.569026;0.018507;1.011514;0.100000;
0.200000;0.851864;4.000000;5.569026;0.018507;1.011514;0.100000;
0.200000;0.851864;4.000000;5.569026;0.018507;1.011514;0.100000;
0.200000;0.851864;4.000000;5.569026;0.018507;1.011514;0.100000;
0.200000;0.851864;4.000000;5.569027;0.018508;1.011514;0.100000;
0.200000;0.851864;4.000000;5.569029;0.018509;1.011514;0.100000;
